256,"Tesla K40c (0)","2","14","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,156,117,6257,6135,2117,2073,2056,2073,56,44,27,48,2068,2084,2140,2116,65536,65536,65536,65536,65536,65536,65528,65504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,65731,65541,65576,65587,2077,2053,2060,2064,1511664,0,0,2097152,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2048,65536,1767424,1641031,187328,56557568,655360,65536,0,0,65536,2048,1365734,73483836,256,56426496,0,0,0,0,0,0,131072,4096,131072,0,65536,2048,0,0,786432,65567,131072,4096,0,0
512,"Tesla K40c (0)","2","14","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,48249,48133,23938,23985,8196,8202,8549,8253,16407,16508,16575,16405,8564,8192,8192,8192,524288,524288,524288,524288,507924,507932,507912,507864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,1,524288,524288,524328,524328,8201,8201,8203,8193,10743057,0,0,16777216,0,0,0,0,262144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8192,262144,13885440,13030423,1401792,444334080,5242880,524288,0,0,524288,8192,10501378,644863142,1024,443809792,0,0,0,0,0,0,1048576,16384,1048576,0,524288,8192,0,0,6291456,524647,1048589,16384,0,0
768,"Tesla K40c (0)","2","14","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,2466169,2450448,53455,54557,18436,18833,18449,18832,823673,818380,816623,828724,18432,18432,18432,18432,1769472,1769472,1769472,1769472,947384,946552,947572,946652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1769716,1769472,1769512,1769512,18437,18433,18438,18433,36462534,0,0,56623104,0,0,0,0,589824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18432,589824,46577664,44188149,4627392,1490485248,17694720,1769472,0,0,1769472,18432,35926371,2260176416,2304,1489305600,0,0,0,0,0,0,3538944,36864,3538944,0,1769472,18432,0,0,21233664,1769531,3539671,36864,0,0
1024,"Tesla K40c (0)","2","14","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,6189506,6181105,93459,93247,32771,32779,32774,32770,2083433,2081378,2085061,2084926,32768,32768,32768,32768,4194304,4194304,4194304,4194304,2110210,2107658,2110566,2109928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4194608,4194703,4194552,4195124,32772,32773,32774,32769,85282218,0,0,134217728,0,0,0,0,1048576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32768,1048576,110067712,104664975,10847168,3522166784,41943040,4194304,0,0,4194304,32768,85037981,5397613054,4096,3520069632,0,0,0,0,0,0,8388608,65536,8388608,0,4194304,32768,0,0,50331648,4194407,8390109,65536,0,0
1280,"Tesla K40c (0)","2","14","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,12437342,12437005,150185,150135,51203,51201,51205,51208,4148399,4148563,4143963,4153541,51200,51200,51200,51200,8192000,8192000,8192000,8192000,4046132,4036762,4042762,4048520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,8192751,8193059,8192824,8192819,51207,51201,51208,51202,166538388,0,0,262144000,0,0,0,0,1638400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51200,1638400,214579200,204324345,21044160,6866534400,81920000,8192000,0,0,8192000,51200,166008841,10569270434,6400,6863257600,0,0,0,0,0,0,16384000,102400,16384000,0,8192000,51200,0,0,98304000,8192179,16387586,102400,0,0
1536,"Tesla K40c (0)","2","14","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,21747660,21728312,214134,214695,73731,73736,73729,73729,7252853,7246047,7242444,7247734,73728,73728,73728,73728,14155776,14155776,14155776,14155776,6909178,6910110,6911410,6910680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,14158344,14156540,14157601,14156672,73733,73733,73735,73732,287656089,0,0,452984832,0,0,0,0,2359296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73728,2359296,370335744,352889615,36201408,11850743808,141557760,14155776,0,0,14155776,73728,286634207,18282966990,9216,11846025216,0,0,0,0,0,0,28311552,147456,28311552,0,14155776,73728,0,0,169869312,14156014,28317514,147456,0,0
1792,"Tesla K40c (0)","2","14","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,34370706,34397221,292831,292631,100370,100353,100355,100354,11462477,11469650,11480537,11474332,100488,100352,100352,100352,22478848,22478848,22478848,22478848,11008736,11021166,10999732,11005998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,22481244,22481208,22482952,22481112,100356,100355,100355,100353,455956131,0,0,719323136,0,0,0,0,3211264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100352,3211264,587560960,560220551,57301952,18801950720,224788480,22478848,0,0,22478848,100352,455318009,29051460902,12544,18795528192,0,0,0,0,0,0,44957696,200704,44957696,0,22478848,100352,0,0,269746176,22479195,44967201,200704,0,0
2048,"Tesla K40c (0)","2","14","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,51002214,50994946,376460,376369,131076,131073,131078,131073,17144839,17141750,17141375,17141974,131204,131072,131072,131072,33554432,33554432,33554432,33554432,16429670,16415122,16425832,16427144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,33558207,33557403,33557705,33557637,131081,131074,131081,131157,680496135,0,0,1073741824,0,0,0,0,4194304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131072,4194304,876478464,836061290,85328832,28047310848,335544320,33554432,0,0,33554432,131072,679321825,43378061688,16384,28038922240,0,0,0,0,0,0,67108864,262144,67108864,0,33554432,131072,0,0,402653184,33555069,67122001,262144,0,0
2304,"Tesla K40c (0)","2","14","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,73282502,73284745,492757,492508,165892,165890,165891,165895,24434535,24435894,24437749,24438834,165888,165948,165888,165888,47775744,47775744,47775744,47775744,23345166,23337106,23337598,23350830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,47780549,47781616,47781432,47781512,165889,165889,165892,165892,968081118,0,0,1528823808,0,0,0,0,5308416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165888,5308416,1247311872,1190214115,121265088,39913979904,477757440,47775744,0,0,47775744,165888,967117165,61772451924,20736,39903363072,0,0,0,0,0,0,95551488,331776,95551488,0,47775744,165888,0,0,573308928,47776359,95570791,331776,0,0
2560,"Tesla K40c (0)","2","14","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,100823010,100824172,609396,609164,204803,204809,204806,204801,33616319,33617886,33612415,33617097,204800,204800,204800,204800,65536000,65536000,65536000,65536000,31926708,31908462,31925158,31928958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,65543737,65542785,65542357,65542724,204865,204802,204806,204804,1328362017,0,0,2097152000,0,0,0,0,6553600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204800,6553600,1710284800,1632408224,166093760,54729113600,655360000,65536000,0,0,65536000,204800,1327081559,84799483718,25600,54716006400,0,0,0,0,0,0,131072000,409600,131072000,0,65536000,204800,0,0,786432000,65536817,131097700,409600,0,0
