256,"Tesla K40c (0)","2","14","matMul(float*, float*, float*, int, int)",0.000000,0.000000,89.730822,0.324970,0.915678,18.393605,130.798972,89.730822,0.324970,1.438483,0.000000,1.296670,0.000000,0.000000,0.000000,6.913568,966.797922,523.195889,138.973908,0.000000,0.000000,13.235294,25.000000,99.999372,0.000000,138.973908,0.000000,0.011580,100.000000,0.000000,0.798829,2973.000000,18.133065,0.000000,0.000000,0.000000,0.000000,8.500000,16.000000,0,0,0,0,8912896,32768,0,1,0,433,60551,8913336,32783,0.000000,0.000000,0.000000,0.000000,138.980769,523.435390,0.000000,16.349609,99.899092,305909,270336,9373930,1050624,33554432,0,0,16777216,0,0,0,0,0,1.196534,3.229687,4.157357,0.000000,0.000000,0.243251,"Low (1)","Low (3)","Idle (0)","Low (1)","Low (1)","Mid (6)","Low (2)","Low (1)","Idle (0)",6088704,14847199,13484642,0.000000,0,0.000000,0.000000,0.000000,0.000000,16777216,0,126484480,0,8454144,33619968,9306112,0,0.000000,0,0.000000,8912896,33804,0,539.737361,0,29228,466.673872,28.316588,0.024288,0.421606,0.000000,17.293674,45.538620,27.203843,0.000000
512,"Tesla K40c (0)","2","14","matMul(float*, float*, float*, int, int)",0.000000,0.000000,98.514348,0.328246,0.951870,20.643143,73.397840,98.514348,0.328246,1.445308,0.000000,1.300490,0.000000,0.000000,0.000000,214.179325,149.573187,293.591362,155.970412,0.000000,0.000000,13.235294,25.000000,99.934943,0.000000,155.970412,0.000000,0.000000,100.000000,0.000000,0.803159,5917.000000,18.237703,0.000000,0.000000,0.000000,0.000000,8.500000,16.000000,0,0,0,0,71303168,131072,0,5,0,95619,66776,71306335,131586,0.000000,0.000000,0.000000,0.000000,155.977339,294.742683,0.000000,11.467773,99.949299,2448630,2129920,74950292,8396800,268435456,0,0,134217728,0,0,0,0,0,1.172763,3.138519,4.092344,0.000000,0.000000,0.240875,"Low (1)","Low (3)","Idle (0)","Low (1)","Low (1)","Mid (6)","Low (2)","Low (1)","Idle (0)",48472064,118589639,107714744,0.000000,0,0.000000,0.000000,0.000000,0.000000,134217728,0,1009254400,0,67371008,268697600,70778880,0,0.000000,0,0.000000,71303168,131072,0,293.591362,0,76717,171.840275,28.524877,0.003350,0.466405,0.000000,17.071501,45.755770,28.140311,0.000000
768,"Tesla K40c (0)","2","14","matMul(float*, float*, float*, int, int)",0.000000,0.000000,98.550639,0.326858,0.969221,21.101353,50.018021,98.550639,0.326858,1.451688,0.000000,1.301772,0.000000,0.000000,0.000000,2.835116,124.667176,200.072083,159.432442,0.000000,0.000000,13.235294,25.000000,99.097969,0.000000,159.432442,0.000000,0.000000,100.000000,0.000000,0.801612,8861.000000,18.224499,0.000000,0.000000,0.000000,0.000000,8.500000,16.000000,0,0,0,0,240648192,294912,0,9,0,4279340,183763,240660144,305454,0.000000,0.000000,0.000000,0.000000,159.440360,207.223911,0.000000,6.251953,99.966144,7917842,7151616,254262747,28329984,905969664,0,0,452984832,0,0,0,0,0,1.164947,3.054600,4.008831,0.000000,0.000000,0.234712,"Low (1)","Low (3)","Idle (0)","Low (1)","Low (1)","Mid (6)","Low (2)","Low (1)","Idle (0)",163325952,400424346,364171433,0.000000,0,0.000000,0.000000,0.000000,0.000000,452984832,0,3403284480,0,227082240,906559488,234749952,0,0.000000,0,0.000000,240648192,294912,0,200.072083,0,2201529,1.458541,28.702381,0.001220,0.465349,0.000000,16.811144,46.022165,28.847085,0.000000
1024,"Tesla K40c (0)","2","14","matMul(float*, float*, float*, int, int)",0.000000,0.000000,99.476067,0.326149,0.982442,21.233369,37.748211,99.476067,0.326149,1.453713,0.000000,1.302414,0.000000,0.000000,0.000000,4.064558,76.052255,150.992846,160.429899,0.000000,0.000000,13.235294,25.000000,98.728782,0.000000,160.429899,0.000000,0.000000,100.000000,0.000000,0.800355,11805.000000,18.211781,0.000000,0.000000,0.000000,0.000000,8.500000,16.000000,0,0,0,0,570425344,524288,0,0,0,14451962,264074,570452188,526532,0.000000,0.000000,0.000000,0.000000,160.437449,151.639109,0.000000,0.000000,99.974587,17968336,16908288,604126273,67141632,2147483648,0,0,1073741824,0,0,0,0,0,1.168578,2.996770,3.955077,0.000000,0.000000,0.229497,"Low (1)","Low (3)","Idle (0)","Low (1)","Idle (0)","Mid (6)","Low (2)","Low (1)","Idle (0)",386826240,949160440,863966898,0.000000,0,0.000000,0.000000,0.000000,0.000000,1073741824,0,8063549440,0,537919488,2148532224,551550976,0,0.000000,0,0.000000,570425344,524288,0,150.992846,0,7294410,2.051524,28.859034,0.000413,0.469061,0.000000,16.624198,46.166433,29.314153,0.000000
1280,"Tesla K40c (0)","2","14","matMul(float*, float*, float*, int, int)",0.000000,0.000000,99.756124,0.325832,0.988883,21.271653,30.253017,99.756124,0.325832,1.454230,0.000000,1.302800,0.000000,0.000000,0.000000,4.662344,62.308069,121.012071,160.719157,0.000000,0.000000,13.235294,25.000000,98.552240,0.000000,160.719157,0.000000,0.000018,100.000000,0.000000,0.799687,14749.000000,18.205195,0.000000,0.000000,0.000000,0.000000,8.500000,16.000000,0,0,0,0,1114112000,819200,0,0,0,32319565,421799,1114167888,823661,0.000000,0.000000,0.000000,0.000000,160.727219,121.671048,0.000000,0.000000,99.979660,34458571,32972800,1181009606,131123200,4194304000,0,0,2097152000,0,0,0,0,0,1.172222,2.971192,3.930322,0.000000,0.000000,0.226870,"Low (1)","Low (3)","Idle (0)","Low (1)","Idle (0)","Mid (6)","Low (2)","Low (1)","Idle (0)",755148800,1853421638,1687756016,0.000000,0,0.000000,0.000000,0.000000,0.000000,2097152000,0,15745024000,0,1050214400,4195942400,1071513600,0,0.000000,0,0.000000,1114112000,819396,0,121.041023,0,16367246,2.361100,28.865719,0.000213,0.470126,0.000000,16.527201,46.306261,29.587055,0.000000
1536,"Tesla K40c (0)","2","14","matMul(float*, float*, float*, int, int)",0.000000,0.000000,99.630086,0.325587,0.981279,21.272919,25.212348,99.630086,0.325587,1.457936,0.000000,1.303058,0.000000,0.000000,0.000000,4.961251,60.579756,100.849394,160.728723,0.000000,0.000000,13.235294,25.000000,98.461271,0.000000,160.728723,0.000000,0.000008,100.000000,0.000000,0.800294,17693.000000,18.211788,0.000000,0.000000,0.000000,0.000000,8.500000,16.000000,0,0,0,0,1925185536,1179648,0,4,0,59425147,708609,1925272546,1233087,0.000000,0.000000,0.000000,0.000000,160.735987,105.417953,0.000000,358.000000,99.983044,61032341,56918016,2041933262,226566144,7247757312,0,0,3623878656,0,0,0,0,0,1.164026,2.996163,3.963828,0.000000,0.000000,0.229739,"Low (1)","Low (3)","Idle (0)","Low (1)","Low (1)","Mid (6)","Low (2)","Low (1)","Idle (0)",1304469504,3206302763,2918604782,0.000000,0,0.000000,0.000000,0.000000,0.000000,3623878656,0,27202682880,0,1814298624,7250116608,1844969472,0,0.000000,0,0.000000,1925185536,1179800,0,100.862389,0,29985127,2.503380,28.820876,0.000122,0.469339,0.000000,16.656941,46.168306,29.287028,0.000000
1792,"Tesla K40c (0)","2","14","matMul(float*, float*, float*, int, int)",0.000000,0.000000,99.810578,0.325906,0.982113,20.957094,21.289745,99.810578,0.325906,1.455523,0.000000,1.303242,0.000000,0.000000,0.000000,4.853541,52.459084,85.158982,158.342484,0.000000,0.000000,13.235294,25.000000,98.472490,0.000000,158.342484,0.000000,0.000000,100.000000,0.000000,0.800245,20637.000000,18.209995,0.000000,0.000000,0.000000,0.000000,8.500000,16.000000,0,0,0,0,3057123328,1605632,0,10,0,93707471,989091,3057261844,1671520,0.000000,0.000000,0.000000,0.000000,158.349659,88.653529,0.000000,556.000000,99.985463,96618445,90316800,3237086334,359761920,11509170176,0,0,5754585088,0,0,0,0,0,1.165486,2.995568,3.948837,0.000000,0.000000,0.229449,"Low (1)","Mid (4)","Idle (0)","Low (1)","Low (1)","Mid (6)","Low (2)","Low (1)","Idle (0)",2070964224,5085301041,4628751388,0.000000,0,0.000000,0.000000,0.000000,0.000000,5754585088,0,43191500800,0,2880503808,11512381440,2922250240,0,0.000000,0,0.000000,3057123328,1605632,0,85.158982,0,47277911,2.448741,28.811070,0.000076,0.470757,0.000000,16.625045,46.224470,29.355786,0.000000
2048,"Tesla K40c (0)","2","14","matMul(float*, float*, float*, int, int)",0.000000,0.000000,99.833034,0.325540,0.986551,21.297805,18.931381,99.833034,0.325540,1.456650,0.000000,1.303380,0.000000,0.000000,0.000000,4.878164,43.790664,75.725528,160.916747,0.000000,0.000000,13.235294,25.000000,98.488107,0.000000,160.916747,0.000000,0.000003,100.000000,0.000000,0.799754,23581.000000,18.205043,0.000000,0.000000,0.000000,0.000000,8.500000,16.000000,0,0,0,0,4563402752,2097152,0,1,0,138338789,1212744,4563613877,2148653,0.000000,0.000000,0.000000,0.000000,160.924192,77.585164,0.000000,37.000000,99.987278,142073007,134742016,4839099675,537001984,17179869184,0,0,8589934592,0,0,0,0,0,1.168379,2.976458,3.936677,0.000000,0.000000,0.227276,"Low (1)","Mid (4)","Idle (0)","Low (1)","Low (1)","Mid (6)","Low (2)","Low (1)","Idle (0)",3090808832,7593036608,6913768749,0.000000,0,0.000000,0.000000,0.000000,0.000000,8589934592,0,64466452480,0,4299161600,17184063488,4353687552,0,0.000000,0,0.000000,4563402752,2097304,0,75.731016,0,69641427,2.455727,28.853123,0.000051,0.470435,0.000000,16.574229,46.263806,29.498984,0.000000
2304,"Tesla K40c (0)","2","14","matMul(float*, float*, float*, int, int)",0.000000,0.000000,99.813168,0.325687,0.990767,20.952142,16.554778,99.813168,0.325687,1.454218,0.000000,1.303487,0.000000,0.000000,0.000000,5.204164,42.039306,66.219113,158.305070,0.000000,0.000000,13.235294,25.000000,98.358795,0.000000,158.305070,0.000000,0.000000,100.000000,0.000000,0.799330,26525.000000,18.199412,0.000000,0.000000,0.000000,0.000000,8.500000,16.000000,0,0,0,0,6497501184,2654208,0,7,0,213600614,1685028,6497799709,2804528,0.000000,0.000000,0.000000,0.000000,158.312343,69.969406,0.000000,183.000000,99.988690,199315489,191766528,6884408623,764577792,24461180928,0,0,12230590464,0,0,0,0,0,1.171681,2.961716,3.936628,0.000000,0.000000,0.225691,"Low (1)","Mid (4)","Idle (0)","Low (1)","Low (1)","Mid (6)","Low (2)","Low (1)","Idle (0)",4400179200,10798998933,9834968992,0.000000,0,0.000000,0.000000,0.000000,0.000000,12230590464,0,91782512640,0,6120603648,24466489344,6189613056,0,0.000000,0,0.000000,6497501184,2654208,0,66.219113,0,107260764,2.613300,28.874336,0.000043,0.470626,0.000000,16.498437,46.331468,29.668332,0.000000
2560,"Tesla K40c (0)","2","14","matMul(float*, float*, float*, int, int)",0.000000,0.000000,99.858774,0.325410,0.991201,21.306938,15.151600,99.858774,0.325410,1.456088,0.000000,1.303573,0.000000,0.000000,0.000000,5.089206,33.212262,60.606400,160.985751,0.000000,0.000000,13.235294,25.000000,98.422868,0.000000,160.985751,0.000000,0.000000,100.000000,0.000000,0.799270,29469.000000,18.199578,0.000000,0.000000,0.000000,0.000000,8.500000,16.000000,0,0,0,0,8912896000,3276800,0,6,0,281761337,1795684,8913300256,3346655,0.000000,0.000000,0.000000,0.000000,160.993053,61.898411,0.000000,116.000000,99.989820,272913736,262963200,9454256990,1048780800,33554432000,0,0,16777216000,0,0,0,0,0,"<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","Low (1)","Mid (4)","Idle (0)","Low (1)","Low (1)","Mid (6)","Low (2)","Low (1)","Idle (0)",6035251200,14823105728,13501089773,0.000000,0,0.000000,0.000000,0.000000,0.000000,16777216000,0,125894656000,0,8395161600,33560985600,8480358400,0,0.000000,0,0.000000,8912896000,3276800,0,60.606400,0,141540241,2.556516,"<OVERFLOW>","<OVERFLOW>",0.470494,0.000000,"<OVERFLOW>","<OVERFLOW>","<OVERFLOW>",0.000000
