"","GPUs","CUDAKernels","TestDuration","predictions","acc","mape"
"151","Tesla-K40","BCK-K1",5.1974e-05,6.6511623084364e-05,1.27970952946404,26.4603978442249
"121","Tesla-K40","BCK-K1",4.416e-05,5.78458968389821e-05,1.30991614218709,26.4603978442249
"81","Tesla-K40","BCK-K1",3.5488e-05,4.61970609910358e-05,1.30176569519375,26.4603978442249
"341","Tesla-K40","BCK-K1",9.5776e-05,0.000120214777435015,1.25516598558109,26.4603978442249
"101","Tesla-K40","BCK-K1",3.9712e-05,5.20361518224695e-05,1.31033823082367,26.4603978442249
"461","Tesla-K40","BCK-K1",0.000122016,0.000153437802904408,1.25752198813605,26.4603978442249
"511","Tesla-K40","BCK-K1",0.000132928,0.000167165015385806,1.25756059961638,26.4603978442249
"501","Tesla-K40","BCK-K1",0.000130944,0.000164432190814133,1.25574437022035,26.4603978442249
"441","Tesla-K40","BCK-K1",0.000117825,0.000147942078655035,1.25560856061986,26.4603978442249
"431","Tesla-K40","BCK-K1",0.000114944,0.000145184218356649,1.26308653219523,26.4603978442249
"551","Tesla-K40","BCK-K1",0.000141856,0.000178091339412088,1.25543748175677,26.4603978442249
"481","Tesla-K40","BCK-K1",0.00012608,0.000158933841584565,1.26057932728874,26.4603978442249
"381","Tesla-K40","BCK-K1",0.000104704,0.000131350125582246,1.25449004414584,26.4603978442249
"371","Tesla-K40","BCK-K1",0.000101824,0.000128561635076775,1.26258676811729,26.4603978442249
"311","Tesla-K40","BCK-K1",8.9024e-05,0.000111844126472768,1.25633679089648,26.4603978442249
"71","Tesla-K40","BCK-K1",3.3472e-05,4.32608665942568e-05,1.29244940828922,26.4603978442249
"351","Tesla-K40","BCK-K1",9.8112e-05,0.000123014887636142,1.2538210171655,26.4603978442249
"110","Tesla-K40","BCK-K1",2.0576e-05,2.5383706550781e-05,1.23365603376657,26.4603978442249
"361","Tesla-K40","BCK-K1",0.000100065,0.000125790432583737,1.25708721914493,26.4603978442249
"210","Tesla-K40","BCK-K1",2.288e-05,2.8391352230093e-05,1.24088077928728,26.4603978442249
"261","Tesla-K40","BCK-K1",7.7536e-05,9.78091957115769e-05,1.26146816590457,26.4603978442249
"161","Tesla-K40","BCK-K1",5.504e-05,6.93748579977614e-05,1.26044436769189,26.4603978442249
"111","Tesla-K40","BCK-K1",4.176e-05,5.49474902436306e-05,1.31579239089154,26.4603978442249
"321","Tesla-K40","BCK-K1",9.136e-05,0.000114650525395971,1.25493132000844,26.4603978442249
"281","Tesla-K40","BCK-K1",8.1952e-05,0.000103439695892037,1.26219855393447,26.4603978442249
"421","Tesla-K40","BCK-K1",0.000113056,0.000142412167375263,1.25966041055108,26.4603978442249
"310","Tesla-K40","BCK-K1",2.5344e-05,3.13923659527447e-05,1.23865080305969,26.4603978442249
"571","Tesla-K40","BCK-K1",0.000146209,0.000183563240077809,1.25548523057957,26.4603978442249
"451","Tesla-K40","BCK-K1",0.000120096,0.000150693319422474,1.25477384277973,26.4603978442249
"331","Tesla-K40","BCK-K1",9.2992e-05,0.00011743016103331,1.26279853141464,26.4603978442249
"221","Tesla-K40","BCK-K1",6.7776e-05,8.65032722845244e-05,1.27631126482124,26.4603978442249
