"","gpus","apps","measured","predicted","accuracy","mape"
"983","Tesla-K40","MMGU",0.000956291,0.000757374753259863,0.791991928460963,20.1027308271206
"984","Tesla-K40","MMGU",0.007332473,0.00678294386344792,0.925055416289691,20.1027308271206
"985","Tesla-K40","MMGU",0.024802,0.0236193452628922,0.952316154459005,20.1027308271206
"986","Tesla-K40","MMGU",0.058757,0.0571351258132626,0.972396919741692,20.1027308271206
"987","Tesla-K40","MMGU",0.114704,0.114602604183866,0.99911602196842,20.1027308271206
"988","Tesla-K40","MMGU",0.198236,0.199587071470284,1.00681546979501,20.1027308271206
"989","Tesla-K40","MMGU",0.314781,0.320875324579236,1.01936052232897,20.1027308271206
"990","Tesla-K40","MMGU",0.46939,0.48619966515231,1.03581172405102,20.1027308271206
"991","Tesla-K40","MMGU",0.669089,0.694643702765263,1.03819327886912,20.1027308271206
"992","Tesla-K40","MMGU",0.917101,0.962944287126132,1.04998717385122,20.1027308271206
"993","Tesla-K40","MMGU",1.220711,1.29035029319805,1.05704814095887,20.1027308271206
"994","Tesla-K40","MMGU",1.586882,1.68301485239704,1.06057971065085,20.1027308271206
"995","Tesla-K40","MMGU",2.014439,2.1591061873195,1.07181512436936,20.1027308271206
"996","Tesla-K40","MMGU",2.516749,2.70344234781767,1.07418036038464,20.1027308271206
"997","Tesla-K40","MMGU",3.09952,3.3439566105409,1.07886273053276,20.1027308271206
"998","Tesla-K40","MMGU",3.757629,4.07998457424128,1.08578696146993,20.1027308271206
"999","Tesla-K40","MMGU",4.508798,4.90900849487216,1.08876212570893,20.1027308271206
"1000","Tesla-K40","MMGU",5.360071,5.86082122651341,1.09342231222561,20.1027308271206
"1001","Tesla-K40","MMGU",6.295965,6.91868784064182,1.09890824371511,20.1027308271206
"1002","Tesla-K40","MMGU",7.347639,8.09825932073707,1.10215802936659,20.1027308271206
"1003","Tesla-K40","MMGU",8.512002,9.40639568831031,1.10507442177649,20.1027308271206
"1004","Tesla-K40","MMGU",9.784685,10.8499807177234,1.10887378773291,20.1027308271206
"1005","Tesla-K40","MMGU",11.18049,12.4359208798838,1.11228764391219,20.1027308271206
"1006","Tesla-K40","MMGU",12.729795,14.1711443789979,1.11322644072414,20.1027308271206
"1015","Tesla-K40","MMGU",0.001800572,0.00188418834948818,1.04643877028421,20.1027308271206
"1016","Tesla-K40","MMGU",0.013445,0.0164650578784639,1.22462312223607,20.1027308271206
"1017","Tesla-K40","MMGU",0.044796,0.0582346507976944,1.29999666929401,20.1027308271206
"1018","Tesla-K40","MMGU",0.105913,0.14281168874791,1.34838677733527,20.1027308271206
"1019","Tesla-K40","MMGU",0.206655,0.28519855984816,1.38007093875377,20.1027308271206
"1020","Tesla-K40","MMGU",0.356825,0.495067877014162,1.38742486376841,20.1027308271206
"1021","Tesla-K40","MMGU",0.566061,0.79526937075276,1.40491814619407,20.1027308271206
"1022","Tesla-K40","MMGU",0.845144,1.20375411381763,1.42431835736588,20.1027308271206
