"","GPUs","CUDAKernels","TestDuration","predictions","acc","mape"
"151","Tesla-K40","BCK-K1",5.1974e-05,4.87430337778098e-05,0.937834951664483,4.78412914681816
"121","Tesla-K40","BCK-K1",4.416e-05,4.23810353683642e-05,0.959715474827087,4.78412914681816
"81","Tesla-K40","BCK-K1",3.5488e-05,3.72413437716045e-05,1.04940666624224,4.78412914681816
"341","Tesla-K40","BCK-K1",9.5776e-05,9.14677758764628e-05,0.955017706695444,4.78412914681816
"101","Tesla-K40","BCK-K1",3.9712e-05,3.9798857829102e-05,1.0021871935209,4.78412914681816
"461","Tesla-K40","BCK-K1",0.000122016,0.000116205452595196,0.952378807657976,4.78412914681816
"511","Tesla-K40","BCK-K1",0.000132928,0.000123001874585983,0.925327053637934,4.78412914681816
"501","Tesla-K40","BCK-K1",0.000130944,0.000120497303535835,0.920220121088674,4.78412914681816
"441","Tesla-K40","BCK-K1",0.000117825,0.000112649879965104,0.956077911861696,4.78412914681816
"431","Tesla-K40","BCK-K1",0.000114944,0.000112438251250669,0.97820026491743,4.78412914681816
"551","Tesla-K40","BCK-K1",0.000141856,0.00013625583577097,0.960522189903635,4.78412914681816
"481","Tesla-K40","BCK-K1",0.00012608,0.000118414015780928,0.939197460191372,4.78412914681816
"381","Tesla-K40","BCK-K1",0.000104704,9.86303071554434e-05,0.941991778303058,4.78412914681816
"371","Tesla-K40","BCK-K1",0.000101824,9.67495807069954e-05,0.950164801097928,4.78412914681816
"311","Tesla-K40","BCK-K1",8.9024e-05,8.76736727492168e-05,0.984831873980239,4.78412914681816
"71","Tesla-K40","BCK-K1",3.3472e-05,3.353532916786e-05,1.00189200429792,4.78412914681816
"351","Tesla-K40","BCK-K1",9.8112e-05,9.43297293062608e-05,0.961449458845613,4.78412914681816
"110","Tesla-K40","BCK-K1",2.0576e-05,2.30627127243353e-05,1.12085501187477,4.78412914681816
"361","Tesla-K40","BCK-K1",0.000100065,9.54197113400239e-05,0.953577288162933,4.78412914681816
"210","Tesla-K40","BCK-K1",2.288e-05,2.41081403479574e-05,1.05367746276037,4.78412914681816
"261","Tesla-K40","BCK-K1",7.7536e-05,7.23077971199446e-05,0.932570639702133,4.78412914681816
"161","Tesla-K40","BCK-K1",5.504e-05,4.91729496911296e-05,0.893403882469652,4.78412914681816
"111","Tesla-K40","BCK-K1",4.176e-05,4.08098560961231e-05,0.977247511880342,4.78412914681816
"321","Tesla-K40","BCK-K1",9.136e-05,8.89492381429547e-05,0.973612501564741,4.78412914681816
"281","Tesla-K40","BCK-K1",8.1952e-05,8.12695256805467e-05,0.99167226767555,4.78412914681816
"421","Tesla-K40","BCK-K1",0.000113056,0.000107458311083605,0.950487467127835,4.78412914681816
