"","Gpus","Apps","InputSize","ThreadBlock","Measured","Predicted","accuracy","Min","max","Mean","Median","SD","mse","mae","mape"
"983","Tesla-K40","MMGU",256,8,0.000956291,0.000757374818381856,0.791991996559474,0.580488275857337,1.53848045389322,1.09933287143989,1.05881392106568,0.271957282075248,0.0828005497990037,1.70356946149928,6.60009862480556
"984","Tesla-K40","MMGU",512,8,0.007332473,0.00678294373567118,0.925055398863545,0.580488275857337,1.53848045389322,1.09933287143989,1.05881392106568,0.271957282075248,0.0828005497990037,1.70356946149928,6.60009862480556
"985","Tesla-K40","MMGU",768,8,0.024802,0.0236193447286526,0.952316132918822,0.580488275857337,1.53848045389322,1.09933287143989,1.05881392106568,0.271957282075248,0.0828005497990037,1.70356946149928,6.60009862480556
"986","Tesla-K40","MMGU",1024,8,0.058757,0.057135124650045,0.972396899944603,0.580488275857337,1.53848045389322,1.09933287143989,1.05881392106568,0.271957282075248,0.0828005497990037,1.70356946149928,6.60009862480556
"987","Tesla-K40","MMGU",1280,8,0.114704,0.114602602192002,0.999116004603169,0.580488275857337,1.53848045389322,1.09933287143989,1.05881392106568,0.271957282075248,0.0828005497990037,1.70356946149928,6.60009862480556
"988","Tesla-K40","MMGU",1536,8,0.198236,0.199587068510731,1.00681545486557,0.580488275857337,1.53848045389322,1.09933287143989,1.05881392106568,0.271957282075248,0.0828005497990037,1.70356946149928,6.60009862480556
"989","Tesla-K40","MMGU",1792,8,0.314781,0.320875320583609,1.01936050963562,0.580488275857337,1.53848045389322,1.09933287143989,1.05881392106568,0.271957282075248,0.0828005497990037,1.70356946149928,6.60009862480556
"990","Tesla-K40","MMGU",2048,8,0.46939,0.486199660160824,1.03581171341704,0.580488275857337,1.53848045389322,1.09933287143989,1.05881392106568,0.271957282075248,0.0828005497990037,1.70356946149928,6.60009862480556
"991","Tesla-K40","MMGU",2304,8,0.669089,0.694643696884701,1.03819327008021,0.580488275857337,1.53848045389322,1.09933287143989,1.05881392106568,0.271957282075248,0.0828005497990037,1.70356946149928,6.60009862480556
"992","Tesla-K40","MMGU",2560,8,0.917101,0.962944280656641,1.04998716679694,0.580488275857337,1.53848045389322,1.09933287143989,1.05881392106568,0.271957282075248,0.0828005497990037,1.70356946149928,6.60009862480556
"993","Tesla-K40","MMGU",2816,8,1.220711,1.29035028652291,1.05704813549064,0.580488275857337,1.53848045389322,1.09933287143989,1.05881392106568,0.271957282075248,0.0828005497990037,1.70356946149928,6.60009862480556
"994","Tesla-K40","MMGU",3072,8,1.586882,1.68301484603346,1.06057970664073,0.580488275857337,1.53848045389322,1.09933287143989,1.05881392106568,0.271957282075248,0.0828005497990037,1.70356946149928,6.60009862480556
"995","Tesla-K40","MMGU",3328,8,2.014439,2.15910618209393,1.07181512177531,0.580488275857337,1.53848045389322,1.09933287143989,1.05881392106568,0.271957282075248,0.0828005497990037,1.70356946149928,6.60009862480556
