"","CUDAKernels","GPUs","measured","predicted","accuracy","threshCorr","numberFeatures","mape"
"417","18","GTX-680",6.08299179596939,6.11419304210086,1.00512925993952,"0.75","5",1.80208871612863
"418","18","GTX-680",4.80462328854283,4.80601345935712,1.00028934023144,"0.75","5",1.80208871612863
"419","18","GTX-680",4.28536334091188,4.28657546405218,1.00028285189466,"0.75","5",1.80208871612863
"420","18","GTX-680",3.95220140108095,3.91106355724905,0.989591157014253,"0.75","5",1.80208871612863
"421","18","GTX-680",3.8911375541834,3.84171468440571,0.987298606361382,"0.75","5",1.80208871612863
"422","18","GTX-680",2.9707907580318,2.91157245179605,0.980066483620346,"0.75","5",1.80208871612863
"423","18","GTX-680",3.75403678044033,3.72303279350765,0.991741160583663,"0.75","5",1.80208871612863
"424","18","GTX-680",3.07397456085329,3.02047923801413,0.982597343673429,"0.75","5",1.80208871612863
"425","18","GTX-680",3.07110526580361,3.00972152420553,0.980012491827756,"0.75","5",1.80208871612863
"426","18","GTX-680",2.63898734815129,2.52699315543446,0.957561678802559,"0.75","5",1.80208871612863
"427","18","GTX-680",3.27012669448186,3.17880470542144,0.972073868203786,"0.75","5",1.80208871612863
"428","18","GTX-680",2.17186424593166,2.02168372487244,0.930851791800274,"0.75","5",1.80208871612863
"429","18","GTX-680",3.04493815784309,2.94100446828307,0.965866732205279,"0.75","5",1.80208871612863
"430","18","GTX-680",2.38092076825463,2.25104701465207,0.945452299238934,"0.75","5",1.80208871612863
"431","18","GTX-680",2.31281248553369,2.17426474707539,0.940095559270414,"0.75","5",1.80208871612863
"432","18","GTX-680",2.30060488956623,2.17800344964391,0.946709041401092,"0.75","5",1.80208871612863
"433","18","GTX-680",2.40277606783429,2.28333496739352,0.950290373689119,"0.75","5",1.80208871612863
"434","18","GTX-680",1.66386242642474,1.48505696800034,0.892535911873066,"0.75","5",1.80208871612863
"435","18","GTX-680",2.66119679300551,2.54063290298461,0.954695612764236,"0.75","5",1.80208871612863
"436","18","GTX-680",1.83324147044937,1.67422521865951,0.913259516352263,"0.75","5",1.80208871612863
"437","18","GTX-680",2.11613390318525,1.96813744043028,0.930062808155856,"0.75","5",1.80208871612863
"438","18","GTX-680",1.89445329428293,1.74061033468733,0.918792952003689,"0.75","5",1.80208871612863
"439","18","GTX-680",2.43950300868147,2.30646992466683,0.945467136731861,"0.75","5",1.80208871612863
"440","18","GTX-680",1.26834480327735,1.06873271479831,0.842620013135816,"0.75","5",1.80208871612863
"441","18","GTX-680",2.10091785157509,1.93726301721605,0.922103173031567,"0.75","5",1.80208871612863
"442","18","GTX-680",1.64970248999345,1.48540894444777,0.900410197267547,"0.75","5",1.80208871612863
"443","18","GTX-680",1.89929754510672,1.73561947290764,0.913821784995839,"0.75","5",1.80208871612863
"444","18","GTX-680",1.48263415797816,1.29714314682758,0.874890909431404,"0.75","5",1.80208871612863
"445","18","GTX-680",2.2101679837581,2.05768153763127,0.931006852308328,"0.75","5",1.80208871612863
"446","18","GTX-680",1,0.793369830592272,0.793369830592272,"0.75","5",1.80208871612863
"447","18","GTX-680",2.1339415616432,1.97574830234032,0.925868045242497,"0.75","5",1.80208871612863
"448","18","GTX-680",1.49650953594583,1.32328737509881,0.884249210121114,"0.75","5",1.80208871612863
"513","19","GTX-680",6.86821612000843,6.75768529524012,0.983906909328856,"0.75","5",1.80208871612863
"514","19","GTX-680",6.12143345901053,6.12696559720834,1.00090373247293,"0.75","5",1.80208871612863
"515","19","GTX-680",5.69230660626684,5.70231215505757,1.00175773187968,"0.75","5",1.80208871612863
"516","19","GTX-680",5.38122066062693,5.38867109289937,1.00138452457952,"0.75","5",1.80208871612863
"517","19","GTX-680",5.11137123820831,5.10479130740777,0.998712687751704,"0.75","5",1.80208871612863
"518","19","GTX-680",4.90460210904447,4.89368616425329,0.997774346512014,"0.75","5",1.80208871612863
"519","19","GTX-680",4.73136925703835,4.73936351359415,1.00168962854546,"0.75","5",1.80208871612863
"520","19","GTX-680",4.58472279707844,4.59402750076978,1.00202950191389,"0.75","5",1.80208871612863
"521","19","GTX-680",4.43395273186044,4.43915516981759,1.00117331831704,"0.75","5",1.80208871612863
"522","19","GTX-680",4.31146694976317,4.30174242299275,0.997744496969656,"0.75","5",1.80208871612863
"523","19","GTX-680",4.19657919794529,4.18922340744094,0.998247193688622,"0.75","5",1.80208871612863
"524","19","GTX-680",4.11524852130422,4.10518747688637,0.997555179385701,"0.75","5",1.80208871612863
"525","19","GTX-680",4.00073583542843,3.97715558186148,0.994106020857931,"0.75","5",1.80208871612863
"526","19","GTX-680",3.92615199949412,3.90397059735143,0.994350345543028,"0.75","5",1.80208871612863
"527","19","GTX-680",3.85079846798395,3.83002783867467,0.994606150001882,"0.75","5",1.80208871612863
