"","GPUs","CUDAKernels","TestDuration","predictions","acc","mape"
"151","Tesla-K40","BCK-K1",5.1974e-05,6.19030937897885e-05,1.19103963115767,15.5967366531815
"121","Tesla-K40","BCK-K1",4.416e-05,5.39209567116545e-05,1.22103615741971,15.5967366531815
"81","Tesla-K40","BCK-K1",3.5488e-05,4.31404688839205e-05,1.21563539461002,15.5967366531815
"341","Tesla-K40","BCK-K1",9.5776e-05,0.000110925866201363,1.15818019338209,15.5967366531815
"101","Tesla-K40","BCK-K1",3.9712e-05,4.89070482346227e-05,1.23154331775339,15.5967366531815
"461","Tesla-K40","BCK-K1",0.000122016,0.000142402738795906,1.16708250390036,15.5967366531815
"511","Tesla-K40","BCK-K1",0.000132928,0.000154743084047985,1.16411203093392,15.5967366531815
"501","Tesla-K40","BCK-K1",0.000130944,0.000153660405101222,1.17348183270117,15.5967366531815
"441","Tesla-K40","BCK-K1",0.000117825,0.000138245315505889,1.1733105495938,15.5967366531815
"431","Tesla-K40","BCK-K1",0.000114944,0.000135298028893667,1.17707778477926,15.5967366531815
"551","Tesla-K40","BCK-K1",0.000141856,0.000164284734741561,1.15810917227019,15.5967366531815
"481","Tesla-K40","BCK-K1",0.00012608,0.000147046232966187,1.16629309141963,15.5967366531815
"381","Tesla-K40","BCK-K1",0.000104704,0.000122657883068207,1.17147275240876,15.5967366531815
"371","Tesla-K40","BCK-K1",0.000101824,0.000118321888536109,1.16202357534676,15.5967366531815
"311","Tesla-K40","BCK-K1",8.9024e-05,0.000103017349814385,1.15718626229315,15.5967366531815
"71","Tesla-K40","BCK-K1",3.3472e-05,4.09817531108251e-05,1.22435925880811,15.5967366531815
"351","Tesla-K40","BCK-K1",9.8112e-05,0.0001136984607429,1.15886395897444,15.5967366531815
"110","Tesla-K40","BCK-K1",2.0576e-05,2.89927110354203e-05,1.40905477427198,15.5967366531815
"361","Tesla-K40","BCK-K1",0.000100065,0.000116402898985667,1.16327286249605,15.5967366531815
"210","Tesla-K40","BCK-K1",2.288e-05,3.16781502281256e-05,1.38453453794255,15.5967366531815
"261","Tesla-K40","BCK-K1",7.7536e-05,9.08477874008608e-05,1.1716852481539,15.5967366531815
"161","Tesla-K40","BCK-K1",5.504e-05,6.41704887406354e-05,1.1658882402005,15.5967366531815
"111","Tesla-K40","BCK-K1",4.176e-05,5.02385493115806e-05,1.20303039539226,15.5967366531815
"321","Tesla-K40","BCK-K1",9.136e-05,0.00010691924860019,1.17030701182345,15.5967366531815
"281","Tesla-K40","BCK-K1",8.1952e-05,9.62062680096066e-05,1.17393435193292,15.5967366531815
"421","Tesla-K40","BCK-K1",0.000113056,0.000131729939347046,1.16517424415375,15.5967366531815
"310","Tesla-K40","BCK-K1",2.5344e-05,3.39579617619997e-05,1.33988169831122,15.5967366531815
"571","Tesla-K40","BCK-K1",0.000146209,0.000172189963822753,1.17769743191427,15.5967366531815
"451","Tesla-K40","BCK-K1",0.000120096,0.000139494323357268,1.16152347586321,15.5967366531815
"331","Tesla-K40","BCK-K1",9.2992e-05,0.000108478078693538,1.16653130047249,15.5967366531815
"221","Tesla-K40","BCK-K1",6.7776e-05,8.08611952473757e-05,1.19306532175661,15.5967366531815
"91","Tesla-K40","BCK-K1",3.7024e-05,4.6411383718788e-05,1.25354860951783,15.5967366531815
"391","Tesla-K40","BCK-K1",0.000106496,0.000123490795507698,1.15958153834603,15.5967366531815
"181","Tesla-K40","BCK-K1",6.0096e-05,6.85700991102624e-05,1.14100937017875,15.5967366531815
"471","Tesla-K40","BCK-K1",0.000123936,0.000143627489669665,1.15888434086678,15.5967366531815
"58","Tesla-K40","BCK-K1",2.928e-05,3.46738612647165e-05,1.18421657324852,15.5967366531815
"491","Tesla-K40","BCK-K1",0.00012848,0.00014975378635458,1.16558052891174,15.5967366531815
"541","Tesla-K40","BCK-K1",0.000139936,0.000162134152546017,1.15863074938556,15.5967366531815
"251","Tesla-K40","BCK-K1",7.424e-05,8.78477338705478e-05,1.18329382907527,15.5967366531815
"271","Tesla-K40","BCK-K1",8.0288e-05,9.26515114061837e-05,1.15398953026833,15.5967366531815
"411","Tesla-K40","BCK-K1",0.00011072,0.000129235176972415,1.16722522554565,15.5967366531815
"231","Tesla-K40","BCK-K1",7.1424e-05,8.28013408184921e-05,1.15929296620873,15.5967366531815
"201","Tesla-K40","BCK-K1",6.4448e-05,7.47550933596259e-05,1.15992883192071,15.5967366531815
"131","Tesla-K40","BCK-K1",4.6272e-05,5.74018405686838e-05,1.2405307868405,15.5967366531815
"531","Tesla-K40","BCK-K1",0.000137792,0.000160435324115673,1.16432974422081,15.5967366531815
"301","Tesla-K40","BCK-K1",8.6688e-05,0.000102451747319399,1.18184463039174,15.5967366531815
"171","Tesla-K40","BCK-K1",5.7888e-05,6.85787197719502e-05,1.18467937693391,15.5967366531815
"211","Tesla-K40","BCK-K1",6.608e-05,7.7809698318257e-05,1.17750754113585,15.5967366531815
"410","Tesla-K40","BCK-K1",2.7456e-05,3.22083830279273e-05,1.17309087368617,15.5967366531815
"521","Tesla-K40","BCK-K1",0.000135168,0.000156768649393813,1.15980594070943,15.5967366531815
"141","Tesla-K40","BCK-K1",4.9248e-05,5.90885849126275e-05,1.19981694510696,15.5967366531815
"191","Tesla-K40","BCK-K1",6.2848e-05,7.2098534127862e-05,1.14718899770656,15.5967366531815
"291","Tesla-K40","BCK-K1",8.4032e-05,9.84004373471811e-05,1.17098768739505,15.5967366531815
"401","Tesla-K40","BCK-K1",0.000108448,0.000127457617395425,1.17528785588876,15.5967366531815
"241","Tesla-K40","BCK-K1",7.3608e-05,8.46135676332009e-05,1.14951591719923,15.5967366531815
"61","Tesla-K40","BCK-K1",3.1712e-05,3.78667739397953e-05,1.19408343654753,15.5967366531815
"561","Tesla-K40","BCK-K1",0.000143968,0.000167492559381351,1.16340130710541,15.5967366531815
"262","Tesla-K20","BCK-K1",9.0915e-05,8.54431366878517e-05,0.939813415694348,6.01585745122651
"232","Tesla-K20","BCK-K1",8.2691e-05,7.80858059322323e-05,0.944308400336582,6.01585745122651
"272","Tesla-K20","BCK-K1",9.3666e-05,8.79319468819398e-05,0.938781915336833,6.01585745122651
"62","Tesla-K20","BCK-K1",3.6417e-05,3.56623159291084e-05,0.97927659964051,6.01585745122651
"322","Tesla-K20","BCK-K1",0.000106659,0.000100351669329023,0.940864524597296,6.01585745122651
"102","Tesla-K20","BCK-K1",4.7169e-05,4.70149044311245e-05,0.996733117749466,6.01585745122651
"72","Tesla-K20","BCK-K1",3.8977e-05,3.83040147763507e-05,0.982733785985343,6.01585745122651
