"","GPUs","CUDAKernels","measured","predicted","accuracy","mape"
"1","Tesla-K40","BCK-K1",2.0576e-05,1.89472059467585e-05,1.08596486773925,2.31320035574403
"2","Tesla-K40","BCK-K1",2.288e-05,2.13156066901033e-05,1.07339192041965,2.31320035574403
"3","Tesla-K40","BCK-K1",2.5344e-05,2.36840074334481e-05,1.07008917604913,2.31320035574403
"4","Tesla-K40","BCK-K1",2.7456e-05,2.6052408176793e-05,1.05387570368475,2.31320035574403
"5","Tesla-K40","BCK-K1",2.928e-05,2.84208089201378e-05,1.03023105648669,2.31320035574403
"6","Tesla-K40","BCK-K1",3.1712e-05,3.07892096634826e-05,1.0299712251988,2.31320035574403
"7","Tesla-K40","BCK-K1",3.3472e-05,3.31576104068274e-05,1.00948167221085,2.31320035574403
"8","Tesla-K40","BCK-K1",3.5488e-05,3.55260111501722e-05,0.998930047338792,2.31320035574403
"9","Tesla-K40","BCK-K1",3.7024e-05,3.7894411893517e-05,0.97703060029107,2.31320035574403
"10","Tesla-K40","BCK-K1",3.9712e-05,4.02628126368619e-05,0.986319568833163,2.31320035574403
"11","Tesla-K40","BCK-K1",4.176e-05,4.26312133802067e-05,0.979563955348004,2.31320035574403
"12","Tesla-K40","BCK-K1",4.416e-05,4.49996141235515e-05,0.981341748370414,2.31320035574403
"13","Tesla-K40","BCK-K1",4.6272e-05,4.73680148668963e-05,0.976861709953941,2.31320035574403
"14","Tesla-K40","BCK-K1",4.9248e-05,4.97364156102411e-05,0.99017991939611,2.31320035574403
"15","Tesla-K40","BCK-K1",5.1974e-05,5.21048163535859e-05,0.997489361584192,2.31320035574403
"16","Tesla-K40","BCK-K1",5.504e-05,5.44732170969307e-05,1.01040479951938,2.31320035574403
"17","Tesla-K40","BCK-K1",5.7888e-05,5.68416178402756e-05,1.01840873288767,2.31320035574403
"18","Tesla-K40","BCK-K1",6.0096e-05,5.92100185836204e-05,1.01496337001024,2.31320035574403
"19","Tesla-K40","BCK-K1",6.2848e-05,6.15784193269652e-05,1.02061729883474,2.31320035574403
"20","Tesla-K40","BCK-K1",6.4448e-05,6.394682007031e-05,1.00783744882293,2.31320035574403
"21","Tesla-K40","BCK-K1",6.608e-05,6.63152208136548e-05,0.996452989060901,2.31320035574403
"22","Tesla-K40","BCK-K1",6.7776e-05,6.86836215569996e-05,0.98678547321145,2.31320035574403
"23","Tesla-K40","BCK-K1",7.1424e-05,7.10520223003444e-05,1.00523528659161,2.31320035574403
"24","Tesla-K40","BCK-K1",7.3608e-05,7.34204230436893e-05,1.00255483349911,2.31320035574403
"25","Tesla-K40","BCK-K1",7.424e-05,7.57888237870341e-05,0.979563955348004,2.31320035574403
"26","Tesla-K40","BCK-K1",7.7536e-05,7.81572245303789e-05,0.99205160451754,2.31320035574403
"27","Tesla-K40","BCK-K1",8.0288e-05,8.05256252737237e-05,0.997049072603709,2.31320035574403
"28","Tesla-K40","BCK-K1",8.1952e-05,8.28940260170685e-05,0.988635779170931,2.31320035574403
"29","Tesla-K40","BCK-K1",8.4032e-05,8.52624267604133e-05,0.98556894511259,2.31320035574403
"30","Tesla-K40","BCK-K1",8.6688e-05,8.76308275037582e-05,0.989240915205123,2.31320035574403
"31","Tesla-K40","BCK-K1",8.9024e-05,8.9999228247103e-05,0.989164037669019,2.31320035574403
"32","Tesla-K40","BCK-K1",9.136e-05,9.23676289904478e-05,0.989091102570664,2.31320035574403
"33","Tesla-K40","BCK-K1",9.2992e-05,9.47360297337926e-05,0.981590639393552,2.31320035574403
"34","Tesla-K40","BCK-K1",9.5776e-05,9.71044304771374e-05,0.986319568833163,2.31320035574403
"35","Tesla-K40","BCK-K1",9.8112e-05,9.94728312204822e-05,0.986319568833163,2.31320035574403
"36","Tesla-K40","BCK-K1",0.000100065,0.000101841231963827,0.982558813070349,2.31320035574403
"37","Tesla-K40","BCK-K1",0.000101824,0.000104209632707172,0.977107368626128,2.31320035574403
"38","Tesla-K40","BCK-K1",0.000104704,0.000106578033450517,0.982416325486182,2.31320035574403
"39","Tesla-K40","BCK-K1",0.000106496,0.000108946434193861,0.977507899069912,2.31320035574403
"40","Tesla-K40","BCK-K1",0.000108448,0.000111314834937206,0.974245706434156,2.31320035574403
"41","Tesla-K40","BCK-K1",0.00011072,0.000113683235680551,0.973934277443705,2.31320035574403
"42","Tesla-K40","BCK-K1",0.000113056,0.000116051636423896,0.97418703849247,2.31320035574403
"43","Tesla-K40","BCK-K1",0.000114944,0.000118420037167241,0.970646545547595,2.31320035574403
