"","gpus","apps","measured","predicted","accuracy","mape"
"983","Tesla-K40","MMGU",0.000956291,0.00101215306046076,1.05841533639944,17.2655319911972
"984","Tesla-K40","MMGU",0.007332473,0.00793395011055373,1.08202922950466,17.2655319911972
"985","Tesla-K40","MMGU",0.024802,0.0284617868534158,1.14756015052882,17.2655319911972
"986","Tesla-K40","MMGU",0.058757,0.0581288953783903,0.989310131191012,17.2655319911972
"987","Tesla-K40","MMGU",0.114704,0.125764334305,1.0964250096335,17.2655319911972
"988","Tesla-K40","MMGU",0.198236,0.197135670476914,0.994449396057802,17.2655319911972
"989","Tesla-K40","MMGU",0.314781,0.316715721260397,1.00614624535915,17.2655319911972
"990","Tesla-K40","MMGU",0.46939,0.532886990995373,1.13527555123751,17.2655319911972
"991","Tesla-K40","MMGU",0.669089,0.724616120305844,1.08298913942068,17.2655319911972
"992","Tesla-K40","MMGU",0.917101,0.997144528826398,1.0872788589549,17.2655319911972
"993","Tesla-K40","MMGU",1.220711,1.29660611136137,1.06217287413759,17.2655319911972
"994","Tesla-K40","MMGU",1.586882,1.68920915741295,1.06448315464726,17.2655319911972
"995","Tesla-K40","MMGU",2.014439,2.20641916276213,1.09530204824377,17.2655319911972
"996","Tesla-K40","MMGU",2.516749,2.59252924728512,1.03011037146935,17.2655319911972
"997","Tesla-K40","MMGU",3.09952,3.20036104334514,1.03253440640652,17.2655319911972
"998","Tesla-K40","MMGU",3.757629,3.76060667355532,1.00079243415338,17.2655319911972
"999","Tesla-K40","MMGU",4.508798,4.5963835434201,1.01942547513109,17.2655319911972
"1000","Tesla-K40","MMGU",5.360071,5.54295275879813,1.03411927916592,17.2655319911972
"1001","Tesla-K40","MMGU",6.295965,6.29140092015392,0.99927507858667,17.2655319911972
"1002","Tesla-K40","MMGU",7.347639,7.83870315552013,1.06683291810065,17.2655319911972
"1003","Tesla-K40","MMGU",8.512002,8.87136892871834,1.04221884918711,17.2655319911972
"1004","Tesla-K40","MMGU",9.784685,10.3070610994001,1.05338711459797,17.2655319911972
"1005","Tesla-K40","MMGU",11.18049,11.5091664044226,1.02939731661337,17.2655319911972
"1006","Tesla-K40","MMGU",12.729795,11.697623756101,0.918916899769478,17.2655319911972
"1015","Tesla-K40","MMGU",0.001800572,0.00167548831900859,0.930531141775274,17.2655319911972
"1016","Tesla-K40","MMGU",0.013445,0.0108838826977444,0.809511543156893,17.2655319911972
"1017","Tesla-K40","MMGU",0.044796,0.0445092125219327,0.993597922179049,17.2655319911972
"1018","Tesla-K40","MMGU",0.105913,0.0953173944723904,0.899959348450053,17.2655319911972
"1019","Tesla-K40","MMGU",0.206655,0.18894319227733,0.91429286626179,17.2655319911972
"1020","Tesla-K40","MMGU",0.356825,0.312336328146332,0.87532075428104,17.2655319911972
"1021","Tesla-K40","MMGU",0.566061,0.512393701308535,0.905191668934152,17.2655319911972
"1022","Tesla-K40","MMGU",0.845144,0.639281419598772,0.756417154471631,17.2655319911972
"1023","Tesla-K40","MMGU",1.202731,0.94718349514185,0.787527298408247,17.2655319911972
"1024","Tesla-K40","MMGU",1.64933,1.22597727976256,0.743318365495421,17.2655319911972
"1025","Tesla-K40","MMGU",2.195019,1.62826458554682,0.741799768269348,17.2655319911972
"1026","Tesla-K40","MMGU",2.852298,2.1081201624762,0.739095340836124,17.2655319911972
"1027","Tesla-K40","MMGU",3.623919,2.63857117120955,0.728098826494066,17.2655319911972
"1028","Tesla-K40","MMGU",4.525112,3.66734668575459,0.810443296376884,17.2655319911972
"1029","Tesla-K40","MMGU",5.570794,4.67578004821562,0.839338171222204,17.2655319911972
"1030","Tesla-K40","MMGU",6.759666,6.03107212904113,0.892214516078329,17.2655319911972
"1031","Tesla-K40","MMGU",8.105256,6.92100078266866,0.853890461037709,17.2655319911972
"1032","Tesla-K40","MMGU",9.631566,9.01207688617177,0.935681371666016,17.2655319911972
"1033","Tesla-K40","MMGU",11.317552,10.5859460102763,0.93535651616854,17.2655319911972
"1034","Tesla-K40","MMGU",13.209115,12.6842559277459,0.960265387026001,17.2655319911972
"1035","Tesla-K40","MMGU",15.309582,13.3702941502935,0.873328491286926,17.2655319911972
"1036","Tesla-K40","MMGU",17.586966,15.398571418463,0.875567247839279,17.2655319911972
"1037","Tesla-K40","MMGU",20.096443,15.5183427645187,0.772193505314286,17.2655319911972
"1038","Tesla-K40","MMGU",22.859374,15.5097668798261,0.678486072270664,17.2655319911972
"1047","Tesla-K40","MMGU",0.003651678,0.0027370049319745,0.749519791168472,17.2655319911972
"1048","Tesla-K40","MMGU",0.026089,0.0174634962669899,0.669381588676835,17.2655319911972
"1049","Tesla-K40","MMGU",0.086445,0.062776081946515,0.726196795031696,17.2655319911972
