256,"GeForce GTX TITAN (0)","1","7","matMul(float*, float*, float*, int)",0.000000,0.000000,90.351162,0.257575,0.937320,7.636601,477.287582,90.351162,0.257575,2.379229,1.634877,0.717984,0.000000,0.000000,0.000000,32.102717,1.802588,3.818301,61.092811,0.000000,17.187500,12.500000,12.500000,99.944305,0.000000,61.092811,0.000000,0.031226,100.000000,0.000000,0.871519,734.000000,21.432766,0.000000,0.000000,4.000000,16.000000,32.000000,32.000000,0,0,2621440,524288,1048576,65536,0,0,0,551,30939,1048738,66015,0.000000,0.000000,1221.856211,244.371242,61.102249,3.846208,0.000000,0.000000,99.863760,69401,53248,4275733,722944,33554432,0,0,16777216,0,0,0,0,0,0.726098,1.896982,0.008623,0.000000,16.440863,0.033636,"Mid (6)","Low (2)","Idle (0)","Low (1)","Idle (0)","High (8)","Low (1)","Low (1)","Idle (0)",1503232,5079765,4996949,0.000000,0,0.000000,0.000000,0.000000,0.000000,16777216,0,5767168,0,589824,23134208,1769472,0,0.000000,0,0.000000,1048576,65884,0,3.838576,0,206,12.002104,38.496886,0.075086,0.096751,0.000000,15.782619,26.539205,16.331525,0.000000
512,"GeForce GTX TITAN (0)","1","7","matMul(float*, float*, float*, int)",0.000000,0.000000,95.882667,0.256271,0.990382,8.209110,256.534676,95.882667,0.256271,2.404108,1.668985,0.711405,0.000000,0.000000,0.000000,353.893845,1.018756,2.052277,65.672877,0.000000,17.187500,12.500000,12.500000,99.483681,0.000000,65.672877,0.000000,0.000000,100.000000,0.000000,0.872373,1438.000000,21.488055,0.000000,0.000000,4.000000,16.000000,32.000000,32.000000,0,0,20971520,4194304,8388608,262144,0,1,0,45204,130129,8388751,262150,0.000000,0.000000,1313.457546,262.691509,65.673997,2.052324,0.000000,7.828000,99.930459,538419,409600,33951249,5775360,268435456,0,0,134217728,0,0,0,0,0,0.660802,1.807270,0.007354,0.000000,16.407990,0.026621,"Mid (6)","Low (2)","Idle (0)","Low (1)","Low (1)","High (8)","Low (1)","Low (1)","Idle (0)",11780096,40100723,39510003,0.000000,0,0.000000,0.000000,0.000000,0.000000,134217728,0,41943040,0,4456448,184811520,11272192,0,0.000000,0,0.000000,8388608,262144,0,2.052277,0,183,1.432673,38.839836,0.009083,0.104153,0.000000,15.395496,26.845547,17.200968,0.000000
768,"GeForce GTX TITAN (0)","1","7","matMul(float*, float*, float*, int)",0.000000,0.000000,97.889773,0.253289,0.988676,8.335690,173.660207,97.889773,0.253289,2.438689,1.680672,0.709150,0.000000,0.000000,0.000000,4.011236,535.815040,1.389282,66.685520,0.000000,17.187500,12.500000,12.500000,94.042842,0.000000,66.685520,0.000000,0.000650,100.000000,0.000000,0.870982,2142.000000,21.466969,0.000000,0.000000,4.000000,16.000000,32.000000,32.000000,0,0,70778880,14155776,28311552,589824,0,5,0,1702983,227482,28312084,589828,0.000000,0.000000,1333.710392,266.742078,66.686773,1.389291,0.000000,11.777000,99.953315,1798936,1363968,115276919,19482624,905969664,0,0,452984832,0,0,0,0,0,0.656912,1.778994,0.010976,0.000000,16.620291,0.024136,"Mid (6)","Low (2)","Idle (0)","Low (1)","Low (1)","High (8)","Low (1)","Low (1)","Idle (0)",39481344,135764049,133846225,0.000000,0,0.000000,0.000000,0.000000,0.000000,452984832,0,136839168,0,14745600,623443968,34799616,0,0.000000,0,0.000000,28311552,590012,0,1.389724,0,28546,67.237742,38.286371,0.002646,0.105832,0.000000,16.104755,26.514918,17.071684,0.000000
1024,"GeForce GTX TITAN (0)","1","7","matMul(float*, float*, float*, int)",0.000000,0.000000,98.880382,0.252540,0.994460,8.417999,131.531241,98.880382,0.252540,2.444405,1.686578,0.708011,0.000000,0.000000,0.000000,4.419250,491.483012,1.052250,67.343996,0.000000,17.187500,12.500000,12.500000,93.410534,0.000000,67.343996,0.000000,0.000012,100.000000,0.000000,0.870219,2846.000000,21.453576,0.000000,0.000000,4.000000,16.000000,32.000000,32.000000,0,0,167772160,33554432,67108864,1048576,0,1,0,4403820,489767,67109004,1049000,0.000000,0.000000,1346.879911,269.375982,67.344136,1.052675,0.000000,1.003000,99.964863,4242136,3211264,273061502,46170112,2147483648,0,0,1073741824,0,0,0,0,0,0.652629,1.769062,0.011399,0.000000,16.814881,0.022989,"Mid (6)","Low (2)","Idle (0)","Low (1)","Low (1)","High (8)","Low (1)","Low (1)","Idle (0)",93257728,321217355,316760011,0.000000,0,0.000000,0.000000,0.000000,0.000000,1073741824,0,318767104,0,34603008,1477443584,78643200,0,0.000000,0,0.000000,67108864,1048584,0,1.052258,0,7270,7.295472,38.139911,0.001129,0.107006,0.000000,16.111369,26.476632,17.100429,0.000000
1280,"GeForce GTX TITAN (0)","1","7","matMul(float*, float*, float*, int)",0.000000,0.000000,99.288443,0.252305,0.997569,8.458503,105.731290,99.288443,0.252305,2.446785,1.690141,0.707324,0.000000,0.000000,0.000000,4.381889,307.366231,845.850325,67.668026,0.000000,17.187500,12.500000,12.500000,93.495810,0.000000,67.668026,0.000000,0.000000,100.000000,0.000000,0.869690,3550.000000,21.443708,0.000000,0.000000,4.000000,16.000000,32.000000,32.000000,0,0,327680000,65536000,131072000,1638400,0,8,0,8487656,595364,131074766,1638403,0.000000,0.000000,1353.360520,270.672104,67.669454,845.851873,0.000000,4.130000,99.971831,8259518,6246400,532832956,90163200,4194304000,0,0,2097152000,0,0,0,0,0,0.653383,1.761295,0.011200,0.000000,16.966646,0.022315,"Mid (6)","Low (2)","Idle (0)","Low (1)","Low (1)","High (8)","Low (1)","Low (1)","Idle (0)",181760000,626487714,617885218,0.000000,0,0.000000,0.000000,0.000000,0.000000,2097152000,0,616038400,0,67174400,2885222400,149094400,0,0.000000,0,0.000000,131072000,1638400,0,845.850325,0,0,0.000000,38.134862,0.000560,0.107535,0.000000,16.043238,26.406500,17.112002,0.000000
1536,"GeForce GTX TITAN (0)","1","7","matMul(float*, float*, float*, int)",0.000000,0.000000,99.608987,0.251995,0.997931,8.477352,88.305746,99.608987,0.251995,2.449666,1.692525,0.706864,0.000000,0.000000,0.000000,4.457834,260.975531,706.445972,67.818813,0.000000,17.187500,12.500000,12.500000,93.451309,0.000000,67.818813,0.000000,0.000000,100.000000,0.000000,0.869205,4254.000000,21.433957,0.000000,0.000000,4.000000,16.000000,32.000000,32.000000,0,0,566231040,113246208,226492416,2359296,0,0,0,14887691,871572,226499714,2359304,0.000000,0.000000,1356.376266,271.275253,67.820999,706.448367,0.000000,0.000000,99.976493,14242348,10764288,920537292,155787264,7247757312,0,0,3623878656,0,0,0,0,0,0.651836,1.756931,0.011083,0.000000,17.098053,0.021892,"Mid (6)","Low (2)","Idle (0)","Low (1)","Idle (0)","High (8)","Low (1)","Low (1)","Idle (0)",313638912,1081949436,1067202940,0.000000,0,0.000000,0.000000,0.000000,0.000000,3623878656,0,1056964608,0,115605504,4985192448,252444672,0,0.000000,0,0.000000,226492416,2359296,0,706.445972,0,34267,10.260596,38.051307,0.000319,0.107884,0.000000,16.056696,26.351884,17.096008,0.000000
1792,"GeForce GTX TITAN (0)","1","7","matMul(float*, float*, float*, int)",0.000000,0.000000,99.867809,0.251807,0.998041,8.501558,75.906767,99.867809,0.251807,2.449805,1.694232,0.706535,0.000000,0.000000,0.000000,4.393924,220.837773,607.254143,68.012464,0.000000,17.187500,12.500000,12.500000,93.510352,0.000000,68.012464,0.000000,0.000000,100.000000,0.000000,0.868759,4958.000000,21.424363,0.000000,0.000000,4.000000,16.000000,32.000000,32.000000,0,0,899153920,179830784,359661568,3211264,0,12,0,23235823,1167828,359672184,3211297,0.000000,0.000000,1360.249282,272.049856,68.014472,607.260384,0.000000,2.269000,99.979831,22582991,17059840,1460727785,247367680,11509170176,0,0,5754585088,0,0,0,0,0,0.651752,1.755153,0.011365,0.000000,17.179532,0.021571,"Mid (6)","Low (2)","Idle (0)","Low (1)","Low (1)","High (8)","Low (1)","Low (1)","Idle (0)",497545216,1716433856,1693151296,0.000000,0,0.000000,0.000000,0.000000,0.000000,5754585088,0,1669857280,0,183042048,7915765760,394985472,0,0.000000,0,0.000000,359661568,3211264,0,607.254143,0,0,0.000000,38.038673,0.000209,0.108214,0.000000,15.984033,26.357712,17.106251,0.000000
2048,"GeForce GTX TITAN (0)","1","7","matMul(float*, float*, float*, int)",0.000000,0.000000,99.798724,0.251628,0.998397,8.503702,66.435172,99.798724,0.251628,2.452098,1.695514,0.706288,0.000000,0.000000,0.000000,4.458580,269.277053,531.481380,68.029617,0.000000,17.187500,12.500000,12.500000,93.499590,0.000000,68.029617,0.000000,0.000006,100.000000,0.000000,0.868645,5662.000000,21.422813,0.000000,0.000000,4.000000,16.000000,32.000000,32.000000,0,0,1342177280,268435462,536870912,4194304,0,0,0,35185879,2125060,536884174,4194493,0.000000,0.000000,1360.592334,272.118473,68.031297,531.505329,0.000000,0.000000,99.982338,33672050,25427968,2180608833,369229824,17179869184,0,0,8589934592,0,0,0,0,0,0.651850,1.754362,0.011378,0.000000,17.189670,0.021305,"Mid (6)","Low (2)","Idle (0)","Low (1)","Idle (0)","High (8)","Low (1)","Low (1)","Idle (0)",742129664,2561904387,2527300483,0.000000,0,0.000000,0.000000,0.000000,0.000000,8589934592,0,2483027968,0,272629760,11815354368,583008256,0,0.000000,0,0.000000,536870912,4194336,0,531.485435,0,157845,20.001334,38.026815,0.000141,0.108135,0.000000,16.013946,26.330532,17.085223,0.000000
2304,"GeForce GTX TITAN (0)","1","7","matMul(float*, float*, float*, int)",0.000000,0.000000,99.845906,0.251510,0.999006,8.508504,59.086831,99.845906,0.251510,2.453064,1.696513,0.706095,0.000000,0.000000,0.000000,4.591430,170.903571,472.694654,68.068030,0.000000,17.187500,12.500000,12.500000,93.243985,0.000000,68.068030,0.000000,0.000000,100.000000,0.000000,0.868480,6366.000000,21.419622,0.000000,0.000000,4.000000,16.000000,32.000000,32.000000,0,0,1911029760,382205958,764411904,5308416,0,4,0,51562293,1919267,764435935,5308424,0.000000,0.000000,1361.360606,272.272126,68.070170,472.695367,0.000000,356.000000,99.984292,47901103,36163584,3104487745,525699072,24461180928,0,0,12230590464,0,0,0,0,0,0.651271,1.751768,0.010950,0.000000,17.174117,0.021120,"Mid (6)","Low (2)","Idle (0)","Low (1)","Low (1)","High (8)","Low (1)","Low (1)","Idle (0)",1056043008,3646584392,3597480648,0.000000,0,0.000000,0.000000,0.000000,0.000000,12230590464,0,3524788224,0,387514368,16822370304,822804480,0,0.000000,0,0.000000,764411904,5308416,0,472.694654,0,0,0.000000,37.999419,0.000111,0.108199,0.000000,16.080023,26.311222,17.090058,0.000000
2560,"GeForce GTX TITAN (0)","1","7","matMul(float*, float*, float*, int)",0.000000,0.000000,99.852909,0.251430,0.999034,8.510757,53.192231,99.852909,0.251430,2.453322,1.697313,0.705941,0.000000,0.000000,0.000000,4.503417,151.177880,425.537853,68.086057,0.000000,17.187500,12.500000,12.500000,93.368847,0.000000,68.086057,0.000000,0.000000,100.000000,0.000000,0.868265,7070.000000,21.415007,0.000000,0.000000,4.000000,16.000000,32.000000,32.000000,0,0,2621440000,524288000,1048576000,6553600,0,6,0,69355983,2328252,1048603256,6553600,0.000000,0.000000,1361.721132,272.344226,68.087826,425.537853,0.000000,389.000000,99.985856,65662036,49561600,4257273207,721100800,33554432000,0,0,16777216000,0,0,0,0,0,0.651268,1.751437,0.011061,0.000000,17.240871,0.020960,"Mid (6)","Low (2)","Idle (0)","Low (1)","Low (1)","High (8)","Low (1)","Low (1)","Idle (0)",1447936000,5000189066,4933013770,0.000000,0,0.000000,0.000000,0.000000,0.000000,16777216000,0,4823449600,0,530841600,23075225600,1120665600,0,0.000000,0,0.000000,1048576000,6553600,0,425.537853,0,0,0.000000,37.975750,0.000072,0.108222,0.000000,16.037292,26.311290,17.088073,0.000000
