"","input.size.1","input.size.2","duration","grid.x","grid.y","block.x","block.y","registers.per.thread","static.smem","device","name","kernel","elapsed_cycles_sm","gld_inst_32bit","gst_inst_32bit","warps_launched","inst_executed","inst_issued1","shared_load","shared_store","gld_request","gst_request","active_cycles","active_warps","executed_ipc","achieved_occupancy","requested_global_load_throughput","requested_global_store_throughput","device_memory_read_throughput","device_memory_write_throughput","global_store_throughput","global_load_throughput","shared_memory_efficiency","global_memory_load_efficiency","global_memory_store_efficiency","issued_ipc","instructions_per_warp","issue_slot_utilization","shared_memory_load_transactions_per_request","shared_memory_store_transactions_per_request","global_load_transactions_per_request","global_store_transactions_per_request","shared_load_transactions","shared_store_transactions","global_load_transactions","global_store_transactions","device_memory_read_transactions","l2_read_transactions","l2_write_transactions","shared_memory_load_throughput","shared_memory_store_throughput","l2_throughput_.reads.","l2_throughput_.writes.","issued_control.flow_instructions","executed_control.flow_instructions","issued_load.store_instructions","executed_load.store_instructions","floating_point_operations.single_precision.","floating_point_operations.single_precision_add.","floating_point_operation.single_precision_mul.","floating_point_operations.single_precision_fma.","floating_point_operations.double_precision.","floating_point_operations.double_precision_add.","floating_point_operations.double_precision_mul.","floating_point_operations.single_precision_special.","l1.shared_memory_utilization","device_memory_utilization","control.flow_function_unit_utilization","issue_slots","fp_instructions.single.","fp_instructions.double.","integer_instructions","control.flow_instructions","load.store_instructions","misc_instructions","flop_efficiency.peak_single.","flop_efficiency.peak_double.","eligible_warps_per_active_cycle","gpu_name"
"9",20,0,1.3473e-05,51,1,256,1,37,11872,6,"kernel",5,334576,398055,132753,408,395301,357096,0,0,12648,4284,231428,4069222,1.72105,0.249492,39.699576,37.346584,7.08711,43.049299,45.668987,69.230421,0,57.344121,81.776685,1.502281,968.875,35.649088,0,0,5.926629,4.736695,0,0,74960,20292,3149,31368,20298,0,0,70.59653,45.682491,9843,9843,69819,20043,0,0,0,0,0,0,0,145707,0,2,1,377357,145707,0,8622519,197931,596343,1139799,0,0,2.055311,"TitanX"
"12",20,0,0.012083,51,1,256,1,37,11872,6,"kernel",5,281602872,987003867,28792458,408,320574474,197548380,36655893,5151,40537707,923712,269293368,4580275886,1.190428,0.265949,253.152159,10.110738,10.830029,10.054577,18.74168,372.851664,73.151626,67.896213,53.947871,1.1912,785721.75,24.065561,1.014372,1,6.567108,7.222339,37182722,5151,266215505,6671361,3855099,132729880,6671367,417.825798,59.271453,372.874585,18.741697,29158383,29158383,181483143,78161325,1886421134,99794336,5718834,890453982,0,0,0,21072435,2,1,1,259063678,1021422425,0,2815260628,484665393,1887069053,1572101111,2.616746,0,1.137893,"TitanX"
"15",20,0,0.012062,51,1,256,1,37,11872,6,"kernel",5,280692524,987003867,28792458,408,320574474,197548353,36655893,5151,40537707,923712,268799289,4576621342,1.188588,0.265979,253.367347,10.119332,10.828919,10.056401,18.757611,373.168601,73.151622,67.896213,53.947871,1.190032,785721.75,24.041969,1.014372,1,6.567108,7.222339,37182724,5151,266215505,6671361,3851430,132730368,6671367,418.180988,59.321836,373.192914,18.757628,29158383,29158383,181483143,78161325,1886421186,99794388,5718834,890453982,0,0,0,21072435,2,1,1,259063642,1021422477,0,2815260693,484665393,1887069055,1572101113,2.625233,0,1.135785,"TitanX"
"18",20,0,0.012064,51,1,256,1,37,11872,6,"kernel",5,279719052,987003867,28792458,408,320574514,197548412,36655893,5151,40537707,923712,268769831,4581337814,1.193528,0.265974,252.147164,10.070599,10.782446,10.046582,18.667277,371.371471,73.151639,67.896213,53.947871,1.192645,785721.848039,24.094759,1.014372,1,6.567108,7.222339,37182715,5151,266215505,6671361,3853459,132730076,6671367,416.166983,59.03615,371.394849,18.667294,29158392,29158392,181483143,78161325,1886421194,99794410,5718834,890453975,0,0,0,21072434,2,1,1,259063681,1021422497,0,2815260787,484665397,1887069046,1572101110,2.634369,0,1.139431,"TitanX"
"21",20,0,0.012085,51,1,256,1,37,11872,6,"kernel",5,280503500,987003867,28792458,408,320574474,197548342,36655893,5151,40537707,923712,269003742,4572584462,1.19211,0.265967,252.045312,10.066531,10.783444,10.051035,18.659737,371.22146,73.151688,67.896213,53.947871,1.193431,785721.75,24.11065,1.014371,1,6.567108,7.222339,37182689,5151,266215505,6671361,3855373,132729836,6671367,415.998587,59.012303,371.244158,18.659754,29158383,29158383,181483143,78161325,1886421242,99794444,5718834,890453982,0,0,0,21072435,2,1,1,259063678,1021422533,0,2815260883,484665393,1887069020,1572101078,2.627002,0,1.13909,"TitanX"
"24",20,0,0.012062,51,1,256,1,37,11872,6,"kernel",5,280907224,987003867,28792458,408,320574514,197548389,36655893,5151,40537707,923712,268682238,4579243114,1.192298,0.26605,251.994748,10.064511,10.76788,10.049256,18.655993,371.146988,73.151705,67.896213,53.947871,1.193153,785721.848039,24.105027,1.014371,1,6.567108,7.222339,37182680,5151,266215505,6671361,3850581,132729880,6671367,415.915031,59.000464,371.169804,18.65601,29158392,29158392,181483143,78161325,1886420977,99794193,5718834,890453975,0,0,0,21072434,2,1,1,259063670,1021422280,0,2815260752,484665397,1887069011,1572101075,2.623226,0,1.141458,"TitanX"
"27",20,0,0.012082,51,1,256,1,37,11872,6,"kernel",5,280811452,987003867,28792458,408,320574514,197548420,36655893,5151,40537707,923712,269171760,4569943410,1.193857,0.266064,252.070815,10.067549,10.771933,10.052094,18.661625,371.259021,73.151722,67.896213,53.947871,1.19398,785721.848039,24.121732,1.014371,1,6.567108,7.222339,37182671,5151,266215505,6671361,3850868,132729840,6671367,416.040477,59.018274,371.281732,18.661642,29158392,29158392,181483143,78161325,1886421049,99794265,5718834,890453975,0,0,0,21072434,2,1,1,259063693,1021422352,0,2815260806,484665397,1887069002,1572101066,2.624121,0,1.138542,"TitanX"
"30",20,0,0.012071,51,1,256,1,37,11872,6,"kernel",5,281133844,987003867,28792458,408,320574474,197548334,36655893,5151,40537707,923712,268955361,4567054286,1.194878,0.266024,252.099564,10.068698,10.782981,10.052569,18.663753,371.301365,73.151737,67.896213,53.947871,1.191941,785721.75,24.080542,1.014371,1,6.567108,7.222339,37182663,5151,266215505,6671361,3854378,132729856,6671367,416.087839,59.025005,371.324123,18.66377,29158383,29158383,181483143,78161325,1886420972,99794174,5718834,890453982,0,0,0,21072435,2,1,1,259063634,1021422263,0,2815260746,484665393,1887068994,1572101052,2.621112,0,1.13929,"TitanX"
"33",20,0,0.012091,51,1,256,1,37,11872,6,"kernel",5,280145408,987003867,28792458,408,320574514,197548374,36655893,5151,40537707,923712,268718076,4575810836,1.195299,0.266017,252.023363,10.065654,10.782619,10.061657,18.658112,371.189132,73.151762,67.896213,53.947871,1.192994,785721.848039,24.101812,1.01437,1,6.567108,7.222339,37182650,5151,266215505,6671361,3855414,132729880,6671367,415.961923,59.007164,371.211951,18.658129,29158392,29158392,181483143,78161325,1886420849,99794065,5718834,890453975,0,0,0,21072434,2,1,1,259063697,1021422152,0,2815260710,484665397,1887068981,1572101045,2.63036,0,1.139249,"TitanX"
"36",20,0,0.012046,51,1,256,1,37,11872,6,"kernel",5,279965692,987003867,28792458,408,320574474,197548396,36655893,5151,40537707,923712,268568006,4572467004,1.195067,0.266021,252.215553,10.07333,10.800297,10.054392,18.67234,371.472196,73.151781,67.896213,53.947871,1.194888,785721.75,24.140074,1.01437,1,6.567108,7.222339,37182640,5151,266215505,6671361,3858792,132729848,6671367,416.279019,59.052162,371.494943,18.672357,29158383,29158383,181483143,78161325,1886420898,99794100,5718834,890453982,0,0,0,21072435,2,1,1,259063653,1021422189,0,2815260718,484665393,1887068971,1572101029,2.632048,0,1.138673,"TitanX"
