"","input.size.1","input.size.2","duration","grid.x","grid.y","block.x","block.y","registers.per.thread","static.smem","device","name","kernel","elapsed_cycles_sm","gld_inst_32bit","gst_inst_32bit","warps_launched","inst_executed","inst_issued1","shared_load","shared_store","gld_request","gst_request","active_cycles","active_warps","executed_ipc","achieved_occupancy","requested_global_load_throughput","requested_global_store_throughput","device_memory_read_throughput","device_memory_write_throughput","global_store_throughput","global_load_throughput","shared_memory_efficiency","global_memory_load_efficiency","global_memory_store_efficiency","issued_ipc","instructions_per_warp","issue_slot_utilization","shared_memory_load_transactions_per_request","shared_memory_store_transactions_per_request","global_load_transactions_per_request","global_store_transactions_per_request","shared_load_transactions","shared_store_transactions","global_load_transactions","global_store_transactions","device_memory_read_transactions","l2_read_transactions","l2_write_transactions","shared_memory_load_throughput","shared_memory_store_throughput","l2_throughput_.reads.","l2_throughput_.writes.","issued_control.flow_instructions","executed_control.flow_instructions","issued_load.store_instructions","executed_load.store_instructions","floating_point_operations.single_precision.","floating_point_operations.single_precision_add.","floating_point_operation.single_precision_mul.","floating_point_operations.single_precision_fma.","floating_point_operations.double_precision.","floating_point_operations.double_precision_add.","floating_point_operations.double_precision_mul.","floating_point_operations.single_precision_special.","l1.shared_memory_utilization","device_memory_utilization","control.flow_function_unit_utilization","issue_slots","fp_instructions.single.","fp_instructions.double.","integer_instructions","control.flow_instructions","load.store_instructions","misc_instructions","flop_efficiency.peak_single.","flop_efficiency.peak_double.","eligible_warps_per_active_cycle","gpu_name"
"9",20,0,2.1824e-05,51,1,256,1,32,11872,1,"kernel",5,188536,398055,132753,408,232152,142733,0,0,12648,4284,154932,3725644,1.488774,0.375734,24.000264,22.577769,14.9447,23.845668,27.609054,41.853051,0,57.344121,81.776685,1.809684,569,34.062751,0,0,1.504981,1.929505,0,0,19035,8266,10984,31421,20301,0,0,42.75104,27.6213,14623,19125,33818,20902,0,0,0,0,0,0,0,26112,1,3,1,212463,26112,0,4857852,158712,596343,356745,0,0,1.970661,"GTX-680"
"12",20,0,0.034817,51,1,256,1,32,11872,1,"kernel",5,281960366,987003867,28792458,408,290421132,159467943,36190467,5151,40066008,923406,270806245,7073512022,1.074387,0.409746,82.270272,3.26791,4.553756,5.266885,6.057256,118.922663,37.356943,69.179642,53.950346,1.573553,711816.5,27.043633,1.005931,1,1.650407,4.657462,36405127,5151,65996589,4300728,5015201,130991719,6687864,264.444127,38.314475,118.939259,6.072518,55363844,69808698,114035700,82500758,1889043723,97165455,5718834,893079717,0,0,0,6453183,2,1,1,292410264,1004174292,0,3294288669,493314942,1887066605,85355894,1.744708,0,1.516291,"GTX-680"
"15",20,0,0.033715,51,1,256,1,32,11872,1,"kernel",5,282638124,987003867,28792458,408,290421132,159550983,36190467,5151,40066008,923406,270786445,7135408562,1.07251,0.411343,82.006324,3.257426,4.546877,5.303045,6.037822,118.541122,37.356944,69.179642,53.950346,1.572193,711816.5,27.01758,1.005931,1,1.650407,4.657462,36405126,5151,65996589,4300728,5023743,130991691,6689004,263.595701,38.19155,118.55764,6.054067,55004299,69808698,114383720,82692003,1889043723,97165455,5718834,893079717,0,0,0,6453183,2,1,1,292639775,1004174292,0,3294288646,493314942,1887066607,85355896,1.740524,0,1.534082,"GTX-680"
"18",20,0,0.033687,51,1,256,1,32,11872,1,"kernel",5,281478884,987003867,28792458,408,290421161,158915655,36190467,5151,40066008,923406,271206551,7138435380,1.076485,0.411266,82.124103,3.262104,4.585311,5.271868,6.046494,118.711374,37.356944,69.179642,53.950346,1.574591,711816.571078,27.045416,1.005931,1,1.650407,4.657462,36405126,5151,65996589,4300728,5058942,130991307,6688355,263.974283,38.246402,118.727567,6.062174,55193912,69808717,113425427,82526320,1889043723,97165455,5718834,893079717,0,0,0,6453183,2,1,1,291859438,1004174296,0,3294288676,493314947,1887066598,85355890,1.747692,0,1.517649,"GTX-680"
"21",20,0,0.034896,51,1,256,1,32,11872,1,"kernel",5,282466800,987003867,28792458,408,290421132,159445221,36190467,5151,40066008,923406,270901723,7110845672,1.07449,0.410138,82.113507,3.261683,4.55806,5.286472,6.045714,118.696057,37.356943,69.179642,53.950346,1.573646,711816.5,27.044442,1.005931,1,1.650407,4.657462,36405126,5151,65996589,4300728,5029525,130991657,6688518,263.940223,38.241467,118.712565,6.06154,54994581,69808698,113505992,82306513,1889043723,97165455,5718834,893079717,0,0,0,6453183,2,1,1,292390942,1004174292,0,3294288711,493314942,1887066572,85355861,1.74158,0,1.516986,"GTX-680"
"24",20,0,0.03501,51,1,256,1,32,11872,1,"kernel",5,281764088,987003867,28792458,408,290421161,158977405,36190467,5151,40066008,923406,270640730,7144579832,1.07525,0.433745,82.133583,3.262481,4.545435,5.285152,6.047192,118.725077,37.356943,69.179642,53.950346,1.574009,711816.571078,27.032555,1.005931,1,1.650407,4.657462,36405126,5151,65996589,4300728,5014368,130991421,6688736,264.004754,38.250816,118.741375,6.063219,55002195,69808717,113987461,82680693,1889043723,97165455,5718834,893079717,0,0,0,6453183,2,1,1,292055837,1004174296,0,3294288623,493314947,1887066563,85355855,1.745923,0,1.52395,"GTX-680"
"27",20,0,0.034944,51,1,256,1,32,11872,1,"kernel",5,282056642,987003867,28792458,408,290421161,159157870,36190467,5151,40066008,923406,269788773,7074578298,1.075546,0.409729,82.16785,3.263842,4.577835,5.244859,6.049715,118.774611,37.356942,69.179642,53.950346,1.574035,711816.571078,27.043256,1.005931,1,1.650407,4.657462,36405126,5151,65996589,4300728,5048005,130991741,6686734,264.1149,38.266775,118.791206,6.063933,55002631,69808717,113324478,82621427,1889043723,97165455,5718834,893079717,0,0,0,6453183,2,1,1,292091016,1004174296,0,3294288648,493314947,1887066554,85355846,1.744112,0,1.516761,"GTX-680"
"30",20,0,0.034867,51,1,256,1,32,11872,1,"kernel",5,282653770,987003867,28792458,408,290421132,159429758,36190467,5151,40066008,923406,270389040,7089284814,1.127842,0.409669,82.165285,3.26374,4.590174,5.284327,6.049526,118.770902,37.356942,69.179642,53.950346,1.654744,711816.5,28.423563,1.005931,1,1.650407,4.657462,36405126,5151,65996589,4300728,5061769,130992347,6688239,264.106655,38.26558,118.788047,6.065109,55111463,69808698,113733186,82620645,1889043723,97165455,5718834,893079717,0,0,0,6453183,2,1,1,292764461,1004174292,0,3294288600,493314942,1887066546,85355835,1.740428,0,1.62574,"GTX-680"
"33",20,0,0.033452,51,1,256,1,32,11872,1,"kernel",5,281446718,987003867,28792458,408,290421161,158969751,36190467,5151,40066008,923406,269619942,7073065232,1.07715,0.409727,82.089785,3.260741,4.531533,5.267628,6.043967,118.661766,37.356941,69.179642,53.950346,1.57575,711816.571078,27.066958,1.005931,1,1.650407,4.657462,36405126,5151,65996589,4300728,5001699,130991869,6688692,263.863973,38.230419,118.678462,6.059946,55386263,69808717,113752404,82537143,1889043723,97165455,5718834,893079717,0,0,0,6453183,2,1,1,291911662,1004174296,0,3294288532,493314947,1887066533,85355825,1.747892,0,1.518666,"GTX-680"
"36",20,0,0.03256,51,1,256,1,32,11872,1,"kernel",5,273340504,987003867,28792458,408,290421132,159690843,36190467,5151,40066008,923406,258069982,7056469174,1.073399,0.409509,82.21491,3.265711,4.58285,5.283684,6.05318,118.842636,37.356941,69.179642,53.950346,1.572712,711816.5,27.036627,1.005931,1,1.650407,4.657462,36405126,5151,65996589,4300728,5050642,130992223,6688918,264.266167,38.288692,118.859679,6.069388,54997640,69808698,114158330,82771729,1889043723,97165455,5718834,893079717,0,0,0,6453183,2,1,1,292603631,1004174292,0,3294288592,493314942,1887066523,85355812,1.799728,0,1.502828,"GTX-680"
