"","input.size.1","input.size.2","duration","grid.x","grid.y","block.x","block.y","registers.per.thread","static.smem","device","name","kernel","elapsed_cycles_sm","gld_inst_32bit","gst_inst_32bit","warps_launched","inst_executed","inst_issued1","shared_load","shared_store","gld_request","gst_request","active_cycles","active_warps","executed_ipc","achieved_occupancy","requested_global_load_throughput","requested_global_store_throughput","device_memory_read_throughput","device_memory_write_throughput","global_store_throughput","global_load_throughput","shared_memory_efficiency","global_memory_load_efficiency","global_memory_store_efficiency","issued_ipc","instructions_per_warp","issue_slot_utilization","shared_memory_load_transactions_per_request","shared_memory_store_transactions_per_request","global_load_transactions_per_request","global_store_transactions_per_request","shared_load_transactions","shared_store_transactions","global_load_transactions","global_store_transactions","device_memory_read_transactions","l2_read_transactions","l2_write_transactions","shared_memory_load_throughput","shared_memory_store_throughput","l2_throughput_.reads.","l2_throughput_.writes.","issued_control.flow_instructions","executed_control.flow_instructions","issued_load.store_instructions","executed_load.store_instructions","floating_point_operations.single_precision.","floating_point_operations.single_precision_add.","floating_point_operation.single_precision_mul.","floating_point_operations.single_precision_fma.","floating_point_operations.double_precision.","floating_point_operations.double_precision_add.","floating_point_operations.double_precision_mul.","floating_point_operations.single_precision_special.","l1.shared_memory_utilization","device_memory_utilization","control.flow_function_unit_utilization","issue_slots","fp_instructions.single.","fp_instructions.double.","integer_instructions","control.flow_instructions","load.store_instructions","misc_instructions","flop_efficiency.peak_single.","flop_efficiency.peak_double.","eligible_warps_per_active_cycle","gpu_name"
"3",8192,0,2.896e-05,1,512,16,16,19,1088,7,"bpnn_layerforward_CUDA",1,423409,139264,139264,4096,1104384,942400,27648,19968,8192,8192,372821,21843764,2.957976,0.915476,18.51927,18.51927,0,0.255321,26.144852,27.234221,59.677419,68,70.833333,2.947993,269.625,68.224008,1,1,5.75,3,27648,19968,47104,24576,0,25671,24582,117.651833,84.970768,27.309753,26.151235,65024,65024,141824,109056,778240,122880,655360,0,0,0,0,1048576,2,1,1,1024640,3399680,0,15876096,1572864,1187840,3670016,0.717982,0,4.872471,"GTX-970"
"13",9216,0,3.1904e-05,1,576,16,16,19,1088,7,"bpnn_layerforward_CUDA",1,467670,156672,156672,4608,1242432,1060004,31104,22464,9216,9216,416962,24590452,2.976491,0.922916,18.839531,18.839531,0,0.810954,26.596985,27.705193,59.677419,68,70.833333,2.96523,269.625,68.627722,1,1,5.75,3,31104,22464,52992,27648,0,28871,27654,119.686435,86.440203,27.773494,26.602757,73152,73152,159552,122688,875520,138240,737280,0,0,0,0,1179648,2,1,1,1152512,3824640,0,17860608,1769472,1336320,4128768,0.731285,0,4.908818,"GTX-970"
"23",10240,0,3.4976e-05,1,640,16,16,19,1088,7,"bpnn_layerforward_CUDA",1,519912,174080,174080,5120,1380480,1177694,34560,24960,10240,10240,467456,27325390,2.953176,0.927658,18.981926,18.981926,0,1.127924,26.798014,27.914598,59.677419,68,70.833333,3.001871,269.625,69.479261,1,1,5.75,3,34560,24960,58880,30720,0,32327,30726,120.591062,87.093545,28.19985,26.803248,81280,81280,177280,136320,972800,153600,819200,0,0,0,0,1310720,2,1,1,1280292,4249600,0,19845120,1966080,1484800,4587520,0.730893,0,4.974144,"GTX-970"
"33",11264,0,3.824e-05,1,704,16,16,19,1088,7,"bpnn_layerforward_CUDA",1,556656,191488,191488,5632,1518528,1295488,38016,27456,11264,11264,511790,30595676,2.998063,0.931232,19.20908,19.20908,0.056176,8.452124,27.118701,28.248647,59.677419,68,70.833333,2.971969,269.625,68.790715,1,1,5.75,3,38016,27456,64768,33792,70,35527,33798,122.034154,88.135778,28.51107,27.123516,89408,89408,195008,149952,1070080,168960,901120,0,0,0,0,1441792,2,1,1,1408256,4674560,0,21829632,2162688,1633280,5046272,0.750913,0,4.931929,"GTX-970"
"43",12288,0,4.1248e-05,1,768,16,16,19,1088,7,"bpnn_layerforward_CUDA",1,611538,208896,208896,6144,1656576,1413184,41472,29952,12288,12288,557709,33067786,2.849964,0.934399,19.306298,19.306298,0.170793,13.287867,27.25595,28.391614,59.677419,68,70.833333,2.974799,269.625,68.858849,1,1,5.75,3,41472,29952,70656,36864,231,38471,36870,122.651773,88.581836,28.444109,27.260386,97536,97536,212736,163584,1167360,184320,983040,0,0,0,0,1572864,2,1,1,1536128,5099520,0,23814144,2359296,1781760,5505024,0.745661,0,4.939162,"GTX-970"
"53",13312,0,4.464e-05,1,832,16,16,19,1088,7,"bpnn_layerforward_CUDA",1,648812,226304,226304,6656,1794624,1530880,44928,32448,13312,13312,599990,36048402,2.99109,0.938049,19.375962,19.375962,0.510975,16.093665,27.354299,28.494061,59.677419,68,70.833333,2.993045,269.625,69.283449,1,1,5.75,3,44928,32448,76544,39936,746,41671,39942,123.094345,88.901472,28.542693,27.358409,105664,105664,230464,177216,1264640,199680,1064960,0,0,0,0,1703936,2,1,1,1664000,5524480,0,25798656,2555904,1930240,5963776,0.761392,0,4.977305,"GTX-970"
"63",14336,0,4.7583e-05,1,896,16,16,19,1088,7,"bpnn_layerforward_CUDA",1,693202,243712,243712,7168,1932672,1648576,48384,34944,14336,14336,647521,38951978,2.981,0.940697,19.466914,19.466914,1.258857,17.337721,27.482703,28.627815,59.677419,68,70.833333,2.98858,269.625,69.182003,1,1,5.75,3,48384,34944,82432,43008,1970,45127,43014,123.672161,89.318783,28.836773,27.486537,113792,113792,248192,190848,1361920,215040,1146880,0,0,0,0,1835008,2,1,1,1791872,5949440,0,27783168,2752512,2078720,6422528,0.767453,0,4.970821,"GTX-970"
"73",15360,0,5.0944e-05,1,960,16,16,19,1088,7,"bpnn_layerforward_CUDA",1,744644,261120,261120,7680,2070720,1766182,51840,37440,15360,15360,692184,41660840,2.992504,0.942381,19.574754,19.574754,1.788955,18.027484,27.634946,28.786402,59.677419,68,70.833333,2.99505,269.625,69.333226,1,1,5.75,3,51840,37440,88320,46080,2983,48071,46086,124.357258,89.813575,28.828982,27.638544,121920,121920,265920,204480,1459200,230400,1228800,0,0,0,0,1966080,2,1,1,1919744,6374400,0,29767680,2949120,2227200,6881280,0.765466,0,4.978364,"GTX-970"
"83",16384,0,5.376e-05,1,1024,16,16,19,1088,7,"bpnn_layerforward_CUDA",1,782693,278528,278528,8192,2208768,1883870,55296,39936,16384,16384,731057,44560278,3.016672,0.94432,19.722817,19.722817,2.308435,18.17574,27.843976,29.004142,59.677419,68,70.833333,3.02589,269.625,70.048608,1,1,5.75,3,55296,39936,94208,49152,4075,51271,49158,125.297893,90.492923,29.044363,27.847375,130048,130048,283648,218112,1556480,245760,1310720,0,0,0,0,2097152,2,1,1,2047616,6799360,0,31752192,3145728,2375680,7340032,0.776805,0,5.034321,"GTX-970"
"93",17408,0,5.7183e-05,1,1088,16,16,19,1088,7,"bpnn_layerforward_CUDA",1,833086,295936,295936,8704,2346816,2001567,58752,42432,17408,17408,784259,47237626,3.015895,0.946149,19.70803,19.70803,7.417682,17.735203,27.823102,28.982398,59.677419,68,70.833333,3.015758,269.625,69.815368,1,1,5.75,3,58752,42432,100096,52224,13923,54727,52230,125.203958,90.42508,29.156612,27.826298,138176,138176,301376,231744,1653760,261120,1392640,0,0,0,0,2228224,2,2,1,2175488,7224320,0,33736704,3342336,2524160,7798784,0.77543,0,5.01046,"GTX-970"
