"","input.size.1","input.size.2","duration","grid.x","grid.y","block.x","block.y","registers.per.thread","static.smem","device","name","kernel","elapsed_cycles_sm","gld_inst_32bit","gst_inst_32bit","warps_launched","inst_executed","inst_issued1","shared_load","shared_store","gld_request","gst_request","active_cycles","active_warps","executed_ipc","achieved_occupancy","requested_global_load_throughput","requested_global_store_throughput","device_memory_read_throughput","device_memory_write_throughput","global_store_throughput","global_load_throughput","shared_memory_efficiency","global_memory_load_efficiency","global_memory_store_efficiency","issued_ipc","instructions_per_warp","issue_slot_utilization","shared_memory_load_transactions_per_request","shared_memory_store_transactions_per_request","global_load_transactions_per_request","global_store_transactions_per_request","shared_load_transactions","shared_store_transactions","global_load_transactions","global_store_transactions","device_memory_read_transactions","l2_read_transactions","l2_write_transactions","shared_memory_load_throughput","shared_memory_store_throughput","l2_throughput_.reads.","l2_throughput_.writes.","issued_control.flow_instructions","executed_control.flow_instructions","issued_load.store_instructions","executed_load.store_instructions","floating_point_operations.single_precision.","floating_point_operations.single_precision_add.","floating_point_operation.single_precision_mul.","floating_point_operations.single_precision_fma.","floating_point_operations.double_precision.","floating_point_operations.double_precision_add.","floating_point_operations.double_precision_mul.","floating_point_operations.single_precision_special.","l1.shared_memory_utilization","device_memory_utilization","control.flow_function_unit_utilization","issue_slots","fp_instructions.single.","fp_instructions.double.","integer_instructions","control.flow_instructions","load.store_instructions","misc_instructions","flop_efficiency.peak_single.","flop_efficiency.peak_double.","eligible_warps_per_active_cycle","gpu_name"
"8",8192,0,5.552e-05,1,512,16,16,21,0,5,"bpnn_adjust_weights_cuda",2,486274,917584,262176,4096,217113,463271,0,0,28677,8194,430878,25806618,0.500937,0.930354,45.716644,22.165071,23.57051,25.149091,27.707016,65.112096,0,70.212213,79.998047,1.233438,53.006104,28.874732,0,0,1.446351,1.999756,0,0,41477,16386,34850,96394,40971,0,0,65.195286,27.710397,16371,12288,73778,36871,0,0,0,0,1179760,131088,524320,0,1,3,1,496842,0,917584,2359376,262128,1179760,1048592,0,15.163262,6.548254,"Quadro"
"18",9216,0,6.208e-05,1,576,16,16,21,0,5,"bpnn_adjust_weights_cuda",2,536372,1032272,294944,4608,244249,520926,0,0,32261,9218,481594,28921878,0.506273,0.936696,35.496338,17.20995,18.409623,19.520138,21.512904,50.555744,0,70.212275,79.998264,1.238691,53.005425,29.004514,0,0,1.446359,1.999783,0,0,46661,18434,39438,108469,46096,0,0,50.633233,21.517572,18418,13824,82856,41479,0,0,0,0,1327216,147472,589856,0,1,3,1,557596,0,1032272,2654288,294896,1327216,1179664,0,15.4652,6.51582,"Quadro"
"28",10240,0,6.8513e-05,1,640,16,16,21,0,5,"bpnn_adjust_weights_cuda",2,581426,1146960,327712,5120,271385,578225,0,0,35845,10242,533951,31978242,0.505831,0.938858,35.906771,17.408983,18.657581,19.769336,21.761654,51.140268,0,70.212324,79.998438,1.241113,53.004883,29.057625,0,0,1.446366,1.999805,0,0,51845,20482,43902,120466,51221,0,0,51.195941,21.768028,20462,15360,91030,46087,0,0,0,0,1474672,163856,655392,0,1,3,1,617614,0,1146960,2949200,327664,1474672,1310736,0,15.851888,6.541668,"Quadro"
"38",11264,0,7.5169e-05,1,704,16,16,21,0,5,"bpnn_adjust_weights_cuda",2,630569,1261648,360480,5632,298521,634650,0,0,39429,11266,583785,35310422,0.507244,0.943743,35.978025,17.443562,18.721828,19.847181,21.80484,51.241723,0,70.212364,79.99858,1.244146,53.004439,29.140951,0,0,1.446372,1.999822,0,0,57029,22530,48362,132533,56332,0,0,51.305984,21.807163,22512,16896,98466,50695,0,0,0,0,1622128,180240,720928,0,1,3,1,680413,0,1261648,3244112,360432,1622128,1441808,0,16.078018,6.481198,"Quadro"
"48",12288,0,8.3361e-05,1,768,16,16,21,0,5,"bpnn_adjust_weights_cuda",2,689335,1376336,393248,6144,325657,692688,0,0,43013,12290,639607,38527286,0.51189,0.946247,47.480841,23.020616,24.793666,26.241236,28.776239,67.624582,0,70.212398,79.998698,1.24669,53.004069,29.213079,0,0,1.446377,1.999837,0,0,62213,24578,52942,144630,61451,0,0,67.732764,28.77858,24558,18432,108632,55303,0,0,0,0,1769584,196624,786464,0,1,3,1,744722,0,1376336,3539024,393200,1769584,1572880,0,16.044304,6.571011,"Quadro"
"58",13312,0,8.8385e-05,1,832,16,16,21,0,5,"bpnn_adjust_weights_cuda",2,744718,1491024,426016,6656,352793,751614,0,0,46597,13314,689524,42135560,0.511115,0.948944,36.640007,17.764569,19.213036,20.213152,22.206044,52.184505,0,70.212426,79.998798,1.242281,53.003756,29.110974,0,0,1.446381,1.99985,0,0,67397,26626,57594,156597,66573,0,0,52.239881,22.20838,26612,19968,117138,59911,0,0,0,0,1917040,213008,852000,0,1,3,1,805142,0,1491024,3833936,425968,1917040,1703952,0,16.08864,6.471912,"Quadro"
"68",14336,0,9.4945e-05,1,896,16,16,21,0,5,"bpnn_adjust_weights_cuda",2,795723,1605712,458784,7168,379929,806934,0,0,50181,14338,741666,44928336,0.514379,0.950432,36.634086,17.761718,19.184564,20.238225,22.202458,52.176054,0,70.21245,79.998884,1.2401,53.003488,29.054322,0,0,1.446384,1.999861,0,0,72581,28674,61942,168604,71687,0,0,52.219724,22.202767,28654,21504,125295,64519,0,0,0,0,2064496,229392,917536,0,1,3,1,864258,0,1605712,4128848,458736,2064496,1835024,0,16.215567,6.649571,"Quadro"
"78",15360,0,0.000101345,1,960,16,16,21,0,5,"bpnn_adjust_weights_cuda",2,854159,1720400,491552,7680,407065,865531,0,0,53765,15362,794388,48609386,0.510814,0.953102,48.22514,23.381563,25.36567,26.592894,29.227335,68.684579,0,70.212471,79.998958,1.239438,53.003255,29.048062,0,0,1.446387,1.99987,0,0,77765,30722,66658,180635,76812,0,0,68.737854,29.229618,30702,23040,135731,69127,0,0,0,0,2211952,245776,983072,0,1,3,1,929007,0,1720400,4423760,491504,2211952,1966096,0,16.18516,6.445216,"Quadro"
"88",16384,0,0.00010749,1,1024,16,16,21,0,5,"bpnn_adjust_weights_cuda",2,891468,1835088,524320,8192,434201,923016,0,0,57349,16386,842103,51493572,0.51597,0.956107,48.264267,23.400554,25.280738,26.668919,29.251049,68.740287,0,70.21249,79.999024,1.248475,53.003052,29.256195,0,0,1.44639,1.999878,0,0,82949,32770,70806,192744,81927,0,0,68.817765,29.251406,32752,24576,142769,73735,0,0,0,0,2359408,262160,1048608,0,1,3,1,986994,0,1835088,4718672,524272,2359408,2097168,0,16.541592,6.66401,"Quadro"
"98",17408,0,0.000114241,1,1088,16,16,21,0,5,"bpnn_adjust_weights_cuda",2,947384,1949776,557088,8704,461337,980270,0,0,60933,17410,894497,54741036,0.515441,0.956212,37.175834,18.024427,19.501356,20.515741,22.530793,52.947596,0,70.212506,79.999081,1.249007,53.002872,29.274538,0,0,1.446392,1.999885,0,0,88133,34818,75342,204722,87047,0,0,52.989787,22.531052,34791,26112,154389,78343,0,0,0,0,2506864,278544,1114144,0,1,3,1,1049723,0,1949776,5013584,557040,2506864,2228240,0,16.538067,6.703325,"Quadro"
"108",18432,0,0.000120225,1,1152,16,16,21,0,5,"bpnn_adjust_weights_cuda",2,1003026,2064464,589856,9216,488473,1037468,0,0,64517,18434,948709,58278040,0.515347,0.957332,48.701989,23.612814,25.551619,26.850881,29.516337,69.363681,0,70.21252,79.999132,1.249568,53.002713,29.289065,0,0,1.446394,1.999892,0,0,93317,36866,79786,216751,92168,0,0,69.414921,29.516978,36845,27648,159744,82951,0,0,0,0,2654320,294928,1179680,0,1,3,1,1111615,0,2064464,5308496,589808,2654320,2359312,0,16.539452,6.619602,"Quadro"
"118",19456,0,0.00012733,1,1216,16,16,21,0,5,"bpnn_adjust_weights_cuda",2,1048409,2179152,622624,9728,515609,1093535,0,0,68101,19458,1002954,61635784,0.513144,0.960223,37.507475,18.185244,19.670851,20.674651,22.731789,53.419914,0,70.212533,79.999178,1.253644,53.00257,29.383853,0,0,1.446396,1.999897,0,0,98501,38914,84186,228851,97293,0,0,53.473188,22.733424,38878,29184,169796,87559,0,0,0,0,2801776,311312,1245216,0,1,3,1,1172324,0,2179152,5603408,622576,2801776,2490384,0,16.702546,6.772129,"Quadro"
"128",20480,0,0.000133218,1,1280,16,16,21,0,5,"bpnn_adjust_weights_cuda",2,1101312,2293840,655392,10240,542745,1150707,0,0,71685,20482,1051376,65025824,0.512926,0.960206,48.90927,23.71334,25.710003,26.978396,29.641964,69.658876,0,70.212545,79.999219,1.249379,53.002441,29.282792,0,0,1.446397,1.999902,0,0,103685,40962,88822,240883,102409,0,0,69.724872,29.642832,40943,30720,178627,92167,0,0,0,0,2949232,327696,1310752,0,1,3,1,1231489,0,2293840,5898320,655344,2949232,2621456,0,16.737037,6.776342,"Quadro"
"138",21504,0,0.00013997,1,1344,16,16,21,0,5,"bpnn_adjust_weights_cuda",2,1147984,2408528,688160,10752,569881,1207282,0,0,75269,21506,1101292,67652098,0.518501,0.961759,49.03841,23.775964,25.803085,27.056284,29.720231,69.842793,0,70.212555,79.999256,1.252456,53.002325,29.358123,0,0,1.446399,1.999907,0,0,108869,43010,93354,252876,107532,0,0,69.895032,29.72189,42981,32256,187285,96775,0,0,0,0,3096688,344080,1376288,0,1,3,1,1292157,0,2408528,6193232,688112,3096688,2752528,0,16.859381,6.769407,"Quadro"
