"","input.size.1","input.size.2","duration","grid.x","grid.y","block.x","block.y","registers.per.thread","static.smem","device","name","kernel","elapsed_cycles_sm","gld_inst_32bit","gst_inst_32bit","warps_launched","inst_executed","inst_issued1","shared_load","shared_store","gld_request","gst_request","active_cycles","active_warps","executed_ipc","achieved_occupancy","requested_global_load_throughput","requested_global_store_throughput","device_memory_read_throughput","device_memory_write_throughput","global_store_throughput","global_load_throughput","shared_memory_efficiency","global_memory_load_efficiency","global_memory_store_efficiency","issued_ipc","instructions_per_warp","issue_slot_utilization","shared_memory_load_transactions_per_request","shared_memory_store_transactions_per_request","global_load_transactions_per_request","global_store_transactions_per_request","shared_load_transactions","shared_store_transactions","global_load_transactions","global_store_transactions","device_memory_read_transactions","l2_read_transactions","l2_write_transactions","shared_memory_load_throughput","shared_memory_store_throughput","l2_throughput_.reads.","l2_throughput_.writes.","issued_control.flow_instructions","executed_control.flow_instructions","issued_load.store_instructions","executed_load.store_instructions","floating_point_operations.single_precision.","floating_point_operations.single_precision_add.","floating_point_operation.single_precision_mul.","floating_point_operations.single_precision_fma.","floating_point_operations.double_precision.","floating_point_operations.double_precision_add.","floating_point_operations.double_precision_mul.","floating_point_operations.single_precision_special.","l1.shared_memory_utilization","device_memory_utilization","control.flow_function_unit_utilization","issue_slots","fp_instructions.single.","fp_instructions.double.","integer_instructions","control.flow_instructions","load.store_instructions","misc_instructions","flop_efficiency.peak_single.","flop_efficiency.peak_double.","eligible_warps_per_active_cycle","gpu_name"
"9",20,0,1.9329e-05,51,1,256,1,31,11872,3,"kernel",5,227032,398055,132753,408,227970,120538,0,0,12648,4284,163774,4430770,1.393869,0.423295,24.112549,22.683399,22.289545,29.04503,27.738222,42.04886,0,57.344121,81.776685,1.685925,558.75,30.170337,0,0,1.504981,1.929505,0,0,19035,8266,16306,26595,18405,0,0,36.354131,25.158781,15256,8925,32287,16932,0,0,0,0,0,0,0,26112,1,3,1,199899,26112,0,4725201,158712,596343,356745,0,0,2.405628,"Tesla-K20"
"12",20,0,0.026359,51,1,256,1,31,11872,3,"kernel",5,242511750,987003867,28792458,408,292754025,196516339,36190467,5151,40066008,923406,238387040,7485633858,1.226813,0.490782,99.939582,3.969764,6.967044,10.048719,7.358182,144.463862,37.356944,69.179642,53.950346,1.727616,717534.375,31.896995,1.005931,1,1.650407,4.657462,36405126,5151,65996589,4300728,6316443,104871906,5819041,321.23918,46.543332,115.673838,6.418409,50844191,28259406,111242577,77185032,1883792253,97165455,5718834,890453982,0,0,0,13232715,3,1,1,304301007,1010953824,0,3304670637,495940677,1887066605,109551875,2.022875,0,3.867276,"Tesla-K20"
"15",20,0,0.026363,51,1,256,1,31,11872,3,"kernel",5,242172213,987003867,28792458,408,292754025,196301207,36190467,5151,40066008,923406,238411776,7493744326,1.227171,0.490819,97.552559,3.874948,6.778642,9.792506,7.182434,141.013391,37.356944,69.179642,53.950346,1.728903,717534.375,31.91381,1.005931,1,1.650407,4.657462,36405126,5151,65996589,4300728,6296012,117909069,5449856,313.56649,45.431661,126.947552,5.867622,50846244,28259406,111274881,77185032,1883792253,97165455,5718834,890453982,0,0,0,13232715,3,1,1,304391960,1010953824,0,3304670614,495940677,1887066607,109551877,2.025711,0,3.874742,"Tesla-K20"
"18",20,0,0.026319,51,1,256,1,31,11872,3,"kernel",5,242989643,987003867,28792458,408,292754055,196762700,36190467,5151,40066008,923406,238890637,7492592482,1.230808,0.490794,97.699759,3.880795,6.878233,9.823692,7.193272,141.226171,37.356944,69.179642,53.950346,1.72559,717534.448529,31.86552,1.005931,1,1.650407,4.657462,36405126,5151,65996589,4300728,6378887,124427798,5480509,314.039641,45.500214,134.168129,5.909529,50852359,28259416,111137127,77185032,1883792239,97165455,5718834,890453975,0,0,0,13232714,3,1,1,304180747,1010953820,0,3304670647,495940682,1887066598,109551869,2.018896,0,3.8615,"Tesla-K20"
"21",20,0,0.026354,51,1,256,1,31,11872,3,"kernel",5,242190520,987003867,28792458,408,292754025,196645265,36190467,5151,40066008,923406,238251443,7483399802,1.22622,0.490776,99.560241,3.954696,6.895471,9.940935,7.330252,143.91552,37.356943,69.179642,53.950346,1.727932,717534.375,31.898853,1.005931,1,1.650407,4.657462,36405126,5151,65996589,4300728,6275373,124465088,5825157,320.019851,46.366668,136.764047,6.400767,50850460,28259406,111243371,77185032,1883792253,97165455,5718834,890453982,0,0,0,13232715,3,1,1,304126326,1010953824,0,3304670679,495940677,1887066572,109551842,2.025558,0,3.876062,"Tesla-K20"
"24",20,0,0.026357,51,1,256,1,31,11872,3,"kernel",5,242024653,987003867,28792458,408,292754055,196197700,36190467,5151,40066008,923406,238569743,7494688594,1.226668,0.490861,97.673601,3.879756,6.798175,9.759793,7.191346,141.188359,37.356943,69.179642,53.950346,1.729679,717534.448529,31.925396,1.005931,1,1.650407,4.657462,36405126,5151,65996589,4300728,6306330,111464269,5473910,313.95556,45.488031,120.157622,5.900833,50842172,28259416,111251321,77185032,1883792239,97165455,5718834,890453975,0,0,0,13232714,3,1,1,304152229,1010953820,0,3304670594,495940682,1887066563,109551834,2.026946,0,3.875902,"Tesla-K20"
"27",20,0,0.02635,51,1,256,1,31,11872,3,"kernel",5,242550331,987003867,28792458,408,292754055,196408834,36190467,5151,40066008,923406,238527090,7495329464,1.226913,0.490819,97.80648,3.885034,6.856271,9.858568,7.201129,141.380438,37.356942,69.179642,53.950346,1.726722,717534.448529,31.882652,1.005931,1,1.650407,4.657462,36405126,5151,65996589,4300728,6351582,117952826,6157595,314.382679,45.549915,127.32522,6.64687,50849765,28259416,111397902,77185032,1883792239,97165455,5718834,890453975,0,0,0,13232714,3,1,1,304352032,1010953820,0,3304670619,495940682,1887066554,109551825,2.022553,0,3.868589,"Tesla-K20"
"30",20,0,0.026347,51,1,256,1,31,11872,3,"kernel",5,242562099,987003867,28792458,408,292754025,196311131,36190467,5151,40066008,923406,238316369,7479970968,1.229274,0.490756,98.972741,3.93136,6.884462,9.974948,7.286997,143.066282,37.356942,69.179642,53.950346,1.727248,717534.375,31.890932,1.005931,1,1.650407,4.657462,36405126,5151,65996589,4300728,6302545,111462159,6170895,318.131431,46.09306,121.753514,6.740657,50851740,28259406,111139705,77185032,1883792253,97165455,5718834,890453982,0,0,0,13232715,3,1,1,304324510,1010953824,0,3304670568,495940677,1887066546,109551816,2.022455,0,3.869259,"Tesla-K20"
"33",20,0,0.026343,51,1,256,1,31,11872,3,"kernel",5,242821397,987003867,28792458,408,292754055,196799559,36190467,5151,40066008,923406,238918917,7500748744,1.226074,0.490838,98.786214,3.923951,6.954465,9.976964,7.273263,142.796655,37.356941,69.179642,53.950346,1.725568,717534.448529,31.865959,1.005931,1,1.650407,4.657462,36405126,5151,65996589,4300728,6378652,117878008,5821099,317.53187,46.006191,128.519073,6.34658,50847641,28259416,111063176,77185032,1883792239,97165455,5718834,890453975,0,0,0,13232714,3,1,1,304210998,1010953820,0,3304670503,495940682,1887066533,109551804,2.020295,0,3.86354,"Tesla-K20"
"36",20,0,0.026363,51,1,256,1,31,11872,3,"kernel",5,242124753,987003867,28792458,408,292754025,196289271,36190467,5151,40066008,923406,238548624,7482317018,1.228962,0.490785,97.93726,3.890229,6.783336,9.836544,7.210758,141.569482,37.356941,69.179642,53.950346,1.729035,717534.375,31.916618,1.005931,1,1.650407,4.657462,36405126,5151,65996589,4300728,6275624,104873960,5826560,314.80305,45.610822,113.358496,6.297942,50846287,28259406,111129047,77185032,1883792253,97165455,5718834,890453982,0,0,0,13232715,3,1,1,304039065,1010953824,0,3304670560,495940677,1887066523,109551793,2.026108,0,3.870843,"Tesla-K20"
