256,"Tesla K20c (0)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,5993,7693,7946,7973,2049,2048,2049,2048,1504,1923,1512,1524,2048,2048,2828,2048,655360,655360,655360,655360,653844,653896,653864,653888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,655383,655464,655496,655380,2053,2048,2049,1632,5972187,0,0,33554432,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2048,65536,6088704,7353273,1042294,194838528,0,0,0,0,1048576,2048,5853335,171957896,1024,194641920,0,0,0,0,0,0,2621440,8192,0,0,1572864,6144,0,0,0,0,2768096,8192,0,0
512,"Tesla K20c (0)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,68154,66604,32391,32474,8192,8195,8198,8193,17508,16784,16854,16844,8192,8192,8192,8192,5242880,5242880,5242880,5242880,5226156,5226132,5226108,5226044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0,5243288,5243083,5243451,4196415,8192,8567,8199,8195,44988346,0,0,268435456,0,0,0,0,262144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8192,262144,48472064,58717362,8268613,1551106048,0,0,0,0,8388608,8192,44754326,1396951282,4096,1550319616,0,0,0,0,0,0,20971520,32768,0,0,12582912,24576,0,0,0,0,22235017,32768,0,0
768,"Tesla K20c (0)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,3375943,3376951,60776,60432,18434,18434,18437,18434,849456,849744,850504,849428,18432,18432,18432,18432,17694720,17694720,17694720,17694720,16846048,16846040,16846048,16846052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,17696892,17696277,17696344,17695532,18432,18435,18438,18434,151584979,0,0,905969664,0,0,0,0,589824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18432,589824,163325952,196533980,26784786,5226430464,0,0,0,0,28311552,18432,151440372,4779023790,9216,5224660992,0,0,0,0,0,0,70778880,73728,0,0,42467328,55296,0,0,0,0,74911235,73728,0,0
1024,"Tesla K20c (0)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,10486514,10485431,101575,101937,32768,32770,33086,32780,2643393,2643065,2643496,2641824,32768,32768,32768,32768,41943040,41943040,41943040,41943040,39303936,39303936,39303936,39303936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1,41945021,41947624,41947396,41947635,32773,32771,33032,32769,357554197,0,0,2147483648,0,0,0,0,1048576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32768,1048576,386826240,465218471,62853051,12378439680,0,0,0,0,67108864,32768,356975994,11376064092,16384,12375293952,0,0,0,0,0,0,167772160,131072,0,0,100663296,98304,0,0,0,0,177583883,131072,0,0
1280,"Tesla K20c (0)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,25473353,25464589,160202,160547,51201,51203,51201,51201,6397500,6394724,6393680,6395892,51200,51200,51200,51200,81920000,81920000,65536000,81920000,75531096,75531124,75531160,75531148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,81926988,81927920,81927399,81925061,51201,51203,51205,51205,703550523,0,0,4194304000,0,0,0,0,1638400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51200,1638400,755148800,908085047,121707297,24164761600,0,0,0,0,131072000,51200,700990467,22373185812,25600,24159846400,0,0,0,0,0,0,327680000,204800,0,0,196608000,153600,0,0,0,0,347777853,204800,0,0
1536,"Tesla K20c (0)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,56646773,56579059,199971,199274,73729,73731,58983,73730,14222200,14206310,11349937,14214840,73728,73728,73728,73728,141557760,141557760,141557760,141557760,127345024,127342673,127365120,127347884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,141567872,141565980,141570508,141567261,73728,73731,73735,73729,1217845473,0,0,7247757312,0,0,0,0,2359296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73728,2359296,1304469504,1567337140,206989179,41743024128,0,0,0,0,226492416,73728,1215019901,38848259420,36864,41735946240,0,0,0,0,0,0,566231040,294912,0,0,339738624,221184,0,0,0,0,600950468,294912,0,0
1792,"Tesla K20c (0)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,90632922,90615084,279383,279973,100353,100355,100357,100355,22715272,22708588,22705692,22710912,100352,100352,100352,100352,224788480,224788480,224788480,224788480,202096436,202098991,202095404,202094564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224805147,224807503,224806116,224805704,100353,100520,100360,100357,1933042319,0,0,11509170176,0,0,0,0,3211264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100352,3211264,2070964224,2488319128,328180744,66270855168,0,0,0,0,359661568,100352,1930786649,61695242374,50176,66261221376,0,0,0,0,0,0,899153920,401408,0,0,539492352,301056,0,0,0,0,954101994,401408,0,0
2048,"Tesla K20c (0)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,134837868,134755536,359069,361500,131082,131074,131074,131073,33842028,33812040,33838922,33828756,131072,131072,131072,131072,335544320,335544320,335544320,335544320,301740160,301733144,301743452,301732388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,4,335567204,335569835,335570788,335565475,104871,131076,131078,131075,2882930921,0,0,17179869184,0,0,0,0,4194304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131072,4194304,3090808832,3712556265,488760157,98905882624,0,0,0,0,536870912,131072,2881406124,92089342962,65536,98893299712,0,0,0,0,0,0,1342177280,524288,0,0,805306368,393216,0,0,0,0,1423792804,524288,0,0
2304,"Tesla K20c (0)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,193622890,193445212,446504,446037,165888,165892,165890,165889,48560023,48523044,48504295,48555136,165888,165888,165888,165888,477757440,477757440,382224384,477757440,429298468,429281511,429279862,429285570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,477787988,477795115,477796767,477793396,165888,165891,165900,165941,4105580648,0,0,24461180928,0,0,0,0,5308416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165888,5308416,4400179200,5288318023,697216032,140805734400,0,0,0,0,764411904,165888,4100949865,131185411424,82944,140789809152,0,0,0,0,0,0,1911029760,663552,0,0,1146617856,497664,0,0,0,0,2028870169,663552,0,0
2560,"Tesla K20c (0)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,264499615,264581218,583497,585429,204801,204802,204806,163850,66269598,66289377,66303918,53032563,204800,204800,204800,204800,655360000,655360000,655360000,655360000,589118647,589059748,589110699,589111075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,655410740,655403521,655408568,655413216,204806,204804,204881,204802,5626712413,0,0,33554432000,0,0,0,0,6553600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204800,6553600,6035251200,7251062295,955065020,193128038400,0,0,0,0,1048576000,204800,5622853001,179870259378,102400,193108377600,0,0,0,0,0,0,2621440000,819200,0,0,1572864000,614400,0,0,0,0,2781214205,819200,0,0
