gpu_id,num_of_cores,max_clock_rate,l1_cache_used,threads_number,l1_global_load_hit,l1_global_load_miss,Global Load Transactions,Global Store Transactions,L1 Global Hit Rate,Shared Load Transactions,Shared Store Transactions,Duration
0,2880,745,0,65536,0,0.0,1572864.0,4096.0,0.0,0.0,0.0,0.000400543
0,2880,745,0,262144,0,0.0,12582912.0,16384.0,0.0,0.0,0.0,0.003039161
0,2880,745,0,589824,0,0.0,42467328.0,36864.0,0.0,0.0,0.0,0.009906984
0,2880,745,0,1048576,0,0.0,100663296.0,65536.0,0.0,0.0,0.0,0.023438999999999998
0,2880,745,0,1638400,0,0.0,196608000.0,102400.0,0.0,0.0,0.0,0.045443
0,2880,745,0,2359296,0,0.0,339738624.0,147456.0,0.0,0.0,0.0,0.078343
0,2880,745,0,3211264,0,0.0,539492352.0,200704.0,0.0,0.0,0.0,0.12433599999999999
0,2880,745,0,4194304,0,0.0,805306368.0,262144.0,0.0,0.0,0.0,0.18569000000000002
0,2880,745,0,5308416,0,0.0,1146617856.0,331776.0,0.0,0.0,0.0,0.264226
0,2880,745,0,6553600,0,0.0,1572864000.0,409600.0,0.0,0.0,0.0,0.362266
0,2880,745,0,7929856,0,0.0,2093481984.0,495616.0,0.0,0.0,0.0,0.482195
0,2880,745,0,9437184,0,0.0,2717908992.0,589824.0,0.0,0.0,0.0,0.626173
0,2880,745,0,11075584,0,0.0,3455582208.0,692224.0,0.0,0.0,0.0,0.7962100000000001
0,2880,745,0,12845056,0,0.0,4315938816.0,802816.0,0.0,0.0,0.0,0.994182
0,2880,745,0,14745600,0,0.0,5308416000.0,921600.0,0.0,0.0,0.0,1.2230969999999999
0,2880,745,0,16777216,0,0.0,6442450944.0,1048576.0,0.0,0.0,0.0,1.483401
0,2880,745,0,18939904,0,0.0,7727480832.0,1183744.0,0.0,0.0,0.0,1.779928
0,2880,745,0,21233664,0,0.0,9172942848.0,1327104.0,0.0,0.0,0.0,2.112885
0,2880,745,0,23658496,0,0.0,10788274176.0,1478656.0,0.0,0.0,0.0,2.486263
0,2880,745,0,26214400,0,0.0,12582912000.0,1638400.0,0.0,0.0,0.0,2.899368
0,2880,745,0,28901376,0,0.0,14566293504.0,1806336.0,0.0,0.0,0.0,3.3570050000000005
0,2880,745,0,31719424,0,0.0,16747855872.0,1982464.0,0.0,0.0,0.0,3.8585730000000003
0,2880,745,0,34668544,0,0.0,19137036288.0,2166784.0,0.0,0.0,0.0,4.411009
0,2880,745,0,37748736,0,0.0,21743271936.0,2359296.0,0.0,0.0,0.0,5.009834
0,2880,745,0,40960000,0,0.0,24576000000.0,2560000.0,0.0,0.0,0.0,5.664678
0,2880,745,0,44302336,0,0.0,27644657664.0,2768896.0,0.0,0.0,0.0,6.372673000000001
0,2880,745,0,47775744,0,0.0,30958682112.0,2985984.0,0.0,0.0,0.0,7.137106
0,2880,745,0,51380224,0,0.0,34527510528.0,3211264.0,0.0,0.0,0.0,7.9588529999999995
0,2880,745,0,55115776,0,0.0,38360580096.0,3444736.0,0.0,0.0,0.0,8.841923
0,2880,745,0,58982400,0,0.0,42467328000.0,3686400.0,0.0,0.0,0.0,9.790809
0,2880,745,0,62980096,0,0.0,46857191424.0,3936256.0,0.0,0.0,0.0,10.804482
0,2880,745,0,67108864,0,0.0,51539607552.0,4194304.0,0.0,0.0,0.0,11.887878
0,2880,745,0,65536,0,0.0,1048576.0,32768.0,0.0,1572864.0,262144.0,0.000414815
0,2880,745,0,262144,0,0.0,8388608.0,131072.0,0.0,12582912.0,2097152.0,0.0031972040000000004
0,2880,745,0,589824,0,0.0,28311552.0,294912.0,0.0,42467328.0,7077888.0,0.010743
0,2880,745,0,1048576,0,0.0,67108864.0,524288.0,0.0,100663296.0,16777217.0,0.025516999999999998
0,2880,745,0,1638400,0,0.0,131072000.0,819200.0,0.0,196608000.0,32768000.0,0.049621
0,2880,745,0,2359296,0,0.0,226492416.0,1179648.0,0.0,339738624.0,56623106.0,0.08554400000000001
0,2880,745,0,3211264,0,0.0,359661568.0,1605632.0,0.0,539492352.0,89915392.0,0.13575
0,2880,745,0,4194304,0,0.0,536870912.0,2097152.0,0.0,805306368.0,134217730.0,0.202516
0,2880,745,0,5308416,0,0.0,764411904.0,2654208.0,0.0,1146617856.0,191102976.0,0.288179
0,2880,745,0,6553600,0,0.0,1048576000.0,3276800.0,0.0,1572864000.0,262144001.0,0.395283
0,2880,745,0,7929856,0,0.0,1395654656.0,3964928.0,0.0,2093481984.0,348913664.0,0.526109
0,2880,745,0,9437184,0,0.0,1811939328.0,4718592.0,0.0,2717908992.0,452984834.0,0.683337
0,2880,745,0,11075584,0,0.0,2303721472.0,5537792.0,0.0,3455582208.0,575930372.0,0.868353
0,2880,745,0,12845056,0,0.0,2877292544.0,6422528.0,0.0,4315938816.0,719323150.0,1.084126
0,2880,745,0,14745600,0,0.0,3538944000.0,7372800.0,0.0,5308416000.0,884736020.0,1.3344989999999999
0,2880,745,0,16777216,0,0.0,4294967296.0,8388608.0,0.0,6442450944.0,1073741872.0,1.61881
0,2880,745,0,18939904,0,0.0,5151653888.0,9469952.0,0.0,7727480832.0,1287913482.0,1.941355
0,2880,745,0,21233664,0,0.0,6115295232.0,10616832.0,0.0,9172942848.0,1528823820.0,2.307067
0,2880,745,0,23658496,0,0.0,7192182784.0,11829248.0,0.0,10788274176.0,1798045759.0,2.712103
0,2880,745,0,26214400,0,0.0,8388608000.0,13107200.0,0.0,12582912000.0,2097152047.0,3.163309
0,2880,745,0,28901376,0,0.0,9710862336.0,14450688.0,0.0,14566293504.0,2427715652.0,3.6657629999999997
0,2880,745,0,31719424,0,0.0,11165237248.0,15859712.0,0.0,16747855872.0,2791309684.0,4.139453
