Type,Training error,Test error,Mean absolute error,Mean squared error,Accuracy
ordinary,0.7439,0.17255,0.00321,1e-05,0.4950770341974772
ridge,0.73268,0.17218,0.00321,1e-05,0.49477747989112336
lasso,0.0,-0.03423,0.00372,2e-05,7.578505206187329
elastic_net,0.48673,0.40122,0.00284,1e-05,4.7598273948501255
support_vector_regression,-0.01275,-0.09535,0.0038,2e-05,8.131240170135866
random_forest_regressor,0.90621,0.20813,0.00314,1e-05,0.579546137322826
