Type,Training error,Test error,Mean absolute error,Mean squared error,Accuracy
ordinary,0.96844,-0.16589,0.00385,2e-05,0.40920772353225915
ridge,0.96837,-0.0615,0.00363,2e-05,0.6964853510242893
lasso,0.0,-0.13006,0.004,2e-05,8.4386842691247
elastic_net,0.85429,0.09356,0.00335,2e-05,2.0115889447685302
support_vector_regression,-0.24663,-0.95688,0.00507,4e-05,11.358351124823036
random_forest_regressor,0.99856,-0.04749,0.00371,2e-05,0.45573028112353087
