gpu_id,num_of_cores,max_clock_rate,l1_cache_used,threads_number,l1_global_load_hit,l1_global_load_miss,Global Load Transactions,Global Store Transactions,L1 Global Hit Rate,L2 Hit Rate (L1 Reads),Shared Load Transactions,Shared Store Transactions,Duration
0,2880,745,0,65536,0,0,1572864.0,4096.0,0.0,99.961281,0.0,0.0,0.000402175
0,2880,745,0,262144,0,0,12582912.0,16384.0,0.0,99.601388,0.0,0.0,0.0030780679999999998
0,2880,745,0,589824,0,0,42467328.0,36864.0,0.0,96.084037,0.0,0.0,0.010136
0,2880,745,0,1048576,0,0,100663296.0,65536.0,0.0,94.683774,0.0,0.0,0.023808000000000003
0,2880,745,0,1638400,0,0,196608000.0,102400.0,0.0,93.864038,0.0,0.0,0.046449000000000004
0,2880,745,0,2359296,0,0,339738624.0,147456.0,0.0,93.72283399999999,0.0,0.0,0.080139
0,2880,745,0,3211264,0,0,539492352.0,200704.0,0.0,93.682275,0.0,0.0,0.12717699999999998
0,2880,745,0,4194304,0,0,805306368.0,262144.0,0.0,93.683612,0.0,0.0,0.18973299999999998
0,2880,745,0,5308416,0,0,1146617856.0,331776.0,0.0,93.670966,0.0,0.0,0.270004
0,2880,745,0,6553600,0,0,1572864000.0,409600.0,0.0,93.66762,0.0,0.0,0.370213
0,2880,745,0,7929856,0,0,2093481984.0,495616.0,0.0,93.666624,0.0,0.0,0.492864
0,2880,745,0,9437184,0,0,2717908992.0,589824.0,0.0,93.60492099999999,0.0,0.0,0.640213
0,2880,745,0,11075584,0,0,3455582208.0,692224.0,0.0,93.614249,0.0,0.0,0.813555
0,2880,745,0,12845056,0,0,4315938816.0,802816.0,0.0,93.49685600000001,0.0,0.0,1.016249
0,2880,745,0,14745600,0,0,5308416000.0,921600.0,0.0,93.557676,0.0,0.0,1.249624
0,2880,745,0,16777216,0,0,6442450944.0,1048576.0,0.0,93.543814,0.0,0.0,1.5124959999999998
0,2880,745,0,18939904,0,0,7727480832.0,1183744.0,0.0,93.471243,0.0,0.0,1.8193990000000002
0,2880,745,0,21233664,0,0,9172942848.0,1327104.0,0.0,93.432429,0.0,0.0,2.159571
0,2880,745,0,23658496,0,0,10788274176.0,1478656.0,0.0,93.374963,0.0,0.0,2.54006
0,2880,745,0,26214400,0,0,12582912000.0,1638400.0,0.0,93.328069,0.0,0.0,2.962223
