num_of_cores,max_clock_rate,l1_cache_used,threads_launched,l1_global_load_hit,l1_global_load_miss,L1 Global Hit Rate,L2 Hit Rate (L1 Reads),Shared Load Transactions,Shared Store Transactions,Global Load Transactions,Global Store Transactions,Duration
2880,745,0,16384,0,0,0.0,100.0,0,0,196608.0,1024,5.5936e-05
2880,745,0,65536,0,0,0.0,99.979591,0,0,1572864.0,4096,0.000402271
2880,745,0,262144,0,0,0.0,99.60103000000001,0,0,12582912.0,16384,0.003090425
2880,745,0,1048576,0,0,0.0,94.6712,0,0,100663296.0,65536,0.02393
2880,745,0,4194304,0,0,0.0,93.682482,0,0,805306368.0,262144,0.189773
2880,745,0,16777216,0,0,0.0,93.54941099999999,0,0,6442450944.0,1048576,1.516749
2880,745,0,67108864,0,0,0.0,92.535514,0,0,51539607552.0,4194304,12.146103
2880,745,0,16384,0,0,0.0,100.0,196608,32768,131072.0,8192,6.064e-05
2880,745,0,65536,0,0,0.0,99.98436,1572864,262144,1048576.0,32768,0.000401663
2880,745,0,262144,0,0,0.0,99.43778499999999,12582912,2097152,8388608.0,131072,0.003131547
2880,745,0,1048576,0,0,0.0,88.797237,100663296,16777216,67108864.0,524288,0.024804
2880,745,0,4194304,0,0,0.0,87.349998,805306368,134217739,536870912.0,2097152,0.198011
2880,745,0,16777216,0,0,0.0,86.838332,6442450944,1073741949,4294967296.0,8388608,1.582545
2880,745,0,67108864,0,0,0.0,83.648077,51539607552,8589934963,34359738368.0,33554432,12.668768
2880,745,0,16384,0,0,0.0,100.0,0,0,1114112.0,8192,0.000250271
2880,745,0,65536,0,0,0.0,99.998339,0,0,8912896.0,32768,0.002029756
2880,745,0,262144,0,0,0.0,99.935663,0,0,71303168.0,131072,0.013725999999999999
2880,745,0,1048576,0,0,0.0,98.721186,0,0,570425344.0,524288,0.10871600000000001
2880,745,0,4194304,0,0,0.0,98.487189,0,0,4563402752.0,2097152,0.865152
2880,745,0,16777216,0,0,0.0,98.253118,0,0,36507222016.0,8388608,6.920812
2880,745,0,16384,0,0,0.0,100.0,98304,8192,16384.0,1024,2.1984e-05
2880,745,0,65536,0,0,0.0,99.925232,786432,65562,131072.0,4096,0.000126592
2880,745,0,262144,0,0,0.0,96.873474,6291456,524608,1048576.0,16384,0.000950718
2880,745,0,1048576,0,0,0.0,50.304127,50331648,4194393,8388608.0,65536,0.007600976999999999
2880,745,0,4194304,0,0,0.0,48.912971,402653184,33555014,67108864.0,262144,0.060597000000000005
2880,745,0,16777216,0,0,0.0,46.753361,3221225472,268444977,536870912.0,1048576,0.483817
2880,745,0,67108864,0,0,0.0,37.164379,25769803776,2147687101,4294967296.0,4194304,3.8556190000000004
