num_of_cores,max_clock_rate,l1_cache_used,threads_launched,l1_global_load_hit,l1_global_load_miss,L1 Global Hit Rate,L2 Hit Rate (L1 Reads),Shared Load Transactions,Shared Store Transactions,Global Load Transactions,Global Store Transactions,Duration
2688,876,0,16384,0,0,0.0,100.0,0,0,196608.0,1024,5.8081e-05
2688,876,0,65536,0,0,0.0,99.774551,0,0,1572864.0,4096,0.00034490199999999996
2688,876,0,262144,0,0,0.0,99.609375,0,0,12582912.0,16384,0.002594412
2688,876,0,1048576,0,0,0.0,94.118329,0,0,100663296.0,65536,0.02033
2688,876,0,4194304,0,0,0.0,93.681507,0,0,805306368.0,262144,0.162099
2688,876,0,16777216,0,0,0.0,93.502764,0,0,6442450944.0,1048576,1.277885
2688,876,0,67108864,0,0,0.0,92.662227,0,0,51539607552.0,4194304,10.221354
2688,876,0,16384,0,0,0.0,100.0,196608,32768,131072.0,8192,5.7761000000000005e-05
2688,876,0,65536,0,0,0.0,99.681854,1572864,262144,1048576.0,32768,0.000423624
2688,876,0,262144,0,0,0.0,99.415088,12582912,2097152,8388608.0,131072,0.003164316
2688,876,0,1048576,0,0,0.0,87.823844,100663296,16777216,67108864.0,524288,0.025336
2688,876,0,4194304,0,0,0.0,87.361357,805306368,134217728,536870912.0,2097152,0.201791
2688,876,0,16777216,0,0,0.0,86.832025,6442450944,1073741844,4294967296.0,8388608,1.613214
2688,876,0,67108864,0,0,0.0,83.770176,51539607552,8589935247,34359738368.0,33554432,12.977613999999999
2688,876,0,16384,0,0,0.0,100.0,0,0,1114112.0,8192,0.000216356
2688,876,0,65536,0,0,0.0,99.95741,0,0,8912896.0,32768,0.001613563
2688,876,0,262144,0,0,0.0,99.934797,0,0,71303168.0,131072,0.012688
2688,876,0,1048576,0,0,0.0,98.795358,0,0,570425344.0,524288,0.099577
2688,876,0,4194304,0,0,0.0,96.882734,0,0,4563402752.0,2097152,0.796297
2688,876,0,16777216,0,0,0.0,96.54055799999999,0,0,36507222016.0,8388608,6.363553
2688,876,0,16384,0,0,0.0,100.0,98304,8196,16384.0,1024,2.2208e-05
2688,876,0,65536,0,0,0.0,98.368835,786432,65573,131072.0,4096,0.000139811
2688,876,0,262144,0,0,0.0,96.875,6291456,524531,1048576.0,16384,0.001030772
2688,876,0,1048576,0,0,0.0,51.403999,50331648,4194480,8388608.0,65536,0.008401699
2688,876,0,4194304,0,0,0.0,49.059719,402653184,33555359,67108864.0,262144,0.06704500000000001
2688,876,0,16777216,0,0,0.0,46.077441,3221225472,268449077,536870912.0,1048576,0.530949
2688,876,0,67108864,0,0,0.0,36.441487,25769803776,2147789570,4294967296.0,4194304,4.174666
2496,706,0,16384,0,0,0.0,100.0,0,0,196608.0,1024,6.8129e-05
2496,706,0,65536,0,0,0.0,99.726677,0,0,1572864.0,4096,0.000436874
2496,706,0,262144,0,0,0.0,99.46951899999999,0,0,12582912.0,16384,0.0032710540000000002
2496,706,0,1048576,0,0,0.0,93.911213,0,0,100663296.0,65536,0.025921
2496,706,0,4194304,0,0,0.0,93.666529,0,0,805306368.0,262144,0.206828
2496,706,0,16777216,0,0,0.0,93.352806,0,0,6442450944.0,1048576,1.6545450000000002
2496,706,0,67108864,0,0,0.0,91.267782,0,0,51539607552.0,4194304,13.271791
2496,706,0,16384,0,0,0.0,100.0,196608,32768,131072.0,8192,7.1265e-05
2496,706,0,65536,0,0,0.0,99.587631,1572864,262144,1048576.0,32768,0.0005187330000000001
2496,706,0,262144,0,0,0.0,98.46305799999999,12582912,2097152,8388608.0,131072,0.004073028
2496,706,0,1048576,0,0,0.0,87.532049,100663296,16777216,67108864.0,524288,0.032869
2496,706,0,4194304,0,0,0.0,87.295243,805306368,134217737,536870912.0,2097152,0.261473
2496,706,0,16777216,0,0,0.0,86.03406899999999,6442450944,1073741864,4294967296.0,8388608,2.09341
2496,706,0,67108864,0,0,0.0,82.183757,51539607552,8589935493,34359738368.0,33554432,16.752517
2496,706,0,16384,0,0,0.0,100.0,0,0,1114112.0,8192,0.00026151099999999997
2496,706,0,65536,0,0,0.0,99.94901800000001,0,0,8912896.0,32768,0.002147955
2496,706,0,262144,0,0,0.0,99.82073000000001,0,0,71303168.0,131072,0.016275
2496,706,0,1048576,0,0,0.0,98.64959499999999,0,0,570425344.0,524288,0.12909500000000002
2496,706,0,4194304,0,0,0.0,96.47017199999999,0,0,4563402752.0,2097152,1.0350620000000001
2496,706,0,16777216,0,0,0.0,96.428754,0,0,36507222016.0,8388608,8.271081
2496,706,0,16384,0,0,0.0,100.0,98304,8192,16384.0,1024,2.8064e-05
2496,706,0,65536,0,0,0.0,97.853088,786432,65560,131072.0,4096,0.000170692
2496,706,0,262144,0,0,0.0,96.329403,6291456,524660,1048576.0,16384,0.001321248
2496,706,0,1048576,0,0,0.0,50.253129,50331648,4194453,8388608.0,65536,0.010714
2496,706,0,4194304,0,0,0.0,48.720583000000005,402653184,33555392,67108864.0,262144,0.085477
2496,706,0,16777216,0,0,0.0,43.977229,3221225472,268453542,536870912.0,1048576,0.6808069999999999
2496,706,0,67108864,0,0,0.0,33.410865,25769803776,2147775793,4294967296.0,4194304,5.398562999999999
