Type,Training error,Test error,Mean absolute error,Mean squared error,Accuracy
ordinary,0.88434,-0.16154,3.15474,20.44623,-83.83044744205361
ridge,0.88349,-0.03013,2.7615,18.1331,-52.499971826639445
lasso,0.88327,0.08378,2.36082,16.12787,-18.306010883855468
elastic_net,0.88327,0.08378,2.36082,16.12787,-18.306010883855468
support_vector_regression,0.86001,0.16743,2.2578,14.65551,116.63918257095963
random_forest_regressor,0.98237,0.11717,2.2391,15.5401,0.2778686994814051
