Type,Training error,Test error,Mean absolute error,Mean squared error,Accuracy
ordinary,0.5337,0.19588,0.00612,0.00033,1.6407530776384787
ridge,0.5335,0.1962,0.00609,0.00033,1.629194055894692
lasso,0.0,-0.0556,0.0095,0.00043,11.47166617227981
elastic_net,0.51804,0.14406,0.0067,0.00035,2.5533164756084097
support_vector_regression,-46.30816,-14.67015,0.07867,0.00641,176.9918028186933
random_forest_regressor,0.86957,0.28128,0.00569,0.00029,0.9764249382569696
