Type,Training error,Test error,Mean absolute error,Mean squared error,Accuracy
ordinary,0.97235,0.96438,0.00098,0.0,1.8679804809192833
ridge,0.97234,0.96351,0.001,0.0,1.855155928593557
lasso,0.0,-0.21673,0.00596,5e-05,5.467059028325348
elastic_net,0.87301,0.78007,0.00256,1e-05,1.7332793767806571
support_vector_regression,-0.31662,-0.00235,0.00543,4e-05,7.654446436628697
random_forest_regressor,0.99916,0.92047,0.00149,0.0,0.8695833395836912
