,Duration
128,5.5936e-05
256,0.000402271
512,0.003090425
1024,0.02393
2048,0.189773
4096,1.516749
8192,12.146103
128,3.0080000000000003e-06
256,5.056e-06
512,1.8944e-05
1024,7.248e-05
2048,0.00028502299999999997
4096,0.001122588
8192,0.0046817690000000006
131072,9.3696e-05
262144,0.000158048
524288,0.000311711
1048576,0.0006150390000000001
2097152,0.0012153889999999999
4194304,0.002384506
8388608,0.004750868
16777216,0.009471109
33554432,0.018972
67108864,0.037919
134217728,0.076016
268435456,0.154469
65536,2.56e-06
131072,3.552e-06
262144,5.599e-06
524288,9.664e-06
1048576,1.7792000000000002e-05
2097152,3.4111e-05
4194304,6.6591e-05
8388608,0.00013168
16777216,0.000261919
33554432,0.0005219490000000001
67108864,0.0010438980000000001
134217728,0.0020850120000000002
268435456,0.004173191
2048,0.015406999999999999
4096,0.044335
8192,0.140274
16384,0.492879
32768,1.7996310000000002
65536,6.869756
128,6.064e-05
256,0.000401663
512,0.003131547
1024,0.024804
2048,0.198011
4096,1.582545
8192,12.668768
128,7.2e-06
256,1.952e-05
512,6.8544e-05
1024,0.00026719900000000003
2048,0.001060958
4096,0.004267984
8192,0.017841
131072,1.088e-05
262144,2.2817e-05
524288,4.3104e-05
1048576,8.1184e-05
2097152,0.000157312
4194304,0.000306977
8388608,0.0006104
16777216,0.001211909
33554432,0.002473021
67108864,0.004880179
134217728,0.009939897
268435456,0.019484
32768,4.8e-06
32768,4.256e-06
32768,4.224e-06
32768,4.0639999999999995e-06
32768,3.968e-06
32768,3.968e-06
32768,4e-06
32768,4e-06
32768,4.0639999999999995e-06
32768,4e-06
32768,3.2319999999999997e-06
32768,3.2319999999999997e-06
32768,3.2639999999999996e-06
32768,3.2319999999999997e-06
32768,3.2639999999999996e-06
32768,3.2639999999999996e-06
32768,3.2639999999999996e-06
32768,3.2319999999999997e-06
32768,3.328e-06
32768,3.2319999999999997e-06
32768,3.2960000000000003e-06
32768,3.136e-06
32768,3.104e-06
32768,3.2e-06
32768,3.2e-06
32768,3.2319999999999997e-06
32768,3.263e-06
32768,3.2e-06
32768,2.72e-06
32768,3.104e-06
32768,3.072e-06
32768,3.2e-06
32768,3.136e-06
32768,3.2639999999999996e-06
32768,3.2319999999999997e-06
32768,3.2960000000000003e-06
32768,2.72e-06
32768,2.72e-06
32768,3.168e-06
32768,3.136e-06
32768,3.168e-06
32768,3.2e-06
32768,3.2639999999999996e-06
32768,3.2960000000000003e-06
32768,3.2319999999999997e-06
32768,2.784e-06
32768,2.752e-06
32768,2.752e-06
32768,3.168e-06
32768,3.136e-06
32768,3.2960000000000003e-06
32768,3.2e-06
32768,3.2960000000000003e-06
32768,3.328e-06
32768,3.2960000000000003e-06
32768,2.752e-06
32768,2.784e-06
32768,2.72e-06
32768,2.752e-06
32768,3.136e-06
32768,3.136e-06
32768,3.2e-06
32768,3.2e-06
32768,3.2639999999999996e-06
32768,3.2960000000000003e-06
32768,3.2639999999999996e-06
32768,2.592e-06
32768,2.72e-06
32768,2.72e-06
32768,2.688e-06
32768,2.72e-06
32768,3.136e-06
32768,3.104e-06
32768,3.2e-06
32768,3.2e-06
32768,3.2319999999999997e-06
32768,3.2639999999999996e-06
32768,3.2639999999999996e-06
32768,2.496e-06
32768,2.56e-06
32768,2.752e-06
32768,2.72e-06
32768,2.752e-06
32768,2.72e-06
32768,3.168e-06
32768,3.104e-06
32768,3.2319999999999997e-06
32768,3.2e-06
32768,3.2960000000000003e-06
32768,3.2960000000000003e-06
32768,3.328e-06
32768,2.496e-06
32768,2.56e-06
32768,2.528e-06
32768,2.752e-06
32768,2.784e-06
32768,2.752e-06
32768,2.784e-06
32768,3.168e-06
32768,3.2e-06
32768,3.2e-06
32768,3.2639999999999996e-06
32768,3.2960000000000003e-06
32768,3.2639999999999996e-06
32768,3.2639999999999996e-06
32768,2.464e-06
32768,2.464e-06
32768,2.4319999999999998e-06
32768,2.496e-06
32768,2.72e-06
32768,2.688e-06
32768,2.688e-06
32768,2.6239999999999998e-06
32768,3.104e-06
32768,3.072e-06
32768,3.168e-06
32768,3.2e-06
32768,3.2319999999999997e-06
32768,3.2319999999999997e-06
32768,3.2e-06
65536,6.656e-06
65536,6.112e-06
65536,6.08e-06
65536,5.727999999999999e-06
65536,5.76e-06
65536,5.696e-06
65536,5.696e-06
65536,5.696e-06
65536,5.727999999999999e-06
65536,5.76e-06
65536,4.544e-06
65536,4.576e-06
65536,4.64e-06
65536,4.6719999999999995e-06
65536,4.64e-06
65536,4.415e-06
65536,4.608e-06
65536,4.544e-06
65536,4.6719999999999995e-06
65536,4.64e-06
65536,4.608e-06
65536,4.32e-06
65536,4.352e-06
65536,4.512e-06
65536,4.48e-06
