,compute_version,gpu_id,gpu_name,l1_cache_used,max_clock_rate,num_of_cores
0,3,0,Tesla-K40,0,745,2880
1,3,1,GTX-680,0,1058,1536
2,3,2,Titan,0,876,2688
3,3,3,Tesla-K20,0,706,2496
4,3,4,Quadro,0,771,2304
5,5,5,TitanX,0,1076,3072
6,3,6,TitanBlack,0,1088,3072
7,5,7,GTX-980,0,1216,2048
8,5,8,GTX-970,0,1076,3072
9,5,9,GTX-750,0,1110,512
