Type,Training error,Test error,Mean absolute error,Mean squared error,Accuracy
ordinary,0.9856,0.95667,0.29139,0.08654,46.54318175204158
ridge,0.98556,0.95653,0.29081,0.08684,44.249579863868185
lasso,0.98545,0.96258,0.26885,0.07475,38.05563224813689
elastic_net,0.98531,0.9565,0.28749,0.0869,40.12069851131567
support_vector_regression,0.98287,0.97884,0.1802,0.04227,-21.391869205796795
random_forest_regressor,0.99676,0.99067,0.06234,0.01864,0.9683248799480902
