Type,Training error,Test error,Mean absolute error,Mean squared error,Accuracy
ordinary,0.99651,-0.56705,0.03351,0.0015,0.303473063165996
ridge,0.99649,-0.5412,0.03314,0.00148,0.35615716093206606
lasso,0.68949,-0.87668,0.03504,0.0018,3.2147503506265798
elastic_net,0.65566,-0.84052,0.03472,0.00176,3.3003069403304424
support_vector_regression,-1.48483,-0.18526,0.0282,0.00114,9.20680485281025
random_forest_regressor,0.99972,-0.4922,0.03271,0.00143,0.35936111999073583
