Type,Training error,Test error,Mean absolute error,Mean squared error,Accuracy
ordinary,0.99156,0.99034,0.00388,2e-05,1.5022554877520917
ridge,0.99156,0.99036,0.00388,2e-05,1.5014711985276064
lasso,0.9198,0.91509,0.01148,0.00019,2.264225661369979
elastic_net,0.98404,0.99008,0.00366,2e-05,1.471553159493143
support_vector_regression,-0.14793,-0.04014,0.0409,0.00227,8.83961675164023
random_forest_regressor,0.99962,0.98158,0.00486,4e-05,0.92910679314414
