Type,Training error,Test error,Mean absolute error,Mean squared error,Accuracy
ordinary,0.84541,-0.09367,0.00967,0.00019,-1.381427852655251
ridge,0.79889,-0.04101,0.00915,0.00018,-1.2024149166384768
lasso,0.0,-0.38024,0.00942,0.00024,3.5538909360602373
elastic_net,0.59436,-0.09122,0.00817,0.00019,1.5216523609624504
support_vector_regression,-4.26383,-0.00106,0.00985,0.00017,12.28072507638583
random_forest_regressor,0.98997,0.27159,0.00684,0.00012,0.6136704772685194
