256,"GeForce GTX 970 (0)","1","7","matMul(float*, float*, float*, int)",92.081895,0.926184,1.941737,1.934889,5281.000000,100.000000,100.000000,99.943193,0.000084,43.048352,0.000000,0.000000,0.000000,0.000000,10.000000,16.000000,0,0,0,0,10485760,32768,22,2790,55.000000,0.000000,56.964702,607.623487,341.788212,2.373529,1.631801,206.942080,303.811744,0.000000,0.000000,0.000000,0.000000,16.666667,25.000000,4194304,"Low (1)","Mid (4)","Low (1)","Idle (0)","Idle (0)","Mid (5)",0,0,0,0,33554432,0,16777216,0,0,10815488,10817155,"Low (1)","Mid (4)",0.000000,"Idle (0)",16777216,0,244121600,0,4325376,33619968,47054848,0,9626612,141312,141312,4210688,1058816,0,0.000000,1.454431,28.833228,13.817280,2.292216,0.000000,50.745196,0.037012,1.236433,0.388453,1.195751,0,5,4718663,32774,0,0.000000,61.137072,116.363636,100.000000,293.724244,2.373529,4055040,32768,341.793354,2.373964,0.000000,379.764648,"High (8)",0.000000,0,"Low (1)",0.000000,2.411295,2.177108,0.000000
512,"GeForce GTX 970 (0)","1","7","matMul(float*, float*, float*, int)",98.179980,0.968209,1.944091,1.947219,10529.000000,100.000000,100.000000,99.971507,0.000014,43.330920,0.000000,0.000000,0.000000,0.000000,10.000000,16.000000,0,0,0,0,83886080,131072,33480,39345,55.000000,0.000000,70.972294,378.518901,425.833764,1.478589,386.743554,454.492986,378.518901,0.000000,0.000000,0.000000,0.000000,16.666667,25.000000,33554432,"Low (1)","Mid (4)","Low (1)","Idle (0)","Idle (0)","Mid (5)",0,0,0,0,268435456,0,134217728,0,0,86253568,86254771,"Low (1)","Mid (4)",0.000000,"Idle (0)",134217728,0,1949564928,0,34078720,268697600,372768768,0,76776122,1089536,1089536,33619968,8429568,0,0.000000,1.119087,29.790739,8.903090,2.446643,0.000000,55.302185,0.010901,1.181021,0.237600,1.008735,0,5,37748807,112390,0,0.000000,54.914197,99.910280,93.750000,425.833764,1.478589,37748736,131072,425.834565,1.267843,0.000000,59.143555,"High (8)",0.000000,0,"Low (1)",0.000000,2.339778,2.328182,0.000000
768,"GeForce GTX 970 (0)","1","7","matMul(float*, float*, float*, int)",99.399462,0.979278,1.927613,1.931133,15777.000000,100.000000,100.000000,99.980985,0.000004,42.975169,0.000000,0.000000,0.000000,0.000000,10.000000,16.000000,0,0,0,0,283115520,294912,4037762,97930,55.000000,0.000000,70.581958,250.958074,423.491750,0.980305,13.421760,333.337730,376.437111,0.000000,0.000000,0.000000,0.000000,16.666667,25.000000,113246208,"Low (1)","Mid (4)","Low (1)","Idle (0)","Idle (0)","Mid (5)",0,0,0,0,905969664,0,452984832,0,0,290801664,290802828,"Low (1)","Mid (4)",0.000000,"Idle (0)",452984832,0,6575947776,0,114425856,906559488,1253965824,0,258859685,3631104,3631104,113393664,28403712,0,0.000000,1.051798,29.945920,7.859587,2.581297,0.000000,56.236165,0.001479,1.177160,0.163105,0.983489,0,5,127402343,294918,0,0.000000,54.942768,97.092916,82.328627,423.491750,0.980305,127401984,294912,423.492944,0.980325,0.000000,17.426758,"High (8)",0.000000,0,"Low (1)",0.000000,2.318555,2.328072,0.000000
1024,"GeForce GTX 970 (0)","1","7","matMul(float*, float*, float*, int)",99.542837,0.985879,1.955160,1.955410,21025.000000,100.000000,100.000000,99.985731,0.000002,43.516573,0.000000,0.000000,0.000000,0.000000,10.000000,16.000000,0,0,0,0,671088640,524288,14289070,158655,55.000000,0.000000,71.760941,191.362508,430.565645,765.450034,20.372810,231.633139,382.725017,0.000000,0.000000,0.000000,0.000000,16.666667,25.000000,268435456,"Low (1)","Mid (4)","Low (1)","Idle (0)","Idle (0)","Mid (5)",0,0,0,0,2147483648,0,1073741824,0,0,688947200,688948385,"Low (1)","Mid (4)",0.000000,"Idle (0)",1073741824,0,15582887936,0,270532608,2148532224,2967470080,0,613286575,8552448,8552448,268697600,67272704,0,0.000000,1.085877,29.914917,7.725859,2.431769,0.000000,56.531912,0.000644,1.165106,0.119480,1.024437,0,5,301989959,524294,0,0.000000,54.957065,95.220400,77.401352,430.565645,765.450034,301989888,524288,430.565746,765.458795,0.000000,7.474609,"High (8)",0.000000,0,"Low (1)",0.000000,2.368375,2.368863,0.000000
1280,"GeForce GTX 970 (0)","1","7","matMul(float*, float*, float*, int)",99.592022,0.988283,1.881196,1.880874,26273.000000,100.000000,100.000000,99.988581,0.000001,41.858438,0.000000,0.000000,0.000000,0.000000,10.000000,16.000000,0,0,0,0,1310720000,819200,31014943,235199,55.000000,0.000000,67.867483,144.783964,407.204899,579.135857,21.412212,166.274627,361.959911,0.000000,0.000000,0.000000,0.000000,16.666667,25.000000,524288000,"Low (1)","Mid (4)","Low (1)","Idle (0)","Idle (0)","Mid (5)",0,0,0,0,4194304000,0,2097152000,0,0,1345177600,1345178799,"Low (2)","Mid (4)",0.000000,"Idle (0)",2097152000,0,30430003200,0,527564800,4195942400,5790105600,0,1197466294,16640000,16640000,524697600,131328000,0,0.000000,1.023049,30.012123,7.506671,2.716675,0.000000,56.512408,0.000657,1.147859,0.094667,0.985890,0,5,589824071,819206,0,0.000000,54.965646,94.783670,75.774902,407.204899,579.135857,589824000,819200,407.204948,579.140099,0.000000,3.619141,"High (8)",0.000000,0,"Low (1)",0.000000,2.280802,2.280880,0.000000
1536,"GeForce GTX 970 (0)","1","7","matMul(float*, float*, float*, int)",99.778947,0.990057,1.886887,1.896541,31521.000000,100.000000,100.000000,99.990483,0.000001,42.207510,0.000000,0.000000,0.000000,0.000000,10.000000,16.000000,0,0,0,0,2264924160,1179648,55494096,329831,55.000000,0.000000,67.587517,120.155585,405.525101,480.622341,22.079963,134.382585,360.466756,0.000000,0.000000,0.000000,0.000000,16.666667,25.000000,905969664,"Low (1)","Mid (4)","Low (1)","Idle (0)","Idle (0)","Mid (5)",0,0,0,0,7247757312,0,3623878656,0,0,2323980288,2323982458,"Low (2)","Mid (4)",0.000000,"Idle (0)",3623878656,0,52576911360,0,910688256,7250116608,9998696448,0,2068809023,28680192,28680192,906559488,226861056,0,0.000000,1.034663,29.880642,7.451618,2.632665,0.000000,56.755262,0.000171,1.150009,0.076191,1.018779,0,5,1019215975,1179654,0,0.000000,54.971369,94.603073,74.938541,405.525101,480.622341,1019215872,1179648,405.525142,480.624786,0.000000,2.085938,"High (8)",0.000000,0,"Low (1)",0.000000,2.319362,2.302341,0.000000
1792,"GeForce GTX 970 (0)","1","7","matMul(float*, float*, float*, int)",99.665647,0.990404,1.880208,1.909034,36769.000000,100.000000,100.000000,99.991841,0.000000,42.485848,0.000000,0.000000,0.000000,0.000000,10.000000,16.000000,0,0,0,0,3596615680,1605632,90001159,445214,55.000000,0.000000,65.098397,99.197556,390.590382,396.790229,21.720164,110.023071,347.191451,0.000000,0.000000,0.000000,0.000000,16.666667,25.000000,1438646272,"Low (1)","Mid (4)","Low (1)","Idle (0)","Idle (0)","Mid (5)",0,0,0,0,11509170176,0,5754585088,0,0,3689842688,3689845184,"Low (2)","Mid (4)",0.000000,"Idle (0)",5754585088,0,83483230208,0,1445068800,11512381440,15870066688,0,3284723328,45459456,45459456,1439449088,360163328,0,0.000000,1.039563,29.501478,7.358222,2.529809,0.000000,57.324264,0.000232,1.144572,0.066546,1.035314,0,5,1618478463,1605638,0,0.000000,54.975457,94.441449,74.007992,390.590382,396.790229,1618477056,1605632,390.590722,396.791712,0.000000,1.264648,"High (8)",0.000000,0,"Low (1)",0.000000,2.344601,2.273438,0.000000
2048,"GeForce GTX 970 (0)","1","7","matMul(float*, float*, float*, int)",99.820489,0.991936,1.966929,1.959200,42017.000000,100.000000,100.000000,99.992860,0.000000,43.602542,0.000000,0.000000,0.000000,0.000000,10.000000,16.000000,0,0,0,0,5368709120,2097152,134998265,580941,55.000000,0.000000,69.703381,92.937841,418.220287,371.751366,23.369579,102.980428,371.751366,0.000000,0.000000,0.000000,0.000000,16.666667,25.000000,2147483648,"Low (1)","Mid (4)","Low (1)","Idle (0)","Idle (0)","Mid (5)",0,0,0,0,17179869184,0,8589934592,0,0,5507252224,5507254345,"Low (2)","Mid (4)",0.000000,"Idle (0)",8589934592,0,124608577536,0,2155872256,17184063488,23681040384,0,4902618402,67764224,67764224,2148532224,537526272,0,0.000000,1.103805,29.977051,7.764038,2.328150,0.000000,56.514503,0.000078,1.165669,0.060810,1.085897,0,5,2415919207,2097158,0,0.000000,54.978524,94.411620,73.637486,418.220287,371.751366,2415919104,2097152,418.220305,371.752430,0.000000,929.000000,"High (9)",0.000000,0,"Low (1)",0.000000,2.412002,2.394373,0.000000
2304,"GeForce GTX 970 (0)","1","7","matMul(float*, float*, float*, int)",99.894781,0.988017,1.872626,1.834981,47265.000000,100.000000,100.000000,99.993653,0.000000,40.838183,0.000000,0.000000,0.000000,0.000000,10.000000,16.000000,0,0,0,0,7644119040,2654208,193513211,747722,55.000000,0.000000,65.097895,77.153060,390.587369,308.612242,21.972975,86.939743,347.188772,0.000000,0.000000,0.000000,0.000000,16.666667,25.000000,3057647616,"Low (1)","Mid (4)","Low (1)","Idle (0)","Idle (0)","Mid (5)",0,0,0,0,24461180928,0,12230590464,0,0,7840696320,7840698505,"Low (2)","Mid (4)",0.000000,"Idle (0)",12230590464,0,177412571136,0,3068264448,24466489344,33708441600,0,6979904842,96380928,96380928,3058974720,765241344,0,0.000000,1.014331,29.445654,7.213214,2.671630,0.000000,57.474581,0.000114,1.149330,0.051398,0.979749,0,5,3439853639,2654214,0,0.000000,54.980909,94.372314,62.408071,390.587369,308.612242,3439853568,2654208,390.587377,308.612939,0.000000,609.000000,"High (8)",0.000000,0,"Low (1)",0.000000,2.228419,2.264394,0.000000
2560,"GeForce GTX 970 (0)","1","7","matMul(float*, float*, float*, int)",99.919429,0.993348,1.849546,1.838920,52513.000000,100.000000,100.000000,99.994287,0.000000,40.925978,0.000000,0.000000,0.000000,0.000000,10.000000,16.000000,0,0,0,0,10485760000,3276800,267149271,936626,55.000000,0.000000,64.464711,68.762358,386.788263,275.049432,21.898525,78.618911,343.811790,0.000000,0.000000,0.000000,0.000000,16.666667,25.000000,4194304000,"Low (1)","Mid (4)","Low (1)","Idle (0)","Idle (0)","Mid (5)",0,0,0,0,33554432000,0,16777216000,0,0,10754662400,10754664564,"Low (2)","Mid (4)",0.000000,"Idle (0)",16777216000,0,243354828800,0,4207411200,33560985600,46229094400,0,9573991739,132096000,132096000,4195942400,1049600000,0,0.000000,1.026717,30.041709,6.820688,2.774017,0.000000,57.106762,0.000037,1.181115,0.047570,1.001384,0,5,4718593063,3276806,0,0.000000,54.982818,94.324091,72.274628,386.788263,275.049432,4718592000,3276800,386.788351,275.049935,0.000000,440.000000,"High (8)",0.000000,0,"Low (1)",0.000000,2.235322,2.261869,0.000000
