256,"GeForce GTX 970 (0)","1","7","matMul(float*, float*, float*, int)",3153920,3153920,1318912,1318912,0,988,39,3554,28,16,0,0,1310720,942080,8192,8192,1310720,1310720,8192,8192,1310880,1310919,8197,8193,0,0,5,0,3797553,0,0,33554432,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,2048,3965662,8435903,1190241,10815488,346095616,345899008,0,0,0,0,0,0,0,0,0,1048576,2048,0,141312,3395387,201133462,102935178,1024,0,0,0,0
512,"GeForce GTX 970 (0)","1","7","matMul(float*, float*, float*, int)",25198592,25198592,10518528,10518528,37016,27668,28402,21810,25230,24596,32428,32368,10485760,10485760,32768,32768,10453420,10453496,28672,28672,10485792,10485799,32773,23425,0,0,1,4,31839276,0,0,268435456,0,0,0,0,262144,0,0,0,0,0,0,0,0,0,0,8192,46138542,67297469,9478623,86253568,2760114176,2759327744,0,0,0,0,0,0,0,0,0,8388608,8192,0,1089536,30969818,1942730304,964468951,4096,0,0,0,0
768,"GeForce GTX 970 (0)","1","7","matMul(float*, float*, float*, int)",84999160,85017608,35451624,35474712,1868181,1096679,57188,42496,50124,50037,1636838,1637564,35389440,35389440,73728,73728,33746062,33745017,64439,64458,35389472,35389479,73733,73729,0,0,1,4,104612644,0,0,905969664,0,0,0,0,589824,0,0,0,0,0,0,0,0,0,0,18432,165754236,226916546,31943156,290801664,9305653248,9303883776,0,0,0,0,0,0,0,0,0,28311552,18432,0,3631104,103739796,6530931246,3324305265,9216,0,0,0,0
1024,"GeForce GTX 970 (0)","1","7","matMul(float*, float*, float*, int)",201457664,201457664,84017152,84017152,7667920,5758794,90189,67294,78907,78944,6714036,6713391,83886080,83886080,131072,131072,77068083,77068057,113044,113018,83886144,83886143,131077,93633,0,0,5,0,236941172,0,0,2147483648,0,0,0,0,1048576,0,0,0,0,0,0,0,0,0,0,32768,320685057,537624767,75661804,688947200,22046310400,22043164672,0,0,0,0,0,0,0,0,0,67108864,32768,0,8552448,235968880,14923393680,7390462261,16384,0,0,0,0
1280,"GeForce GTX 970 (0)","1","7","matMul(float*, float*, float*, int)",393359328,393482272,164038392,164051208,18100388,13677577,132663,99502,116101,116077,15833127,15833667,163840000,163840000,204800,204800,147973272,147973817,170081,170146,163840048,163840047,204804,146305,0,0,0,5,502360483,0,0,4194304000,0,0,0,0,1638400,0,0,0,0,0,0,0,0,0,0,51200,768278450,1049754096,147712790,1345177600,43045683200,43040768000,0,0,0,0,0,0,0,0,0,131072000,51200,0,16640000,501569846,31801885484,15586727943,25600,0,0,0,0
1536,"GeForce GTX 970 (0)","1","7","matMul(float*, float*, float*, int)",679735280,679809040,283395056,283425808,31680103,23751169,184100,138017,161207,161130,27720964,27720856,283115520,283115520,294912,294912,255424825,255425599,244503,244617,283115552,283115559,294916,294914,0,0,4,1,849132906,0,0,7247757312,0,0,0,0,2359296,0,0,0,0,0,0,0,0,0,0,73728,1243963608,1813635262,255173092,2323980288,74367369216,74360291328,0,0,0,0,0,0,0,0,0,226492416,73728,0,28680192,847432920,53657748848,27004556452,36864,0,0,0,0
1792,"GeForce GTX 970 (0)","1","7","matMul(float*, float*, float*, int)",1079343088,1079429136,449978368,449978368,51174770,38570913,245179,183683,214459,214519,44777148,44776822,449576960,449576960,401408,401408,404641452,404640696,336723,336904,449577277,321126707,401412,401410,0,0,0,5,1414919575,0,0,11509170176,0,0,0,0,3211264,0,0,0,0,0,0,0,0,0,0,100352,2289752172,2879600832,405121528,3689842688,118074966016,118065332224,0,0,0,0,0,0,0,0,0,359661568,100352,0,45459456,1412798460,89749616728,43437874667,50176,0,0,0,0
2048,"GeForce GTX 970 (0)","1","7","matMul(float*, float*, float*, int)",1611087856,1611186192,671612928,671612928,76573544,57188096,314980,236310,275598,275596,67006290,67006345,671088640,671088640,524288,524288,604044441,604044132,438546,438538,671088925,479396131,524293,524289,0,0,5,0,1965897767,0,0,17179869184,0,0,0,0,4194304,0,0,0,0,0,0,0,0,0,0,131072,2905879005,4297982146,604635634,5507252224,176232071168,176219488256,0,0,0,0,0,0,0,0,0,536870912,131072,0,67764224,1963647553,124784137072,63175715231,65536,0,0,0,0
2304,"GeForce GTX 970 (0)","1","7","matMul(float*, float*, float*, int)",2293871608,2293926920,956155376,956201488,109982770,82514450,394814,296156,345495,345657,96230157,96232719,955514880,955514880,663552,663552,859350799,859349141,534175,534258,955514928,955514935,663556,663554,0,0,4,1,2906149688,0,0,24461180928,0,0,0,0,5308416,0,0,0,0,0,0,0,0,0,0,165888,4786255176,6119111172,860793662,7840696320,250902282240,250886356992,0,0,0,0,0,0,0,0,0,764411904,165888,0,96380928,2903398429,184557286308,92603486341,82944,0,0,1,1
2560,"GeForce GTX 970 (0)","1","7","matMul(float*, float*, float*, int)",3146485744,3146608656,1311500776,1311577624,151253272,113628293,483841,362822,423330,423342,132347978,132359371,1310720000,1310720000,819200,819200,1178416094,1178407213,655598,655619,1310720032,1310720039,819201,819205,0,0,5,0,3787267853,0,0,33554432000,0,0,0,0,6553600,0,0,0,0,0,0,0,0,0,0,204800,5530348581,8393318905,1180672811,10754662400,344149196800,344129536000,0,0,0,0,0,0,0,0,0,1048576000,204800,0,132096000,3783419893,239337961822,119952914659,102400,0,0,0,0
