256,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int)",5259264,5259264,2375680,2375680,0,0,6,0,4,2,0,0,0,0,0,0,1179648,1179648,1179648,1179648,8192,8192,8192,8192,1179648,1179648,1179648,1179648,8192,8192,8192,8192,1179648,1179648,1179656,1179664,8197,8192,8193,8192,0,0,0,0,4,0,1,0,5343380,0,0,33554432,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,2048,11384020,8435967,1190143,10815488,346095616,345899008,0,0,0,0,0,0,0,0,0,1048576,2048,0,141312,5259730,312238706,161462288,1024,0,0,0,0
512,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int)",42008576,42008576,18935280,18944528,145247,15640,17789,16418,8883,8906,8911,8900,72618,72629,72656,72596,9437184,9437184,9437184,9437184,32768,32768,32768,32768,9429464,9429464,9429372,9429432,30720,30720,30720,30720,9437184,9437184,9437192,9437200,32768,32769,32772,32769,0,0,0,0,0,1,0,4,42366064,0,0,268435456,0,0,0,0,262144,0,0,0,0,0,0,0,0,0,0,8192,92193120,67297536,9478400,86253568,2760114176,2759327744,0,0,0,0,0,0,0,0,0,8388608,8192,0,1089536,42255806,2578681440,1321398603,4096,0,0,0,0
768,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int)",141705216,141705216,63841520,63855376,3021724,2669020,56596,56168,28315,28281,28289,28241,1510392,1511332,1499435,1498733,31850496,31850496,31850496,31850496,73728,73728,73728,73728,30554331,30553579,30564121,30566630,59142,59152,59283,59279,31980228,31980224,31980240,31980232,73729,73728,73732,73729,0,0,0,0,1,0,0,4,154715508,0,0,905969664,0,0,0,0,589824,0,0,0,0,0,0,0,0,0,0,18432,360025840,226916496,31942912,290801664,9305653248,9303883776,0,0,0,0,0,0,0,0,0,28311552,18432,0,3631104,154556367,9422938504,4430988572,9216,0,0,0,0
1024,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int)",335806464,335806464,151257088,151257088,9078036,8956900,85425,84094,42714,42711,42703,42685,4539030,4539006,4539071,4539038,75497472,75497472,75497472,75497472,131072,131072,131072,131072,71275289,71275289,71275236,71275275,98318,98323,98320,98320,75821858,75821856,75821888,75821896,131073,131072,131077,131072,0,0,0,0,0,0,1,4,367724272,0,0,2147483648,0,0,0,0,1048576,0,0,0,0,0,0,0,0,0,0,32768,856392934,537624832,75661568,688947200,22046310400,22043164672,0,0,0,0,0,0,0,0,0,67108864,32768,0,8552448,367355363,22383210200,11517353586,16384,0,0,0,0
1280,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int)",655795216,655743984,295321600,295321600,17993987,17979764,123980,124967,61922,62058,61901,61805,8997043,8996944,8995329,8995774,147456000,147456000,147456000,147456000,204800,204800,204800,204800,139121812,139120903,139120825,139121123,152083,151884,151908,151963,148039946,148039896,148039960,148039960,204800,204805,204800,204801,0,0,0,0,0,5,0,0,734361620,0,0,4194304000,0,0,0,0,1638400,0,0,0,0,0,0,0,0,0,0,51200,1737139049,1049753747,147712256,1345177600,43045683200,43040768000,0,0,0,0,0,0,0,0,0,131072000,51200,0,16640000,733935923,43977960508,22921668610,25600,0,0,0,0
1536,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int)",1133051904,1133051904,510211600,510183920,30918634,31038723,172471,172637,86192,86279,86105,86088,15459050,15459584,15452432,15452870,254803968,254803968,254803968,254803968,294912,294912,294912,294912,240377400,240378262,240382156,240380733,220966,220987,221002,220988,255842056,255842040,255842056,255842048,294912,294913,294916,294913,0,0,0,0,0,0,0,5,1272652208,0,0,7247757312,0,0,0,0,2359296,0,0,0,0,0,0,0,0,0,0,73728,3020897888,1813635328,255172864,2323980288,74367369216,74360291328,0,0,0,0,0,0,0,0,0,226492416,73728,0,28680192,1272201775,76472939874,39232556679,36864,0,0,0,0
1792,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int)",1799110656,1799110656,810105920,809976768,50720886,48558860,248794,219551,124345,124449,124470,124307,25357907,25362979,25345333,25340827,404619264,404619264,404619264,404619264,401408,401408,401408,401408,381591790,381590357,381596550,381599870,294900,294829,294832,294913,406306076,406305972,406306016,406306016,401408,401408,401413,401409,0,0,0,0,0,0,1,4,2055748340,0,0,11509170176,0,0,0,0,3211264,0,0,0,0,0,0,0,0,0,0,100352,4895020419,2879600783,405121280,3689842688,118074966016,118065332224,0,0,0,0,0,0,0,0,0,359661568,100352,0,45459456,2055209773,124895177778,59532024471,50176,0,0,0,0
2048,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int)",2685403136,2685403136,1209008128,1209008128,73705712,75986566,301689,328497,150830,150859,150856,150859,36852966,36852770,36852545,36852387,603979776,603979776,603979776,603979776,524288,524288,524288,524288,569536426,569536514,569536854,569536722,382850,382839,382826,382854,606445236,606445152,606445192,606445208,524290,524288,524288,524292,0,0,0,0,1,0,4,0,2952011380,0,0,17179869184,0,0,0,0,4194304,0,0,0,0,0,0,0,0,0,0,131072,6916897926,4297982096,604635392,5507252224,176232071168,176219488256,0,0,0,0,0,0,0,0,0,536870912,131072,0,67764224,2951685984,174823902860,93415328768,65536,0,0,0,0
2304,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int)",3823386624,3823386624,1721295392,1721212384,107397916,103484318,395046,351763,197494,197552,197685,197678,53699113,53698803,53702972,53701019,859963392,859963392,859963392,859963392,663552,663552,663552,663552,810159990,810162093,810163252,810162096,449383,449402,449130,449237,863856200,863856016,863856128,863856128,663553,663556,663553,663552,0,0,0,0,4,0,1,0,4655290104,0,0,24461180928,0,0,0,0,5308416,0,0,0,0,0,0,0,0,0,0,165888,11901284185,6119110801,860793088,7840696320,250902282240,250886356992,0,0,0,0,0,0,0,0,0,764411904,165888,0,96380928,4653380433,272486307770,118053039322,82944,0,0,0,0
2560,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int)",5244620832,5244415968,2360957456,2360911344,142150589,150094575,429375,482912,214699,214676,214742,214764,71074560,71076029,71075638,71074613,1179648000,1179648000,1179648000,1179648000,819200,819200,819200,819200,1110074533,1110082428,1110060864,1110065494,586644,587182,587160,586446,1185097992,1185097752,1185097904,1185097944,819201,819200,819205,819200,0,0,0,0,1,0,0,4,6315007864,0,0,33554432000,0,0,0,0,6553600,0,0,0,0,0,0,0,0,0,0,204800,16699504182,8393318656,1180672256,10754662400,344149196800,344129536000,0,0,0,0,0,0,0,0,0,1048576000,204800,0,132096000,6313989646,327574949078,188793859441,102400,0,0,0,0
