256,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int)",99.056571,0.965159,1.354101,1.352631,1312.000000,100.000000,100.000000,99.847561,0.000286,28.762038,2.400000,2.000000,0.000000,0.000000,16.000000,16.000000,262144,1572864,0,0,2097152,32768,0,5,1055596,32774,5992,2,50.000000,0.000000,36.537571,584.601138,73.075142,2.283598,0.000000,49.230769,100.000000,100.000000,427.603762,146.149414,36.537571,73.075142,2.283598,73.564365,2.284016,0.000000,365.375000,0.000000,0.000000,438.450854,73.075142,50.000000,25.000000,524288,"Low (1)","Low (2)","Low (3)","Idle (0)","Idle (0)","Low (2)",0,0,0,0,33554432,0,16777216,0,0,2686976,2687744,"Low (1)","Low (1)","Low (2)","Low (3)",2.598069,31.354271,12.478777,0.000000,27.517268,25.271625,0.037586,0.318416,64.285714,"Max (10)",16777216,0,32768000,0,2097152,29425664,4784128,0,2286080,69632,69632,1458176,1058816,0,0.000000,0.000000,0,0.000000,1.365189,0,1048576,32768,6.543771,0.000000,0.071377,0.352611
512,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int)",99.868237,0.985561,1.345546,1.345302,2592.000000,100.000000,100.000000,99.922840,0.000031,28.597826,2.400000,2.000000,0.000000,0.000000,16.000000,16.000000,2097152,12582912,0,0,16777216,131072,0,5,8444980,131078,73663,43674,50.000000,0.000000,36.925004,295.400030,73.850008,1.153906,0.000000,49.612403,99.626017,93.750000,664.064100,393.716459,36.925004,73.850008,1.153906,74.346285,1.153959,0.000000,46.156250,0.000000,0.000000,443.100046,73.850008,50.000000,25.000000,4194304,"Low (1)","Low (2)","Low (3)","Idle (0)","Idle (0)","Low (2)",0,0,0,0,268435456,0,134217728,0,0,21233664,21234432,"Low (1)","Low (1)","Low (2)","Low (3)",2.569971,31.502477,13.071355,0.000000,27.644185,24.512453,0.008264,0.314595,64.285714,"Max (10)",134217728,0,256901120,0,16777216,235143168,35913728,0,18055680,540672,540672,11599872,8429568,0,0.000000,0.000000,0,0.000000,1.353838,0,8388608,131072,6.632948,0.000000,0.036848,0.339852
768,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int)",99.924653,0.962707,1.319117,1.302409,3872.000000,100.000000,100.000000,99.948347,0.000011,27.682848,2.400000,2.000000,0.000000,0.000000,16.000000,16.000000,7077888,42467328,0,0,56623104,294912,0,5,28552886,294918,6588066,109493,50.000000,0.000000,36.362115,193.931278,72.724229,775.725113,0.000000,49.740933,77.177185,75.961643,16.922846,288.006150,36.362115,72.724229,775.725113,73.344147,775.740895,0.000000,13.466797,0.000000,0.000000,436.345376,72.724229,50.000000,25.000000,14155776,"Low (1)","Low (2)","Low (3)","Idle (0)","Idle (0)","Low (2)",0,0,0,0,905969664,0,452984832,0,0,71368704,71369472,"Low (3)","Low (1)","Low (2)","Low (3)",2.472757,28.026436,28.919430,0.000008,25.744361,14.224750,0.002457,0.225079,64.285714,"Max (10)",452984832,0,861143040,0,56623104,793313280,118554624,0,60678656,1806336,1806336,39075840,28403712,0,0.000000,0.000000,0,0.000000,1.304365,0,28311552,294912,6.530502,0.000000,0.054064,0.330659
1024,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int)",99.974467,0.993809,1.316750,1.318156,5152.000000,100.000000,100.000000,99.961180,0.000004,28.015911,2.400000,2.000000,0.000000,0.000000,16.000000,16.000000,16777216,100663296,0,0,134217728,524288,0,5,67578976,524294,17344915,167046,50.000000,0.000000,36.400402,145.601608,72.800804,582.406433,0.000000,49.805447,74.819714,75.000000,18.816050,185.563402,36.400402,72.800804,582.406433,73.310789,582.413098,0.000000,5.687500,0.000000,0.000000,436.804825,72.800804,50.000000,25.000000,33554432,"Low (1)","Low (2)","Low (3)","Idle (0)","Idle (0)","Low (2)",0,0,0,0,2147483648,0,1073741824,0,0,168820736,168821393,"Low (3)","Low (1)","Low (2)","Low (3)",2.444893,27.699480,32.069321,0.000011,22.532688,14.672796,0.001026,0.219507,64.285714,"Max (10)",1073741824,0,2034237440,0,134217728,1880096768,277872640,0,143524241,4259840,4259840,92536832,67272704,0,0.000000,0.000000,0,0.000000,1.317557,0,67108864,524288,6.534223,0.000000,0.039312,0.320965
1280,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int)",99.990568,0.979692,1.332660,1.274602,6432.000000,100.000000,100.000000,99.968905,0.000002,27.089233,2.400000,2.000000,0.000000,0.000000,16.000000,16.000000,32768000,196608000,0,0,262144000,819200,0,5,131901755,819206,33911957,244043,50.000000,0.000000,36.202500,115.847999,72.404999,463.391994,0.000000,49.844237,74.838627,75.000000,18.733179,138.046353,36.202500,72.404999,463.391994,72.863361,463.395389,0.000000,2.895508,0.000000,0.000000,434.429996,72.404999,50.000000,25.000000,65536000,"Low (1)","Low (2)","Low (3)","Idle (0)","Idle (0)","Low (2)",0,0,0,0,4194304000,0,2097152000,0,0,329318400,329319168,"Low (3)","Low (1)","Low (2)","Low (3)",2.426749,27.191367,29.988050,0.000019,25.474492,14.356016,0.000650,0.219648,64.285714,"High (9)",2097152000,0,3964928000,0,262144000,3671654400,539033600,0,279962112,8294400,8294400,180633600,131328000,0,0.000000,0.000000,0,0.000000,1.273397,0,131072000,819200,6.477559,0.000000,0.022248,0.320761
1536,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int)",99.950084,0.993983,1.233757,1.267840,7712.000000,100.000000,100.000000,99.974066,0.000001,26.944873,2.400000,2.000000,0.000000,0.000000,16.000000,16.000000,56623104,339738624,0,0,452984832,1179648,0,5,227951790,1179654,58497108,331077,50.000000,0.000000,35.219590,93.918907,70.439180,375.675629,0.000000,49.870130,74.864383,75.000000,18.192611,105.436164,35.219590,70.439180,375.675629,70.893046,375.677540,0.000000,1.629883,0.000000,0.000000,422.635083,70.439180,50.000000,25.000000,113246208,"Low (1)","Low (2)","Low (3)","Idle (0)","Idle (0)","Low (2)",0,0,0,0,7247757312,0,3623878656,0,0,568590336,568590995,"Low (3)","Low (1)","Low (2)","Low (3)",2.283736,25.193073,38.433084,0.000037,21.193690,12.354278,0.000287,0.207140,64.285714,"High (9)",3623878656,0,6841958400,0,452984832,6344146944,927203328,0,483361171,14303232,14303232,312016896,226861056,0,0.000000,0.000000,0,0.000000,1.264675,0,226492416,1179648,6.141646,0.000000,0.033342,0.301331
1792,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int)",99.980474,0.992403,1.255246,1.255603,8992.000000,100.000000,100.000000,99.977758,0.000001,26.684349,2.400000,2.000000,0.000000,0.000000,16.000000,16.000000,89915392,539492352,0,0,719323136,1605632,0,5,362104254,1605638,92790382,437651,50.000000,0.000000,34.807096,79.559075,69.614192,318.236304,0.000000,49.888641,74.883599,75.000000,17.960016,86.742439,34.807096,69.614192,318.236304,70.086985,318.237494,0.000000,1.014648,0.000000,0.000000,417.685150,69.614192,50.000000,25.000000,179830784,"Low (1)","Low (2)","Low (3)","Idle (0)","Idle (0)","Low (2)",0,0,0,0,11509170176,0,5754585088,0,0,902365184,902365952,"Low (3)","Low (1)","Low (2)","Low (3)",2.254775,25.332286,39.474183,0.000002,20.700355,11.696627,0.000182,0.202462,64.285714,"High (9)",5754585088,0,10854072320,0,719323136,10073735168,1467547648,0,767091200,22679552,22679552,495337472,360163328,0,0.000000,0.000000,0,0.000000,1.252424,0,359661568,1605632,6.253201,0.000000,0.040396,0.298732
2048,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int)",99.982764,0.992729,1.317907,1.318341,10272.000000,100.000000,100.000000,99.980530,0.000001,28.017299,2.400000,2.000000,0.000000,0.000000,16.000000,16.000000,134217728,805306368,0,0,1073741824,2097152,0,5,540351058,2097158,138258809,560532,50.000000,0.000000,36.588208,73.176415,73.176416,292.705665,0.000000,49.902534,74.900675,75.000000,18.844910,78.235097,36.588208,73.176416,292.705665,73.650766,292.706502,0.000000,731.000000,0.000000,0.000000,439.058498,73.176416,50.000000,25.000000,268435456,"Low (1)","Low (2)","Low (3)","Idle (0)","Idle (0)","Low (2)",0,0,0,0,17179869184,0,8589934592,0,0,1346371584,1346372244,"Low (3)","Low (1)","Low (2)","Low (3)",2.424620,27.830353,31.060757,0.000004,22.760341,15.374067,0.000121,0.217015,64.285714,"Max (10)",8589934592,0,16190013440,0,1073741824,15036579840,2185232384,0,1144521108,33816576,33816576,739246080,537526272,0,0.000000,0.000000,0,0.000000,1.316815,0,536870912,2097152,6.566159,0.000000,0.017682,0.315039
2304,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int)",99.982911,0.987428,1.237837,1.237642,11552.000000,100.000000,100.000000,99.982687,0.000000,26.302043,2.400000,2.000000,0.000000,0.000000,16.000000,16.000000,191102976,1146617856,0,0,1528823808,2654208,0,5,769551998,2654214,197138588,699913,50.000000,0.000000,34.274479,60.932406,68.548958,243.729627,0.000000,49.913345,74.909016,75.000000,17.678485,64.271351,34.274479,68.548958,243.729627,69.009898,243.730178,0.000000,481.000000,0.000000,0.000000,411.293746,68.548958,50.000000,25.000000,382205952,"Low (1)","Low (2)","Low (3)","Idle (0)","Idle (0)","Low (2)",0,0,0,0,24461180928,0,12230590464,0,0,1916338176,1916338832,"Low (3)","Low (1)","Low (2)","Low (3)",2.203151,24.920329,44.604744,0.000070,17.575191,10.165927,0.000112,0.200753,64.285714,"High (9)",12230590464,0,23038525440,0,1528823808,21408841728,3105423360,0,1629020560,48107520,48107520,1052393472,765241344,0,0.000000,0.000000,0,0.000000,1.234905,0,764411904,2654208,6.172581,0.000000,0.034621,0.295102
2560,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int)",99.984474,0.982302,1.262793,1.261542,12832.000000,100.000000,100.000000,99.984414,0.000000,26.809731,2.400000,2.000000,0.000000,0.000000,16.000000,16.000000,262144000,1572864000,0,0,2097152000,3276800,0,5,1055763142,3276806,270299752,855397,50.000000,0.000000,35.204775,56.327639,70.409549,225.310557,0.000000,49.921997,74.914078,75.000000,18.150028,58.816520,35.204775,70.409549,225.310557,70.892150,225.310969,0.000000,360.000000,0.000000,0.000000,422.457295,70.409549,50.000000,25.000000,524288000,"Low (1)","Low (2)","Low (3)","Idle (0)","Idle (0)","Low (2)",0,0,0,0,33554432000,0,16777216000,0,0,2627993600,2627994257,"Low (3)","Low (1)","Low (2)","Low (3)",2.271787,25.736848,39.303075,0.000036,20.807444,11.341590,0.000063,0.207633,64.285714,"High (9)",16777216000,0,31588352000,0,2097152000,29366681600,4253286400,0,2233958801,65945600,65945600,1443430400,1049600000,0,0.000000,0.000000,0,0.000000,1.258696,0,1048576000,3276800,6.291034,0.000000,0.027222,0.304302
