"GeForce GTX 980 (0)","1","7","quicksort(int*, int)",0,75974,0,75860,5952,482,0,0,0,4,5856,5760,26378,27362,12655,9465,28522,25220,9320,12788,34714,31347,12655,9471,0,0,0,5,202010088,0,0,45666,0,0,0,0,8381,0,0,0,0,0,0,0,0,0,0,1,11775058,756843,91991,940822,940822,912264,14331,8188,0,0,0,0,0,0,0,45666,10407,0,83868,12624654,12624654,12624815,1,0,0,0,0
"GeForce GTX 980 (0)","1","7","quicksort(int*, int)",194164,0,0,194059,11908,5664,16,0,24,28,11638,11386,71008,78344,27423,17284,77231,72121,27423,17284,86050,87037,27423,17290,0,0,4,1,564952956,0,0,133077,0,0,0,0,16652,0,0,0,0,0,0,0,0,0,0,1,32961716,2058136,225677,2509487,2509488,2453132,28667,16380,0,0,0,0,0,0,0,133077,20728,0,209365,35262515,35262516,35244091,1,0,0,0,0
"GeForce GTX 980 (0)","1","7","quicksort(int*, int)",553619,0,0,553518,29760,28320,0,4,0,4,29280,28800,220651,242330,42701,47836,232824,230157,54850,35687,262440,259318,54854,35689,0,0,4,1,1761411396,0,0,430318,0,0,0,0,33782,0,0,0,0,0,0,0,0,0,0,1,103167337,6260131,616953,7494034,7494034,7381294,57339,32764,0,0,0,0,0,0,0,430318,41955,0,584254,110052306,110052306,110006555,1,0,0,0,0
"GeForce GTX 980 (0)","1","7","quicksort(int*, int)",1793708,0,1793608,0,107136,107816,0,12,4,8,105408,103688,817966,793431,103637,78574,817966,793431,78632,103579,934858,908381,103637,78580,0,0,0,5,6139755120,0,0,1545965,0,0,0,0,68164,0,0,0,0,0,0,0,0,0,0,1,360396643,21436555,1920925,25278402,25278402,25052602,114683,65532,0,0,0,0,0,0,0,1545965,84525,0,1855466,383759038,383759038,383827865,1,0,0,0,0
"GeForce GTX 980 (0)","1","7","quicksort(int*, int)",0,6263168,0,6263068,410818,390992,68,16,56,40,404260,397596,2964063,2934834,209465,154706,2928815,2970082,209465,154706,3346867,3346496,174247,189930,0,0,1,4,22552766084,0,0,5767929,0,0,0,0,135376,0,0,0,0,0,0,0,0,0,0,1,1324719515,77649928,6515729,90681383,90681384,90231962,229371,131068,0,0,0,0,0,0,0,5767929,168120,0,6384729,1408769777,1408769778,1408886352,1,0,0,0,0
"GeForce GTX 980 (0)","1","7","quicksort(int*, int)",23271696,0,0,23271596,1565188,1489666,2,197,4,10,1539804,1514554,11352354,11190693,425305,303244,11392776,11150271,425305,303244,12975762,12627084,425309,303246,0,0,0,5,"<OVERFLOW>",0,0,22281007,0,0,0,0,270434,0,0,0,0,0,0,0,0,0,0,1,5072830578,294989334,23776062,342541455,342541456,341643600,458747,262140,0,0,0,0,0,0,0,22281007,335951,0,23513991,5390607708,5390607708,5391794575,2,1,1,0,0
