256,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int)",9469952,9469952,8683520,8683520,0,8,12,4098,4,10,0,0,8650752,8650752,32768,32768,8650752,8650752,32768,32768,8650800,8650807,32769,32773,0,0,5,0,28927004,0,0,33554432,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,2048,71388135,8437248,1191424,10815488,346095616,345899008,0,0,0,0,0,0,0,0,0,1048576,2048,0,141312,20216352,1178426276,37923438,64,0,0,1,0
512,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int)",75628544,75628544,69337088,69337088,10036,10844,19321,19193,19296,19276,10040,9940,69206016,69206016,131072,131072,69195744,69195568,127018,127025,69206064,69206071,131072,131078,0,0,4,1,163669324,0,0,268435456,0,0,0,0,262144,0,0,0,0,0,0,0,0,0,0,8192,552416031,67298816,9479680,86253568,2760114176,2759327744,0,0,0,0,0,0,0,0,0,8388608,8192,0,1089536,158375335,9404866520,309528146,256,0,0,0,0
768,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int)",255098880,255098880,233865216,233865216,76952,60928,52829,51570,52779,52782,76552,76653,233570304,233570304,294912,294912,233508628,233508260,285696,285696,233570352,233570359,294917,294913,0,0,1,4,582413212,0,0,905969664,0,0,0,0,589824,0,0,0,0,0,0,0,0,0,0,18432,2048734574,226917888,31944192,290801664,9305653248,9303883776,0,0,0,0,0,0,0,0,0,28311552,18432,0,3631104,573643768,34313102026,1144635095,576,0,0,0,0
1024,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int)",604504064,604504064,554172416,554172416,1653976,1660193,87699,87518,87618,87716,1653109,1653185,553648128,553648128,524288,524288,551984968,551985010,507901,507901,553648992,553648983,524289,524293,0,0,1,4,1304109840,0,0,2147483648,0,0,0,0,1048576,0,0,0,0,0,0,0,0,0,0,32768,4561301346,537626112,75662848,688947200,22046310400,22043164672,0,0,0,0,0,0,0,0,0,67108864,32768,0,8552448,1292460000,77790083604,2578400462,1024,0,0,0,0
1280,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int)",1180467200,1180467200,1082163200,1082163200,4080692,4110574,124837,124613,124685,124646,4079628,4079382,1081344000,1081344000,819200,819200,1077251425,1077252453,793485,793507,1081344048,1081344055,819201,819205,0,0,5,0,2713896572,0,0,4194304000,0,0,0,0,1638400,0,0,0,0,0,0,0,0,0,0,51200,9557685075,1049755136,147713536,1345177600,43045683200,43040768000,0,0,0,0,0,0,0,0,0,131072000,51200,0,16640000,2687105430,161814522978,5355614021,1600,0,0,0,0
1536,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int)",2039611392,2039611392,1869742080,1869742080,7251510,7256400,170828,171041,170923,171209,7251102,7257442,1868562432,1868562432,1179648,1179648,1861315086,1861306821,1141816,1141730,1868563272,1868563332,1179653,1179649,0,0,1,4,4539332840,0,0,7247757312,0,0,0,0,2359296,0,0,0,0,0,0,0,0,0,0,73728,16021341810,1813636608,255174144,2323980288,74367369216,74360291328,0,0,0,0,0,0,0,0,0,226492416,73728,0,28680192,4520979513,272253586812,9014956386,2304,0,0,0,0
1792,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int)",3238559744,3238559744,2968813568,2968813568,11632242,11743670,228673,228374,228320,228607,11633253,11646821,2967207936,2967207936,1605632,1605632,2955572811,2955552134,1551129,1551108,2967208056,2967208055,1605636,1605634,0,0,4,1,7392658456,0,0,11509170176,0,0,0,0,3211264,0,0,0,0,0,0,0,0,0,0,100352,26167712636,2879602176,405122560,3689842688,118074966016,118065332224,0,0,0,0,0,0,0,0,0,359661568,100352,0,45459456,7354652550,442587463502,14669154044,3136,0,0,0,0
2048,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int)",4833935360,4833935360,4431282176,4431282176,17867617,17705881,301574,301688,300266,300177,17797287,17798557,4429185024,4429185024,2097152,2097152,4411476645,4411475106,2017323,2017292,4429185072,4429185079,2097152,2097158,0,0,0,5,10659567396,0,0,17179869184,0,0,0,0,4194304,0,0,0,0,0,0,0,0,0,0,131072,37633906412,4297983488,604636672,5507252224,176232071168,176219488256,0,0,0,0,0,0,0,0,0,536870912,131072,0,67764224,10628008813,643115517200,21245224529,4096,0,0,0,0
2304,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int)",6882361344,6882361344,6309052416,6309052416,27019035,27811833,402710,418679,403612,402784,27217971,27015287,6306398208,6306398208,2654208,2654208,6279431501,6279615645,2517092,2518162,6306398808,6306398799,2654213,2654209,0,0,5,0,15622034344,0,0,24461180928,0,0,0,0,5308416,0,0,0,0,0,0,0,0,0,0,165888,54374561657,6119112192,860794368,7840696320,250902282240,250886356992,0,0,0,0,0,0,0,0,0,764411904,165888,0,96380928,15574720489,937487753982,30645112951,5184,0,0,0,0
2560,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int)",9440460800,9440460800,8654028800,8654028800,39045402,39263298,518837,520206,519833,518843,39154074,39130970,8650752000,8650752000,3276800,3276800,8611142230,8611217912,3094073,3095256,8650752512,8650752495,3276805,3276801,0,0,1,4,20941621204,0,0,33554432000,0,0,0,0,6553600,0,0,0,0,0,0,0,0,0,0,204800,74004551607,8393319936,1180673536,10754662400,344149196800,344129536000,0,0,0,0,0,0,0,0,0,1048576000,204800,0,132096000,20893232542,1261586612820,41788684847,6400,0,0,0,0
2816,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int)",12564856832,12564856832,11518115840,11518115840,70932825,69675927,822938,820405,823046,824555,70001317,71034141,11514150912,11514150912,3964928,3964928,11444513289,11443347281,3559426,3557935,11514151432,11514151423,3964929,3964933,0,0,1,4,28438259300,0,0,44660948992,0,0,0,0,7929856,0,0,0,0,0,0,0,0,0,0,247808,100671739375,11170938368,1571352064,14313637888,458036412416,458012622848,0,0,0,0,0,0,0,0,0,1395654656,247808,0,175695872,28371367505,1701503974206,56678111010,7744,0,0,0,0
3072,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int)",16312172544,16312172544,14953218048,14953218048,137378057,133299296,1194897,1197349,1189550,1193569,135900484,135804398,14948499456,14948499456,4718592,4718592,14812557954,14812856512,4034310,4036385,14948500744,14948500652,4718596,4718594,0,0,4,1,36083380188,0,0,57982058496,0,0,0,0,9437184,0,0,0,0,0,0,0,0,0,0,294912,127516627181,14502299136,2039907840,18582110208,594627526656,594599215104,0,0,0,0,0,0,0,0,0,1811939328,294912,0,227966976,36022319075,2149603278346,72076949404,9216,0,0,0,0
