3168,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",99.947613,0.842785,1.797459,1.802690,10336.000000,100.000000,100.000000,99.980650,0.000001,32.392093,1.200000,1.000000,0.000000,0.000000,8.000000,6.000000,82798848,1490379264,0,0,662390784,1881792,170544566,1281566,50.000000,0.000000,105.655396,409.814868,105.655396,614.722302,54.405810,418.647333,105.655396,0.000000,0.000000,1901.797125,105.655396,100.000000,66.666667,331195392,"Low (1)","Low (1)","Mid (4)","Idle (0)","Idle (0)","Low (3)",0,0,0,0,63589515264,0,31794757632,0,0,3241700352,3241702944,"Low (3)","Low (1)",131.578947,"High (9)",31794757632,0,22792264704,0,1324781568,45052609536,2749925376,0,2329973856,42026688,42026688,1741284864,1491947424,0,0.000000,2.297316,43.206413,18.886219,0.000000,20.878169,12.004129,0.000470,1.250814,0.010240,1.466230,0,5,332520235,1881798,0,0.000000,49.905660,48.809041,70.850285,105.655396,614.722302,331195392,1881792,106.078037,614.724262,0.000000,1.671875,"Low (2)",0.000000,0,"Low (1)",0.000000,2.066359,13.830950,0.000000
3456,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",99.918994,0.842883,1.798825,1.802431,11272.000000,100.000000,100.000000,99.982257,0.000001,32.384441,1.200000,1.000000,0.000000,0.000000,8.000000,6.000000,107495425,1934917633,0,0,859963392,2239488,222638868,1520271,50.000000,0.000000,105.397265,374.745830,105.397265,562.118744,54.573318,381.592947,105.397265,0.000000,0.000000,1897.150764,105.397266,100.000000,66.666667,429981696,"Low (1)","Low (1)","Mid (4)","Idle (0)","Idle (0)","Low (3)",0,0,0,0,82556485632,0,41278242816,0,0,4207251456,4207254048,"Low (3)","Low (1)",131.578947,"High (9)",41278242816,0,29561241600,0,1719926784,58489454592,3559292928,0,3023683776,54494208,54494208,2260389888,1936783872,0,0.000000,2.297054,43.179501,18.970542,0.000000,20.778825,11.987806,0.000320,1.316603,0.009285,1.460064,0,5,431748055,2239494,0,0.000000,49.913495,48.562956,70.627929,105.397265,562.118744,429981696,2239488,105.830235,562.120251,0.000000,1.284180,"Low (2)",0.000000,0,"Low (1)",0.000000,2.065455,13.774929,0.000000
3744,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",99.948914,0.842963,1.798923,1.804420,12208.000000,100.000000,100.000000,99.983617,0.000000,32.417630,1.200000,1.000000,0.000000,0.000000,8.000000,6.000000,136670976,2460077568,0,0,1093367808,2628288,285852862,1779340,50.000000,0.000000,103.251747,338.877527,103.251747,508.316291,53.988799,344.128006,103.251747,0.000000,0.000000,1858.531441,103.251747,100.000000,66.666667,546683904,"Low (1)","Low (1)","Mid (4)","Idle (0)","Idle (0)","Low (3)",0,0,0,0,104963309568,0,52481654784,0,0,5347689984,5347692576,"Low (3)","Low (1)",131.578947,"High (9)",52481654784,0,37552978944,0,2186735616,74363028480,4513646592,0,3842996832,69211584,69211584,2873594880,2462267808,0,0.000000,2.293384,43.174136,18.991547,0.000000,20.965101,11.812486,0.000243,1.287994,0.008623,1.466486,0,5,548671049,2628294,0,0.000000,49.920128,48.050601,69.745211,103.251747,508.316291,546683904,2628288,103.627057,508.317451,0.000000,0.989258,"Low (2)",0.000000,0,"Low (1)",0.000000,2.071040,13.784275,0.000000
4032,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",99.946144,0.843095,1.812215,1.807191,13144.000000,100.000000,100.000000,99.984784,0.000000,32.465221,1.200000,1.000000,0.000000,0.000000,8.000000,6.000000,170698752,3072577536,0,0,1365590016,3048192,360205184,2059403,50.000000,0.000000,102.962884,313.791646,102.962884,470.687469,54.317568,318.003324,102.962884,0.000000,0.000000,1853.331914,102.962884,100.000000,66.666667,682795008,"Low (1)","Low (1)","Mid (4)","Idle (0)","Idle (0)","Low (3)",0,0,0,0,131096641536,0,65548320768,0,0,6677572608,6677575200,"Low (3)","Low (1)",131.578947,"High (9)",65548320768,0,46869000192,0,2731180032,92876378112,5624930304,0,4798363968,86365440,86365440,3588738048,3075117696,0,0.000000,2.314173,43.460195,18.301328,0.000000,21.041691,12.118183,0.000194,1.283529,0.007979,1.472728,0,5,685444423,3048198,0,0.000000,49.925816,47.664376,69.391397,102.962884,470.687469,682795008,3048192,103.362406,470.688396,0.000000,809.000000,"Low (2)",0.000000,0,"Low (1)",0.000000,2.073284,13.854929,0.000000
4320,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",99.963522,0.843131,1.806936,1.804499,14080.000000,100.000000,100.000000,99.985795,0.000000,32.414976,1.200000,1.000000,0.000000,0.000000,8.000000,6.000000,209952000,3779136000,0,0,1679616000,3499200,447757878,2360355,50.000000,0.000000,97.801766,278.191689,97.801766,417.287534,52.144670,281.477685,97.801766,0.000000,0.000000,1760.431785,97.801766,100.000000,66.666667,839808000,"Low (1)","Low (1)","Mid (4)","Idle (0)","Idle (0)","Low (3)",0,0,0,0,161243136000,0,80621568000,0,0,8211456000,8211458592,"Low (3)","Low (1)",131.578947,"High (9)",80621568000,0,57610828800,0,3359232000,114232550400,6905088000,0,5900236128,106142400,106142400,4413657600,3782052000,0,0.000000,2.297407,43.000839,18.862497,0.000000,21.194255,11.960259,0.000166,1.220765,0.007392,1.456421,0,5,843340199,3499206,0,0.000000,49.930748,47.036098,68.492284,97.801766,417.287534,839808000,3499200,98.213116,417.288249,0.000000,625.000000,"Low (2)",0.000000,0,"Low (1)",0.000000,2.064873,13.826321,0.000000
4608,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",99.973053,0.843179,1.803870,1.796972,15016.000000,100.000000,100.000000,99.986681,0.000000,32.278118,1.200000,1.000000,0.000000,0.000000,8.000000,6.000000,254803968,4586471424,0,0,2038431744,3981312,549373554,2681606,50.000000,0.000000,100.239193,267.304514,100.239193,400.956772,54.030518,270.063759,100.239193,0.000000,0.000000,1804.305474,100.239193,100.000000,66.666667,1019215872,"Low (1)","Low (1)","Mid (4)","Idle (0)","Idle (0)","Low (3)",0,0,0,0,195689447424,0,97844723712,0,0,9963896832,9963899424,"Low (3)","Low (1)",131.578947,"High (9)",97844723712,0,69879988224,0,4076863488,138634592256,8366063616,0,7159064256,128729088,128729088,5356191744,4589789184,0,0.000000,2.325637,43.304754,18.790070,0.000000,20.827240,12.026369,0.000140,1.261394,0.006925,1.457471,0,5,1022969077,3981318,0,0.000000,49.935065,46.518843,67.819076,100.239193,400.956772,1019215872,3981312,100.608318,400.957376,0.000000,528.000000,"Low (2)",0.000000,0,"Low (1)",0.000000,2.051519,13.834972,0.000000
4896,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",99.978673,0.843185,1.802376,1.802777,15952.000000,100.000000,100.000000,99.987462,0.000000,32.380937,1.200000,1.000000,0.000000,0.000000,8.000000,6.000000,305627904,5501302272,0,0,2445023232,4494528,668242173,3023765,50.000000,0.000000,96.208493,241.464452,96.208493,362.196678,52.588926,243.673560,96.208493,0.000000,0.000000,1731.752871,96.208493,100.000000,66.666667,1222511616,"Low (1)","Low (1)","Mid (4)","Idle (0)","Idle (0)","Low (3)",0,0,0,0,234722230272,0,117361115136,0,0,11949451776,11949454368,"Low (3)","Low (1)",131.578947,"High (9)",117361115136,0,83778001920,0,4890046464,166285550592,10019801088,0,8585299296,154312128,154312128,6424178688,5505047712,0,0.000000,2.317855,43.037294,19.186292,0.000000,20.832612,11.943011,0.000114,1.211521,0.006524,1.464777,0,5,1227590241,4494534,0,0.000000,49.938875,45.725068,67.161357,96.208493,362.196678,1222511616,4494528,96.608167,362.197162,0.000000,422.000000,"Low (2)",0.000000,0,"Low (1)",0.000000,2.064338,13.791894,0.000000
5184,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",99.957086,0.843134,1.797697,1.802439,16888.000000,100.000000,100.000000,99.988157,0.000000,32.373565,1.200000,1.000000,0.000000,0.000000,8.000000,6.000000,362797057,6530347009,0,0,2902376448,5038848,804650836,3405276,50.000000,0.000000,96.485805,228.707093,96.485805,343.060639,53.499183,231.841913,96.485805,0.000000,0.000000,1736.744491,96.485805,100.000000,66.666667,1451188224,"Low (1)","Low (1)","Mid (4)","Idle (0)","Idle (0)","Low (3)",0,0,0,0,278628139008,0,139314069504,0,0,14182677504,14182680096,"Low (3)","Low (1)",131.578947,"High (9)",139314069504,0,99406393344,0,5804752896,197388472320,11878244352,0,10189392192,183078144,183078144,7625456640,6534546048,0,0.000000,2.295145,43.219974,18.743841,0.000000,21.062588,11.933307,0.000090,1.279268,0.006221,1.459564,0,5,1457149777,5038854,0,0.000000,49.942263,44.935304,66.779192,96.485805,343.060639,1451188224,5038848,96.882173,343.061049,0.000000,356.000000,"Low (2)",0.000000,0,"Low (1)",0.000000,2.064608,13.779132,0.000000
5472,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",99.982208,0.843292,1.804476,1.801098,17824.000000,100.000000,100.000000,99.988779,0.000000,32.348328,1.200000,1.000000,0.000000,0.000000,8.000000,6.000000,426684672,7680324096,0,0,3413477376,5614272,957597558,3770305,50.000000,0.000000,96.602775,216.932547,96.602775,325.398820,54.200788,218.523932,96.602775,0.000000,0.000000,1738.849946,96.602775,100.000000,66.666667,1706738688,"Low (1)","Low (1)","Mid (4)","Idle (0)","Idle (0)","Low (3)",0,0,0,0,327693828096,0,163846914048,0,0,16678130688,16678133280,"Low (3)","Low (1)",131.578947,"High (9)",163846914048,0,116866685952,0,6826954752,232146404352,13953337344,0,11981793888,215213760,215213760,8967863808,7685002656,0,0.000000,2.294834,43.226594,18.709009,0.000000,21.156659,11.859255,0.000076,1.287899,0.005880,1.459794,0,5,1713362579,5614278,0,0.000000,49.945295,44.311414,65.558099,96.602775,325.398820,1706738688,5614272,96.977692,325.399168,0.000000,303.000000,"Low (2)",0.000000,0,"Low (1)",0.000000,2.063170,13.790044,0.000000
5760,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",99.980801,0.843318,1.802541,1.804965,18760.000000,100.000000,100.000000,99.989339,0.000000,32.416727,1.200000,1.000000,0.000000,0.000000,8.000000,6.000000,497664000,8957952000,0,0,3981312000,6220800,1133978818,4174638,50.000000,0.000000,96.573021,206.022444,96.573021,309.033666,55.012900,207.385494,96.573021,0.000000,0.000000,1738.314370,96.573021,100.000000,66.666667,1990656000,"Low (1)","Low (1)","Mid (4)","Idle (0)","Idle (0)","Low (3)",0,0,0,0,382205952000,0,191102976000,0,0,19450368000,19450370592,"Low (3)","Low (1)",131.578947,"High (9)",191102976000,0,136260403200,0,7962624000,270762393600,16257024000,0,13972955328,250905600,250905600,10459238400,8963136000,0,0.000000,2.295483,43.159800,19.046969,0.000000,20.768028,12.015441,0.000069,1.237185,0.005629,1.471395,0,5,1999045003,6220854,0,0.000000,49.948025,43.352823,65.342898,96.573021,309.033666,1990656000,6220800,96.979998,309.036348,0.000000,260.000000,"Low (2)",0.000000,0,"Low (1)",0.000000,2.070688,13.828339,0.000000
