256,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,4103,5821,29444,29125,14733,7237,14579,14745,2051,1432,4784,2252,16384,16384,16384,16384,4325376,4325376,4325376,4325376,4323328,4323328,4323328,4323324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4325456,4325459,4325401,4325804,16384,16388,16384,16385,39466444,0,0,33554432,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2048,65536,6088704,21230715,845517,194838528,0,0,0,0,1048576,2048,35189874,2135315746,64,194641920,0,0,0,0,0,0,17301504,65536,0,0,16252928,63488,0,0,0,0,17342531,65536,0,0
512,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,140023,143237,121021,121094,60492,60596,60770,60311,72479,69048,71444,66596,65536,65536,65536,65536,34603008,34603008,34603008,34603008,34537372,34542288,34537432,34542044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,34604708,34604496,34604520,34604173,65536,65540,65537,65540,295871034,0,0,268435456,0,0,0,0,262144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8192,262144,48472064,174526399,6430379,1551106048,0,0,0,0,8388608,8192,290802003,18383938030,256,1550319616,0,0,0,0,0,0,138412032,262144,0,0,130023424,253952,0,0,0,0,144378319,262144,0,0
768,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,970759,958488,278840,277340,139478,138562,139554,139721,486131,479513,481116,483304,147456,147456,147456,147456,116785152,116785152,116785152,116785152,116322920,116324560,116322452,116324852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,116792765,116790332,116792971,116790771,147457,147457,147456,147457,974845152,0,0,905969664,0,0,0,0,589824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18432,589824,163325952,578037312,21510721,5226430464,0,0,0,0,28311552,18432,957863200,60932290522,576,5224660992,0,0,0,0,0,0,467140608,589824,0,0,438829056,571392,0,0,0,0,475457803,589833,0,0
1024,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,2378227,2370080,497602,497637,248819,248732,248186,249132,1189775,1185420,1193696,1198152,262144,262144,262144,262144,276824064,276824064,276824064,276824064,275682720,275681248,275689060,275674484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,4,276835944,276835520,276844684,276837211,262145,262144,262144,262145,2299665421,0,0,2147483648,0,0,0,0,1048576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32768,1048576,386826240,1366653044,50890645,12378439680,0,0,0,0,67108864,32768,2268359073,144382938076,1024,12375293952,0,0,0,0,0,0,1107296256,1048576,0,0,1040187392,1015808,0,0,0,0,1125837461,1048576,0,0
1280,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,4698200,4701100,786983,783966,393595,391706,391465,393498,2352899,2349601,2354932,2359939,409724,409600,409600,409600,540672000,540672000,270336000,540672000,538420064,538419700,538415116,538416796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,540693348,540696868,540691997,540703365,409600,409600,409600,409605,4433985376,0,0,4194304000,0,0,0,0,1638400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51200,1638400,755148800,2650372510,99178306,24164761600,0,0,0,0,131072000,51200,4393481270,280009064748,1600,24159846400,0,0,0,0,0,0,2162688000,1638400,0,0,2031616000,1587200,0,0,0,0,2172897023,1638400,0,0
1536,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,9359322,9288972,1140815,1134234,570304,566229,569981,566830,4677183,4653311,4656297,4653924,589824,589824,589824,589824,934281216,934281216,934281216,934281216,929797560,929868904,929878465,929632983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,934330107,934332555,934334000,934338064,589824,589905,589824,294913,7752581080,0,0,7247757312,0,0,0,0,2359296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73728,2359296,1304469504,4693420521,171522560,41743024128,0,0,0,0,226492416,73728,7737385421,491623784270,2304,41735946240,0,0,0,0,0,0,3737124864,2359296,0,0,3510632448,2285568,0,0,0,0,3862672332,2359321,0,0
1792,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,12861824,12851088,1543700,1539418,771958,769547,771353,770576,6439887,6425629,6446676,6426508,802816,802816,802816,802816,1483603968,1483603968,1483603968,1483603968,1477430028,1477430616,1477432712,1477414460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1483677424,1483678757,1483681632,1483689539,401408,802821,802816,802818,12069919321,0,0,11509170176,0,0,0,0,3211264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100352,3211264,2070964224,7261672252,271481396,66270855168,0,0,0,0,359661568,100352,12048104764,768982749408,3136,66261221376,0,0,0,0,0,0,5934415872,3211264,0,0,5574754304,3110912,0,0,0,0,5955652982,3211267,0,0
2048,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,20283341,20035524,2036414,2031327,1018150,1015530,1010746,1015544,10145025,10027997,9931562,10288073,1048576,1048616,1048576,1048576,2214592512,1107296256,2214592512,2214592512,2204853400,2205067969,2205046618,2205052830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2214717520,2214696093,2214711424,2214716932,1048576,1048577,1048577,1048577,18045787790,0,0,17179869184,0,0,0,0,4194304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131072,4194304,3090808832,10863900812,406022770,98905882624,0,0,0,0,536870912,131072,18025254581,1147522164894,4096,98893299712,0,0,0,0,0,0,8858370048,4194304,0,0,8321499136,4063232,0,0,0,0,8915469336,4194304,0,0
2304,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,27928455,28403368,2578033,2579094,1288753,1290088,1286101,1281430,13984815,14190289,14015569,13945522,1327104,1327104,1327104,1327104,3153199104,3153199104,3153199104,3153199104,3139838052,3139828008,3139798340,1569872233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3153354021,3153360144,3153373931,3153367241,1327105,1327108,1327105,1327104,25668067714,0,0,24461180928,0,0,0,0,5308416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165888,5308416,4400179200,15457132619,576689606,140805734400,0,0,0,0,764411904,165888,25635281434,1634294103326,5184,140789809152,0,0,0,0,0,0,12612796416,5308416,0,0,11848384512,5142528,0,0,0,0,12682769778,5308416,0,0
2560,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,50118054,49466523,3190365,3177560,1595980,1589237,1590279,1588789,25064586,24801915,24730499,25291421,1638400,1638400,1638400,1638400,4325376000,4325376000,4325376000,4325376000,4301560286,4301730603,4301161005,4301979115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,4325602576,4325603440,4325613179,4325625124,1638400,1638401,1638401,1638404,35291915740,0,0,33554432000,0,0,0,0,6553600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204800,6553600,6035251200,21272875868,794612390,193128038400,0,0,0,0,1048576000,204800,35255677562,"<OVERFLOW>",6400,193108377600,0,0,0,0,0,0,17301504000,6553600,0,0,16252928000,6348800,0,0,0,0,17472545786,6553608,0,0
