256,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,0.000000,90.994749,1.915431,0.926375,191.957319,744.561721,90.994749,1.915431,0.190005,0.000000,0.000000,0.000000,0.000000,0.000000,749.469720,744.561721,744.561721,232.675538,0.000000,0.000000,82.500000,100.000000,100.000000,0.000000,203.591096,0.000000,"<INVALID>",100.000000,0.000000,2.246907,2973.000000,49.652912,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0,0,0,0,1048576,2048,0,10,0,8246,8192,2621766,8890,0.000000,0.000000,0.000000,0.000000,232.704473,808.002160,0.000000,930.702148,99.899092,299710,270336,1057856,1050624,33554432,0,0,16777216,0,0,0,0,0,10.441538,22.747641,21.252403,0.000000,0.000000,1.489762,"Low (1)","Mid (6)","Idle (0)","Low (1)","Low (1)","Mid (4)","High (9)","Low (1)","Idle (0)",6088704,7245589,6409178,0.000000,0,0.000000,0.000000,0.000000,0.000000,16777216,0,126484480,0,8454144,33619968,9306112,0,0.000000,0,0.000000,2293760,8192,0,744.561721,0,0,0.000000,30.041155,0.161852,2.459641,0.000000,0.056933,13.808716,9.664920,0.000000
512,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,0.000000,96.792705,1.953285,0.988333,212.049904,411.248299,96.792705,1.953285,0.180065,0.000000,0.000000,0.000000,0.000000,0.000000,4.808788,411.273399,411.248299,257.030187,0.000000,0.000000,82.500000,100.000000,98.180771,0.000000,257.030187,0.000000,0.000000,100.000000,0.000000,2.298015,5917.000000,50.964808,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0,0,0,0,8388608,8192,0,5,0,392357,32770,20972296,28678,0.000000,0.000000,0.000000,0.000000,257.039698,359.917562,0.000000,64.256836,99.949299,2231856,2129920,8525979,8396800,268435456,0,0,134217728,0,0,0,0,0,9.964686,21.642837,25.230827,0.000000,0.000000,1.503661,"Low (2)","High (7)","Idle (0)","Low (1)","Low (1)","Mid (4)","High (9)","Low (1)","Idle (0)",48472064,57266342,50801541,0.000000,0,0.000000,0.000000,0.000000,0.000000,134217728,0,1009254400,0,67371008,268697600,70778880,0,0.000000,0,0.000000,20971520,32768,0,411.248299,0,0,0.000000,28.010752,0.019666,2.715218,0.000000,0.310752,13.316819,10.000910,0.000000
768,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,0.000000,98.440570,1.936027,0.985511,215.132080,278.150568,98.440570,1.936027,0.180067,0.000000,0.000000,0.000000,0.000000,0.000000,6.821232,280.433026,278.150568,260.766158,0.000000,0.000000,82.500000,100.000000,97.395839,0.000000,260.766158,0.000000,0.000000,100.000000,0.000000,2.287869,8861.000000,50.756701,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0,0,0,0,28311552,18432,0,0,0,1851464,74333,70779361,73731,0.000000,0.000000,0.000000,0.000000,260.767930,278.161885,0.000000,0.000000,99.966144,7478670,7151616,29013527,28329984,905969664,0,0,452984832,0,0,0,0,0,9.357450,21.565739,28.875777,0.000000,0.000000,1.484636,"Low (2)","High (7)","Idle (0)","Low (1)","Idle (0)","Mid (4)","High (9)","Low (1)","Idle (0)",163325952,192669056,170975642,0.000000,0,0.000000,0.000000,0.000000,0.000000,452984832,0,3403284480,0,227082240,906559488,234749952,0,0.000000,0,0.000000,70778880,73728,0,278.150568,0,0,0.000000,25.818357,0.005857,2.757882,0.000000,0.351515,12.540669,9.524895,0.000000
1024,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,0.000000,98.633017,1.957316,0.995014,217.944119,211.339751,98.633017,1.957316,0.180953,0.000000,0.000000,0.000000,0.000000,0.000000,6.975846,211.342976,211.339751,264.174689,0.000000,0.000000,82.500000,100.000000,97.374461,0.000000,264.174689,0.000000,0.000000,100.000000,0.000000,2.309028,11805.000000,51.254996,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0,0,0,0,67108864,32768,0,4,0,4430223,131074,167778945,131293,0.000000,0.000000,0.000000,0.000000,264.185373,211.696090,0.000000,6.603516,99.974587,17552205,16908288,67978874,67141632,2147483648,0,0,1073741824,0,0,0,0,0,9.893506,21.712096,25.063492,0.000000,0.000000,1.495369,"Low (2)","High (7)","Idle (0)","Low (1)","Low (1)","Mid (4)","High (9)","Low (1)","Idle (0)",386826240,456823717,405616159,0.000000,0,0.000000,0.000000,0.000000,0.000000,1073741824,0,8063549440,0,537919488,2148532224,551550976,0,0.000000,0,0.000000,167772160,131072,0,211.339751,0,0,0.000000,28.159972,0.002488,2.788180,0.000000,0.166635,13.506443,10.169899,0.000000
1280,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,0.000000,99.216060,1.948540,0.993839,218.511480,169.511935,99.216060,1.948540,0.179349,0.000000,0.000000,0.000000,0.000000,0.000000,6.990695,169.511935,169.511935,264.862400,0.000000,0.000000,82.500000,100.000000,100.000000,0.000000,231.754600,0.000000,"<INVALID>",100.000000,0.000000,2.299544,14749.000000,51.039701,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0,0,0,0,131072000,51200,0,13,0,8648683,204800,327689359,204802,0.000000,0.000000,0.000000,0.000000,264.869965,169.513591,0.000000,11.017578,99.979660,34215145,32972800,133719135,131123200,4194304000,0,0,2097152000,0,0,0,0,0,9.361164,21.572626,28.600194,0.000000,0.000000,1.499448,"Low (1)","High (7)","Idle (0)","Low (1)","Low (1)","Mid (4)","High (9)","Low (1)","Idle (0)",755148800,890584192,790683341,0.000000,0,0.000000,0.000000,0.000000,0.000000,2097152000,0,15745024000,0,1050214400,4195942400,1071513600,0,0.000000,0,0.000000,286720000,204932,0,169.621191,0,0,0.000000,26.034161,0.001256,2.798201,0.000000,0.280944,12.650206,9.649995,0.000000
1536,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,0.000000,99.640809,1.890163,0.981761,212.681829,137.491283,99.640809,1.890163,0.188385,0.000000,0.000000,0.000000,0.000000,0.000000,6.795052,137.492215,137.491283,257.796157,0.000000,0.000000,82.500000,100.000000,97.379866,0.000000,257.796157,0.000000,0.000000,100.000000,0.000000,2.245086,17693.000000,49.854181,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0,0,0,0,226492416,73728,0,6,0,14924851,294914,566251868,294914,0.000000,0.000000,0.000000,0.000000,257.805639,137.492215,0.000000,2.864258,99.983044,59782943,56918016,241033819,226566144,7247757312,0,0,3623878656,0,0,0,0,0,9.011881,21.083538,34.542129,0.000000,0.000000,1.463245,"Low (2)","High (7)","Idle (0)","Low (1)","Low (1)","Mid (4)","High (9)","Low (1)","Idle (0)",1304469504,1550436158,1377153963,0.000000,0,0.000000,0.000000,0.000000,0.000000,3623878656,0,27202682880,0,1814298624,7250116608,1844969472,0,0.000000,0,0.000000,566231040,294912,0,137.491283,0,0,0.000000,22.078901,0.000721,2.723258,0.000000,0.967981,10.851604,8.459693,0.000000
1792,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,0.000000,99.729729,1.955668,0.997620,220.343902,122.095322,99.729729,1.955668,0.178589,0.000000,0.000000,0.000000,0.000000,0.000000,7.176867,122.095626,122.095322,267.083518,0.000000,0.000000,82.500000,100.000000,97.327388,0.000000,267.083518,0.000000,0.000000,100.000000,0.000000,2.304793,20637.000000,51.164661,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0,0,0,0,359661568,100352,0,1,0,24161388,401409,786781707,401510,0.000000,0.000000,0.000000,0.000000,233.704621,122.126347,0.000000,318.000000,99.985463,93305775,90316800,366189815,359761920,11509170176,0,0,5754585088,0,0,0,0,0,9.279523,21.537812,28.645899,0.000000,0.000000,1.503472,"Low (2)","Mid (6)","Idle (0)","Low (1)","Low (1)","Mid (4)","High (9)","Low (1)","Idle (0)",2070964224,2440816588,2167346174,0.000000,0,0.000000,0.000000,0.000000,0.000000,5754585088,0,43191500800,0,2880503808,11512381440,2922250240,0,0.000000,0,0.000000,899153920,401408,0,122.095322,0,0,0.000000,26.092531,0.000464,2.822574,0.000000,0.255044,12.685253,9.708891,0.000000
2048,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,0.000000,99.765544,1.961007,0.997223,196.783398,95.410131,99.765544,1.961007,0.178737,0.000000,0.000000,0.000000,0.000000,0.000000,6.304376,95.447437,95.410131,238.525331,0.000000,0.000000,82.500000,100.000000,97.364946,0.000000,238.525331,0.000000,0.000000,100.000000,0.000000,2.320642,23581.000000,51.514550,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0,0,0,0,536870912,131072,0,4,0,35474596,524493,1342221430,524295,0.000000,0.000000,0.000000,0.000000,238.533177,95.411406,0.000000,763.000000,99.987278,139438025,134742016,541489305,537001984,17179869184,0,0,8589934592,0,0,0,0,0,9.705037,21.639515,25.301115,0.000000,0.000000,1.487295,"Low (2)","High (7)","Idle (0)","Low (1)","Low (1)","Mid (4)","High (9)","Low (1)","Idle (0)",3090808832,3645699871,3237149508,0.000000,0,0.000000,0.000000,0.000000,0.000000,8589934592,0,64466452480,0,4299161600,17184063488,4353687552,0,0.000000,0,0.000000,1342177280,524288,0,95.410131,0,0,0.000000,28.009684,0.000308,2.841164,0.000000,0.062396,13.794650,10.432432,0.000000
2304,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,0.000000,99.797166,1.960944,0.996486,195.417540,84.220353,99.797166,1.960944,0.178271,0.000000,0.000000,0.000000,0.000000,0.000000,6.533178,84.220480,84.220353,236.869745,0.000000,0.000000,82.500000,100.000000,97.251398,0.000000,236.869745,0.000000,0.000000,100.000000,0.000000,2.303277,26525.000000,51.129274,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0,0,0,0,764411904,165888,0,8,0,52708708,663553,1911088069,663560,0.000000,0.000000,0.000000,0.000000,236.876973,84.221369,0.000000,1.039062,99.988690,198349206,191766528,777707284,764577792,24461180928,0,0,12230590464,0,0,0,0,0,9.580939,21.899506,27.040058,0.000000,0.000000,1.519521,"Low (2)","High (7)","Idle (0)","Low (1)","Low (1)","Mid (4)","High (9)","Low (1)","Idle (0)",4400179200,5184823547,4603810770,0.000000,0,0.000000,0.000000,0.000000,0.000000,12230590464,0,91782512640,0,6120603648,24466489344,6189613056,0,0.000000,0,0.000000,1911029760,663552,0,84.220353,0,0,0.000000,26.814268,0.000219,2.824077,0.000000,0.175076,12.970414,9.750900,0.000000
2560,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,0.000000,99.883068,1.945110,0.995110,195.189947,75.710040,99.883068,1.945110,0.179773,0.000000,0.000000,0.000000,0.000000,0.000000,6.603328,75.710132,75.710040,236.593876,0.000000,0.000000,82.500000,100.000000,97.217395,0.000000,236.593876,0.000000,0.000000,100.000000,0.000000,2.302020,29469.000000,51.100854,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0,0,0,0,1048576000,204800,0,1,0,73164308,819201,2293826556,819202,0.000000,0.000000,0.000000,0.000000,207.025648,75.710224,0.000000,96.000000,99.989820,272450607,262963200,1070882698,1048780800,33554432000,0,0,16777216000,0,0,0,0,0,9.534872,21.347203,28.718311,0.000000,0.000000,1.479369,"Low (2)","Mid (6)","Idle (0)","Low (1)","Low (1)","Mid (4)","High (9)","Low (1)","Idle (0)",6035251200,7120226429,6322539897,0.000000,0,0.000000,0.000000,0.000000,0.000000,16777216000,0,125894656000,0,8395161600,33560985600,8480358400,0,0.000000,0,0.000000,2621440000,819200,0,75.710040,0,0,0.000000,25.801521,0.000156,2.821901,0.000000,0.378048,12.740520,9.782090,0.000000
