252,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int)",95.385657,0.769538,1.680281,1.674378,823.000000,100.000000,98.000000,97.761847,0.000360,29.296032,1.200000,1.000000,0.000000,0.000000,7.840000,5.685432,36450,765450,0,0,285768,11513,0,5,176984,11519,0,74,38.095238,0.000000,19.178482,1.065471,23.744787,1.545323,0.000000,37.536633,100.000000,100.000000,0.000000,10.170968,19.178482,23.744787,1.545323,23.755525,1.546128,0.000000,703.720703,0.000000,0.000000,410.967468,19.569879,80.769231,68.948146,142884,"Low (1)","Low (1)","Mid (4)","Idle (0)","Idle (0)","Low (3)",0,0,0,0,32006016,0,16003008,0,0,1666575,1667175,"Low (1)","Low (1)","Low (1)","Low (1)",3.151957,41.417957,6.965835,0.000000,19.914023,26.732028,0.087435,0.661055,129.181818,"High (8)",16003008,0,11430720,0,571536,22353408,1778112,0,1166800,22275,22275,869697,757350,0,0.000000,0.000000,0,0.000000,1.633426,0,176904,11513,12.015714,0.000000,0.097721,0.971988
504,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int)",99.613024,0.774908,1.644649,1.643466,1606.000000,100.000000,98.000000,97.877958,0.000046,28.550811,1.200000,1.000000,0.000000,0.000000,7.840000,5.781852,291600,6123600,0,0,2286144,46833,0,5,1429040,46839,62057,52906,37.500000,0.000000,20.053911,570.422357,25.067389,841.351418,0.000000,37.195997,95.658296,69.974164,1.088720,950.452418,20.053911,25.067389,841.351418,25.070898,841.459208,0.000000,91.979492,0.000000,0.000000,429.726664,20.463174,80.000000,67.798347,1143072,"Low (1)","Low (1)","Mid (4)","Idle (0)","Idle (0)","Low (3)",0,0,0,0,256048128,0,128024064,0,0,13008600,13009200,"Low (1)","Low (1)","Low (1)","Low (1)",3.108560,41.225929,8.081391,0.000000,20.125880,25.831162,0.020598,0.668117,129.181818,"High (9)",128024064,0,84587328,0,4572288,178573248,11684736,0,9040000,162000,162000,6893424,6018300,0,0.000000,0.000000,0,0.000000,1.572167,0,1428840,46833,12.592030,0.000000,0.049191,0.889172
756,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int)",99.804139,0.778641,1.577397,1.580577,2389.000000,100.000000,98.000000,97.917957,0.000014,27.390471,1.200000,1.000000,0.000000,0.000000,7.840000,5.757037,984150,20667150,0,0,7715736,104922,0,5,4807050,104928,1906088,106201,37.698413,0.000000,19.445599,368.746172,24.229834,541.552390,0.000000,37.496049,59.750103,68.751072,9.607644,548.153917,19.445599,24.229834,541.552390,24.229955,541.583359,0.000000,26.425781,0.000000,0.000000,416.691405,19.842448,80.254777,68.090582,3857868,"Low (1)","Low (1)","Mid (4)","Idle (0)","Idle (0)","Low (3)",0,0,0,0,864162432,0,432081216,0,0,43539525,43540125,"Low (2)","Low (1)","Low (1)","Low (1)",2.820418,39.877926,13.869729,0.000000,17.883865,23.982032,0.006766,0.683340,129.181818,"High (8)",432081216,0,277766496,0,15431472,602398944,36578304,0,30181000,528525,528525,23193135,20266200,0,0.000000,0.000000,0,0.000000,1.507722,0,4807026,104922,12.197374,0.000000,0.031277,0.844646
1008,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int)",99.745242,0.779411,1.579271,1.581280,3172.000000,100.000000,98.000000,97.938209,0.000006,27.368296,1.200000,1.000000,0.000000,0.000000,7.840000,5.617068,2332800,48988800,0,0,18289152,181993,0,5,11627028,181999,4829032,163480,37.500000,0.000000,19.545209,277.976309,24.431512,398.319337,0.000000,37.374709,58.888889,68.712533,10.321358,357.800823,19.545209,24.431512,398.319337,24.851091,398.332469,0.000000,11.205078,0.000000,0.000000,418.825912,19.944091,80.000000,69.787300,9144576,"Low (1)","Low (1)","Mid (4)","Idle (0)","Idle (0)","Low (3)",0,0,0,0,2048385024,0,1024192512,0,0,102772800,102773400,"Low (2)","Low (1)","Low (1)","Low (1)",2.813053,40.303206,13.729530,0.000000,17.609118,23.958450,0.002533,0.711322,129.181818,"High (8)",1024192512,0,649264896,0,36578304,1427569920,83317248,0,71150800,1231200,1231200,54890784,47984400,0,0.000000,0.000000,0,0.000000,1.508979,0,11430720,181993,12.263455,0.000000,0.023652,0.849134
1260,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int)",99.930924,0.779883,1.575895,1.574444,3955.000000,100.000000,98.000000,97.950442,0.000003,27.229318,1.200000,1.000000,0.000000,0.000000,7.840000,5.646756,4556250,95681250,0,0,35721000,285867,0,5,22542678,285873,9521618,235262,37.619048,0.000000,19.539575,222.316940,24.377946,320.247301,0.000000,37.513070,59.006153,67.916898,10.416750,263.556201,19.539575,24.377946,320.247301,24.661927,320.254023,0.000000,5.735352,0.000000,0.000000,418.705176,19.938342,80.152672,69.420395,17860500,"Low (1)","Low (1)","Mid (4)","Idle (0)","Idle (0)","Low (3)",0,0,0,0,4000752000,0,2000376000,0,0,200221875,200222475,"Low (2)","Low (1)","Low (1)","Low (1)",2.806152,40.354353,13.773534,0.000000,17.594953,23.888033,0.001285,0.720928,129.181818,"High (8)",2000376000,0,1257379200,0,71442000,2787825600,158760000,0,138510400,2379375,2379375,107108325,93656250,0,0.000000,0.000000,0,0.000000,1.499999,0,22283100,285867,12.279740,0.000000,0.018115,0.842648
1512,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int)",99.945038,0.779961,1.580884,1.582429,4738.000000,100.000000,98.000000,97.958632,0.000002,27.353511,1.200000,1.000000,0.000000,0.000000,7.840000,5.679053,7873200,165337200,0,0,61725888,414003,0,5,39357126,414009,16499481,322269,37.500000,0.000000,19.666532,186.467856,24.583165,270.143095,0.000000,37.408836,59.224756,68.718343,10.513824,210.285300,19.666532,24.583165,270.143095,25.079207,270.147010,0.000000,3.340820,0.000000,0.000000,421.425681,20.067890,80.000000,69.025587,30862944,"Low (1)","Low (1)","Mid (4)","Idle (0)","Idle (0)","Low (3)",0,0,0,0,6913299456,0,3456649728,0,0,345400200,345400800,"Low (2)","Low (1)","Low (1)","Low (1)",2.818620,40.205442,13.805313,0.000000,17.818021,23.811470,0.000722,0.691321,129.181818,"High (8)",3456649728,0,2160406080,0,123451776,4816905408,269764992,0,238820800,4082400,4082400,184967712,161765100,0,0.000000,0.000000,0,0.000000,1.501232,0,38578680,414003,12.350688,0.000000,0.015741,0.833349
1764,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int)",99.961703,0.780252,1.579817,1.580580,5521.000000,100.000000,98.000000,97.964499,0.000001,27.311593,1.200000,1.000000,0.000000,0.000000,7.840000,5.737163,12502350,262549350,0,0,98018424,569270,0,5,62475616,569276,25948831,425495,37.585034,0.000000,19.669866,159.856688,24.553880,233.960173,0.000000,37.500285,59.274670,69.139951,10.414573,174.871122,19.669866,24.553880,233.960173,25.074612,233.962639,0.000000,2.103516,0.000000,0.000000,421.497128,20.071292,80.108992,68.326453,49009212,"Low (1)","Low (1)","Mid (4)","Idle (0)","Idle (0)","Low (3)",0,0,0,0,10978063488,0,5489031744,0,0,547821225,547821825,"Low (2)","Low (1)","Low (1)","Low (1)",2.814250,40.208582,13.865251,0.000000,17.752172,23.824765,0.000446,0.689795,129.181818,"High (8)",5489031744,0,3416642208,0,196036848,7648548768,423190656,0,378643000,6449625,6449625,293590899,256794300,0,0.000000,0.000000,0,0.000000,1.498606,0,61178166,569270,12.352004,0.000000,0.013385,0.831353
2016,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int)",99.957590,0.780430,1.582977,1.583352,6304.000000,100.000000,98.000000,97.968909,0.000001,27.352006,1.200000,1.000000,0.000000,0.000000,7.840000,5.705378,18662400,391910400,0,0,146313216,739417,0,5,93262326,739423,38866788,545574,37.500000,0.000000,19.729018,140.295237,24.661272,204.193206,0.000000,37.429154,59.403334,69.382906,10.481672,150.662622,19.729018,24.661272,204.193206,25.151167,204.194863,0.000000,1.413086,0.000000,0.000000,422.764665,20.131651,80.000000,68.707103,73156608,"Low (1)","Low (1)","Mid (4)","Idle (0)","Idle (0)","Low (3)",0,0,0,0,16387080192,0,8193540096,0,0,816998400,816999000,"Low (2)","Low (1)","Low (1)","Low (1)",2.817372,40.263933,13.767908,0.000000,17.799699,23.826720,0.000300,0.682160,129.181818,"High (8)",8193540096,0,5084384256,0,292626432,11416495104,625895424,0,564538000,9590400,9590400,438099840,383227200,0,0.000000,0.000000,0,0.000000,1.499249,0,91445760,739417,12.397432,0.000000,0.012071,0.829836
2268,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int)",99.941159,0.780474,1.572218,1.575506,7087.000000,100.000000,98.000000,97.972344,0.000001,27.210660,1.200000,1.000000,0.000000,0.000000,7.840000,5.733181,26572050,558013050,0,0,208324872,940385,0,5,132401050,940391,55889721,683207,37.566138,0.000000,19.634898,124.111947,24.517650,181.519451,0.000000,37.500534,59.264594,68.117101,10.535362,131.877220,19.634898,24.517650,181.519451,24.957952,181.520610,0.000000,0.988281,0.000000,0.000000,420.747814,20.035610,80.084746,68.373911,104162436,"Low (1)","Low (1)","Mid (4)","Idle (0)","Idle (0)","Low (3)",0,0,0,0,23332385664,0,11666192832,0,0,1162445175,1162445775,"Low (2)","Low (1)","Low (1)","Low (1)",2.792357,40.316216,13.991568,0.000000,17.554308,23.788829,0.000214,0.713179,129.181818,"High (8)",11666192832,0,7221928896,0,416649744,16254483840,884737728,0,803066800,13614075,13614075,623616489,545547150,0,0.000000,0.000000,0,0.000000,1.495930,0,130065264,940385,12.343605,0.000000,0.010592,0.832737
2520,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int)",99.966461,0.780559,1.572303,1.571601,7870.000000,100.000000,98.000000,97.975095,0.000000,27.138565,1.200000,1.000000,0.000000,0.000000,7.840000,5.728622,36450000,765450000,0,0,285768000,1160046,0,5,181978826,1160052,79305168,830759,37.500000,0.000000,19.623883,111.638088,24.529854,163.146029,0.000000,37.441607,56.450234,67.287677,10.891880,116.835912,19.623883,24.529854,163.146029,24.993219,163.146873,0.000000,737.000000,0.000000,0.000000,420.511775,20.024370,80.000000,68.428321,142884000,"Low (1)","Low (1)","Mid (4)","Idle (0)","Idle (0)","Low (3)",0,0,0,0,32006016000,0,16003008000,0,0,1593675000,1593675600,"Low (2)","Low (1)","Low (1)","Low (1)",2.789666,40.341666,13.972016,0.000000,17.595276,23.743919,0.000156,0.714358,129.181818,"High (8)",16003008000,0,9887572800,0,571536000,22296254400,1206576000,0,1100790400,18630000,18630000,855262800,748237500,0,0.000000,0.000000,0,0.000000,1.492858,0,178605000,1160046,12.328631,0.000000,0.009181,0.833761
