gpu_id,num_of_cores,max_clock_rate,l1_cache_used,threads_number,Achieved Occupancy,Executed IPC,Global Load Transactions,Global Store Transactions,Instructions Executed,Instructions Issued,L2 Hit Rate (L1 Reads),Shared Load Transactions,Shared Store Transactions,Duration
0,2880,745,0,65536,0.862592,1.426298,1572864.0,4096.0,6088704.0,8237119.0,99.996948,0.0,0.0,0.000400543
0,2880,745,0,262144,0.970457,1.491053,12582912.0,16384.0,48472064.0,66056490.0,99.60153100000001,0.0,0.0,0.003039161
0,2880,745,0,589824,0.9772200000000001,1.489596,42467328.0,36864.0,163325952.0,222179776.0,96.319305,0.0,0.0,0.009906984
0,2880,745,0,1048576,0.990936,1.4874120000000002,100663296.0,65536.0,386826240.0,525612473.0,94.752792,0.0,0.0,0.023438999999999998
0,2880,745,0,1638400,0.990715,1.488315,196608000.0,102400.0,755148800.0,1025902609.0,93.834773,0.0,0.0,0.045443
0,2880,745,0,2359296,0.995432,1.488997,339738624.0,147456.0,1304469504.0,1772036833.0,93.721007,0.0,0.0,0.078343
0,2880,745,0,3211264,0.9945069999999999,1.4880639999999998,539492352.0,200704.0,2070964224.0,2813262190.0,93.683334,0.0,0.0,0.12433599999999999
0,2880,745,0,4194304,0.996165,1.487965,805306368.0,262144.0,3090808832.0,4200056099.0,93.683871,0.0,0.0,0.18569000000000002
0,2880,745,0,5308416,0.9961959999999999,1.487768,1146617856.0,331776.0,4400179200.0,5978352332.0,93.671319,0.0,0.0,0.264226
0,2880,745,0,6553600,0.9965120000000001,1.4875399999999999,1572864000.0,409600.0,6035251200.0,8202092810.0,93.67142,0.0,0.0,0.362266
0,2880,745,0,7929856,0.9971059999999999,1.487354,2093481984.0,495616.0,8032200704.0,10914254424.0,93.665242,0.0,0.0,0.482195
0,2880,745,0,9437184,0.997815,1.4872670000000001,2717908992.0,589824.0,10427203584.0,14168147590.0,93.598113,0.0,0.0,0.626173
0,2880,745,0,11075584,0.997508,1.486879,3455582208.0,692224.0,13256435712.0,18016334758.0,93.607945,0.0,0.0,0.7962100000000001
0,2880,745,0,12845056,0.998452,1.487017,4315938816.0,802816.0,16556072960.0,22493988928.0,93.484373,0.0,0.0,0.994182
0,2880,745,0,14745600,0.9978879999999999,1.486625,5308416000.0,921600.0,20362291200.0,27675399470.0,93.546918,0.0,0.0,1.2230969999999999
0,2880,745,0,16777216,0.998455,1.486898,6442450944.0,1048576.0,24711266304.0,33574732471.0,93.544097,0.0,0.0,1.483401
0,2880,745,0,18939904,0.9984280000000001,1.486551,7727480832.0,1183744.0,29639174144.0,40269447991.0,93.481275,0.0,0.0,1.779928
0,2880,745,0,21233664,0.9984219999999999,1.48635,9172942848.0,1327104.0,35182190592.0,47808092810.0,93.4291,0.0,0.0,2.112885
0,2880,745,0,23658496,0.998559,1.486012,10788274176.0,1478656.0,41376491520.0,56223252355.0,93.37097,0.0,0.0,2.486263
0,2880,745,0,65536,0.8836649999999999,0.406654,1048576.0,32768.0,1767424.0,3981388.0,99.976349,1572864.0,262144.0,0.000414815
0,2880,745,0,262144,0.977188,0.406913,8388608.0,131072.0,13885440.0,31407455.0,99.431062,12582912.0,2097152.0,0.0031972040000000004
0,2880,745,0,589824,0.9891790000000001,0.397978,28311552.0,294912.0,46577664.0,107598755.0,89.755676,42467328.0,7077888.0,0.010743
0,2880,745,0,1048576,0.993561,0.395986,67108864.0,524288.0,110067712.0,255255421.0,88.60603,100663296.0,16777217.0,0.025516999999999998
0,2880,745,0,1638400,0.995711,0.394708,131072000.0,819200.0,214579200.0,498933177.0,87.446779,196608000.0,32768000.0,0.049621
0,2880,745,0,2359296,0.997276,0.394177,226492416.0,1179648.0,370335744.0,861945342.0,87.395037,339738624.0,56623106.0,0.08554400000000001
0,2880,745,0,3211264,0.997817,0.39403699999999997,359661568.0,1605632.0,587560960.0,1367629783.0,87.363353,539492352.0,89915392.0,0.13575
