gpu_id,num_of_cores,max_clock_rate,l1_cache_used,threads_number,Achieved Occupancy,Executed IPC,Global Load Transactions,Global Store Transactions,Instructions Executed,Instructions Issued,L2 Hit Rate (L1 Reads),Shared Load Transactions,Shared Store Transactions,Duration
0,2880,745,0,131072,0.7479520000000001,0.934464,8192.0,4096.0,77824.0,92173.0,49.951172,0.0,0.0,7.52e-06
0,2880,745,0,262144,0.793621,0.7885939999999999,16384.0,8192.0,155648.0,191116.0,2.4536130000000003,0.0,0.0,1.9232e-05
0,2880,745,0,524288,0.812488,0.782882,32768.0,16384.0,311296.0,379362.0,0.0,0.0,0.0,3.7087e-05
0,2880,745,0,1048576,0.813971,0.805121,65536.0,32768.0,622592.0,756513.0,0.0,0.0,0.0,7.283100000000001e-05
0,2880,745,0,2097152,0.8165319999999999,0.807325,131072.0,65536.0,1245184.0,1514284.0,0.0,0.0,0.0,0.000142048
0,2880,745,0,4194304,0.817829,0.8274090000000001,262144.0,131072.0,2490368.0,3013297.0,0.0,0.0,0.0,0.000281024
0,2880,745,0,8388608,0.818773,0.825664,524288.0,262144.0,4980736.0,6040693.0,0.0,0.0,0.0,0.000559102
0,2880,745,0,12582912,0.820937,0.8226600000000001,786432.0,393216.0,7471104.0,9061653.0,0.0,0.0,0.0,0.000839517
0,2880,745,0,16777216,0.8210219999999999,0.8244540000000001,1048576.0,524288.0,9961472.0,12058099.0,0.0,0.0,0.0,0.001118395
0,2880,745,0,20971520,0.817263,0.832095,1310720.0,655360.0,12451840.0,15116446.0,0.0,0.0,0.0,0.001389657
0,2880,745,0,25165824,0.814335,0.8346809999999999,1572864.0,786432.0,14942208.0,18188769.0,0.0,0.0,0.0,0.0016678
0,2880,745,0,29360128,0.8210860000000001,0.81433,1835008.0,917504.0,17432576.0,21017537.0,0.0,0.0,0.0,0.001949559
0,2880,745,0,33554432,0.8206120000000001,0.812924,2097152.0,1048576.0,19922944.0,24197142.0,0.0,0.0,0.0,0.002233013
0,2880,745,0,37748736,0.815241,0.8127909999999999,2359296.0,1179648.0,22413312.0,27256549.0,0.0,0.0,0.0,0.002505972
0,2880,745,0,41943040,0.819024,0.8146909999999999,2621440.0,1310720.0,24903680.0,30084915.0,0.0,0.0,0.0,0.0027878259999999998
0,2880,745,0,46137344,0.8191970000000001,0.815886,2883584.0,1441792.0,27394048.0,33240268.0,0.0,0.0,0.0,0.00306264
0,2880,745,0,50331648,0.811823,0.8157399999999999,3145728.0,1572864.0,29884416.0,36355134.0,0.0,0.0,0.0,0.0033527820000000003
0,2880,745,0,54525952,0.8205049999999999,0.813158,3407872.0,1703936.0,32374784.0,38984873.0,0.0,0.0,0.0,0.003621102
0,2880,745,0,58720256,0.820149,0.815742,3670016.0,1835008.0,34865152.0,42326931.0,0.0,0.0,0.0,0.0038878520000000002
0,2880,745,0,62914560,0.8153630000000001,0.81211,3932160.0,1966080.0,37355520.0,45402234.0,0.0,0.0,0.0,0.004176939
