252,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,3975,3986,4664,4646,2332,2321,2303,2319,1988,1987,1988,1998,2466,2451,2457,2454,44370,44100,44271,44163,42386,42116,42287,42169,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,44386,44116,44305,44199,2470,2451,2457,2458,1343530,0,0,1143072,0,0,0,0,63504,0,0,0,0,0,0,0,0,0,0,0,2025,63504,1504575,1329823,201473,637875,36450,0,0,36450,2025,1214134,59684370,81,20250,0,0,0,0,0,0,0,96768,5376,127575,0,60318,3351,0,0,765450,38284,101864,5442,0,0
504,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,311876,313622,19170,18143,9590,9066,9007,9075,155918,156681,156245,156007,9912,9982,9943,9853,357588,355536,357120,358596,202466,199294,200382,201995,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,357604,355556,357154,358628,9916,9986,9943,9853,9926222,0,0,9144576,0,0,0,0,254016,0,0,0,0,0,0,0,0,0,0,0,8100,254016,11777400,10529515,1531919,5103000,291600,0,0,291600,8100,9867386,490477444,324,153900,0,0,0,0,0,0,0,789264,21924,1020600,0,497664,13824,0,0,6123600,293898,826009,22077,0,0
756,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,1042284,1059276,41147,41004,20590,20479,20436,20529,521053,529501,534864,526709,22246,22234,22257,22282,1201527,1202445,1200987,1202067,683705,674811,675746,675176,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1201545,1202461,1201019,1202099,22247,22234,22257,22286,33274654,0,0,30862944,0,0,0,0,571536,0,0,0,0,0,0,0,0,0,0,0,18225,571536,39457125,35330875,5085786,17222625,984150,0,0,984150,18225,33000004,1641240856,729,510300,0,0,0,0,0,0,0,2648646,49049,3444525,0,1664496,30824,0,0,20667150,989375,2763182,49082,0,0
1008,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,2511741,2526104,72887,73313,36443,36635,36575,36553,1255952,1262944,1259130,1288724,39672,39732,39685,39671,2858112,2857428,2858076,2857104,1603906,1595008,1590064,1581018,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,2858132,2857444,2858108,2857138,39672,39733,39689,39672,78926226,0,0,73156608,0,0,0,0,1016064,0,0,0,0,0,0,0,0,0,0,0,32400,1016064,93182400,83682914,11956633,40824000,2332800,0,0,2332800,32400,78762198,3927922822,1296,1198800,0,0,0,0,0,0,0,6295968,87444,8164800,0,3963168,55044,0,0,48988800,2359883,6545757,87550,0,0
1260,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,5127583,5138442,113807,113436,56885,56743,56818,56991,2563993,2569049,2528465,2518248,61907,61907,61915,61861,5572125,5571090,5570415,5569470,3003526,2981957,3032660,3007059,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,5572145,5571106,5570449,5569552,61912,61911,61915,61865,152694420,0,0,142884000,0,0,0,0,1587600,0,0,0,0,0,0,0,0,0,0,0,50625,1587600,181591875,162982846,23237896,79734375,4556250,0,0,4556250,50625,152408285,7597999528,2025,2328750,0,0,0,0,0,0,0,12247200,136080,15946875,0,7690950,85455,0,0,95681250,4585108,12912114,136168,0,0
1512,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,9126337,8764079,163372,163653,81661,81819,81806,81727,4562749,4381945,4479641,4375928,89276,89321,89297,89316,9645750,9645750,9643860,9643320,5039320,5125776,5114683,5178482,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9645853,9645768,9643892,9643354,89276,89321,89297,89320,264972480,0,0,246903552,0,0,0,0,2286144,0,0,0,0,0,0,0,0,0,0,0,72900,2286144,313324200,281775436,40023112,137781000,7873200,0,0,7873200,72900,264539177,13205522860,2916,4009500,0,0,0,0,0,0,0,21228480,196560,27556200,0,13355280,123660,0,0,165337200,7913961,22492235,196726,0,0
1764,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,14896744,15129869,222469,222880,111252,111455,110753,111328,7447305,7566541,7260809,7074292,121396,121351,121393,121401,15294069,15303204,15293061,15287832,7990405,7881438,7978409,8110358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15294085,15303222,15293095,15287868,121396,121351,121393,121402,418384582,0,0,392073696,0,0,0,0,3111696,0,0,0,0,0,0,0,0,0,0,0,99225,3111696,497018025,447320693,63405785,218791125,12502350,0,0,12502350,99225,417691035,20854909916,3969,6350400,0,0,0,0,0,0,0,33672996,267246,43758225,0,21170646,168021,0,0,262549350,12590243,35780982,267459,0,0
2016,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,22898083,22627860,290616,290715,145305,145371,145955,145585,11450712,11312460,11422834,11458604,158552,158757,158989,158742,22883544,22863888,22841784,22856544,11756157,11701263,11361348,11593797,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,22883560,22863904,22841816,22856576,158552,158761,158993,158743,627930266,0,0,585252864,0,0,0,0,4064256,0,0,0,0,0,0,0,0,0,0,0,129600,4064256,741312000,667863091,94479422,326592000,18662400,0,0,18662400,129600,627312477,31325258648,5184,9460800,0,0,0,0,0,0,0,50295168,349272,65318400,0,31632768,219672,0,0,391910400,18913674,54234528,349441,0,0
2268,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,31920844,32397928,365648,365094,182795,182659,183363,183781,15958876,16198904,15616854,15532425,200706,200778,200719,200669,32520042,32519070,32511213,32514939,17158644,16970654,16773537,16515385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,32520062,32519088,32511245,32514975,200706,200778,200719,200673,893306922,0,0,833299488,0,0,0,0,5143824,0,0,0,0,0,0,0,0,0,0,0,164025,5143824,1054844775,951891368,134337479,465010875,26572050,0,0,26572050,164025,892493297,44567928108,6561,13450050,0,0,0,0,0,0,0,71506638,441399,93002175,0,44934588,277374,0,0,558013050,26800555,77543518,441861,0,0
2520,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,43041156,40212767,451198,449907,225643,224932,225082,225462,21521861,20105736,20587633,21770552,248039,248079,248085,248047,44654310,44650890,44654220,44645580,24401345,22690029,22937072,23839303,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,44654330,44650910,44654252,44645612,248039,248083,248085,248048,1241077896,0,0,1143072000,0,0,0,0,6350400,0,0,0,0,0,0,0,0,0,0,0,202500,6350400,1446255000,1301453132,184073517,637875000,36450000,0,0,36450000,202500,1240361154,61945944620,8100,18427500,0,0,0,0,0,0,0,98317800,546210,127575000,0,61867800,343710,0,0,765450000,36570621,104359835,546295,0,0
