256,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,6535,6548,16247,16296,8125,8148,8132,8122,3280,3251,3280,3288,8192,8192,8192,8192,2228224,2228224,2228224,2228224,2224944,2224952,2224956,2224928,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,2228240,2228240,2228244,2228242,8192,8196,8197,8192,19129840,0,0,33554432,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,2048,65536,6088704,13726948,854659,0,0,0,0,1048576,2048,19070482,1131186296,256,314220,0,0,0,0,0,0,0,8912896,32768,0,0,7864320,30720,0,0,0,0,9841093,32768,0,0
512,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,619816,610646,64704,64716,32412,32301,32431,32351,302343,319567,314484,335520,32768,32768,32768,32768,17825792,17825792,17825792,17825792,17523299,17495911,17513796,17495499,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,17825808,17825812,17825808,17825812,32768,32768,32768,32768,153059928,0,0,268435456,0,0,0,0,262144,0,0,0,0,0,0,0,0,0,0,0,8192,262144,48472064,109573456,6727791,0,0,0,0,8388608,8192,151783855,9285047852,1024,2452183,0,0,0,0,0,0,0,71303168,131072,0,0,62914560,122880,0,0,0,0,78752800,131072,0,0
768,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,3110190,2966441,146382,146222,73191,73137,73067,73077,1543175,1495258,1548883,1511615,73728,73728,73728,73728,60162048,60162048,60162048,60162048,58841360,58692256,58777184,58720735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60162064,60162068,60162064,60162064,73728,73728,73733,73728,512952014,0,0,905969664,0,0,0,0,589824,0,0,0,0,0,0,0,0,0,0,0,18432,589824,163325952,369061546,22504684,0,0,0,0,28311552,18432,511165651,31325053136,2304,8254734,0,0,0,0,0,0,0,240648192,294912,0,0,212336640,276480,0,0,0,0,265211135,294912,0,0
1024,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,15789708,16082287,255719,254389,128108,126964,128893,127262,7711159,8118402,7437321,7221644,131072,131072,131072,131072,142606336,142606336,142606336,142606336,134886005,133981721,134585607,133960543,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,142606356,142606352,142606356,142606356,131076,131073,131077,131072,1225222452,0,0,2147483648,0,0,0,0,1048576,0,0,0,0,0,0,0,0,0,0,0,32768,1048576,386826240,878389636,53403551,0,0,0,0,67108864,32768,1220635935,74347713080,4096,20088759,0,0,0,0,0,0,0,570425344,524288,0,0,503316480,491520,0,0,0,0,633378952,524288,0,0
1280,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,35766975,34184591,404978,404010,202482,202003,202852,201621,17885527,17160424,22279483,18557319,204800,204800,204800,204800,278528000,278528000,278528000,278528000,260066089,259791768,256967807,260140818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,278528016,278528020,278528016,278528016,204800,204804,204804,204804,2376331050,0,0,4194304000,0,0,0,0,1638400,0,0,0,0,0,0,0,0,0,0,0,51200,1638400,755148800,1715615778,108199902,0,0,0,0,131072000,51200,2373509338,139048277232,6400,42644296,0,0,0,0,0,0,0,1114112000,819200,0,0,983040000,768000,0,0,0,0,1238362341,819200,0,0
1536,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,86972647,84157268,550964,547631,276257,273374,275218,276845,43255719,42932688,43901746,44044123,294912,294912,294912,294912,481296384,481296384,481296384,481296384,439299486,437923509,438086997,436093201,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,481296400,481296404,481296404,481296402,294912,294913,294912,294916,4475517128,0,0,7247757312,0,0,0,0,2359296,0,0,0,0,0,0,0,0,0,0,0,73728,2359296,1304469504,3212137606,178981935,0,0,0,0,226492416,73728,4469695079,274142862300,9216,66745139,0,0,0,0,0,0,0,1925185536,1179648,0,0,1698693120,1105920,0,0,0,0,2356867188,1179942,0,0
1792,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,135451762,145218631,774975,780991,387586,390526,390191,389006,67691000,72480372,68419898,76239996,401408,401408,401408,401408,764280832,764280832,764280832,764280832,691749433,695354764,693557073,696761541,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,764280848,764280850,764280852,764280848,401408,401413,401408,401408,6539939472,0,0,11509170176,0,0,0,0,3211264,0,0,0,0,0,0,0,0,0,0,0,100352,3211264,2070964224,4749430568,310171162,0,0,0,0,359661568,100352,6535206111,360695623048,12544,127560216,0,0,0,0,0,0,0,3057123328,1605632,0,0,2697461760,1505280,0,0,0,0,3419384314,1605632,0,0
2048,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,310440952,293502275,969776,966176,485264,482695,485181,475955,154443455,147863507,154025896,144883420,524288,524288,524288,524288,1140850688,1140850688,1140850688,1140850688,998766951,996159776,997018592,998610967,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,1140850706,1140850704,1140850706,1140850706,524288,524293,524288,524288,10414348252,0,0,17179869184,0,0,0,0,4194304,0,0,0,0,0,0,0,0,0,0,0,131072,4194304,3090808832,7378724006,448858199,0,0,0,0,536870912,131072,10407620518,582715962548,16384,179797245,0,0,0,0,0,0,0,4563402752,2097152,0,0,4026531840,1966080,0,0,0,0,5448312128,2097153,0,0
2304,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,287226737,282884481,1252723,1254805,626086,627189,622498,627521,143529836,142173989,132382693,153670521,663552,663552,663552,663552,1624375296,1624375296,1624375296,1624375296,1486202867,1483791150,1481553178,1488747132,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,4,1624375314,1624375312,1624375312,1624375314,663552,663552,663556,663556,14020628480,0,0,24461180928,0,0,0,0,5308416,0,0,0,0,0,0,0,0,0,0,0,165888,5308416,4400179200,10168595504,670176050,0,0,0,0,764411904,165888,14013967504,721700201434,20736,286815878,0,0,0,0,0,0,0,6497501184,2654208,0,0,5733089280,2488320,0,0,0,0,7278493648,2654237,0,0
2560,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,615931708,616394704,1490773,1493189,746406,744793,749110,747889,305632684,311192649,306199006,300399335,819200,819200,819200,819200,2228224000,2228224000,2228224000,2228224000,1920950896,1919039759,1926346735,1921984057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2228224050,2228224018,2228224020,2228224018,819200,819200,819205,819201,21660519864,0,0,33554432000,0,0,0,0,6553600,0,0,0,0,0,0,0,0,0,0,0,204800,6553600,6035251200,15427589189,820584922,0,0,0,0,1048576000,204800,21650861822,"<OVERFLOW>",25600,296391058,0,0,0,0,0,0,0,8912896000,3276800,0,0,7864320000,3072000,0,0,0,0,11610438046,3277962,0,0
2816,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,488748157,503986054,1861754,1873711,930681,937453,936534,932564,244239955,252062381,263587546,251116737,991232,991232,991232,991232,2965766144,2965766144,2965766144,2965766144,2713690207,2716427831,2718808054,2713714099,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2965766160,2965766160,2965766160,2965766160,991236,991233,991232,991232,25334858228,0,0,44660948992,0,0,0,0,7929856,0,0,0,0,0,0,0,0,0,0,0,247808,7929856,8032200704,18322948173,1243834494,0,0,0,0,1395654656,247808,25328945718,"<OVERFLOW>",30976,539984204,0,0,0,0,0,0,0,11863064576,3964928,0,0,10467409920,3717120,0,0,0,0,13225475334,3964947,0,0
3072,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,833958350,827395398,2106118,2107788,1054385,1050412,1057148,1054537,413970070,420015750,418548045,430811632,1179648,1179648,1179648,1179648,3850371072,3850371072,3850371072,3850371072,3437650030,3430090977,3436617890,3426475709,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,3850371092,3850371092,3850371090,3850371088,1179648,1179648,1179648,1179652,"<OVERFLOW>",0,0,57982058496,0,0,0,0,9437184,0,0,0,0,0,0,0,0,0,0,0,294912,9437184,10427203584,27249773580,1397295814,0,0,0,0,1811939328,294912,"<OVERFLOW>","<OVERFLOW>",36864,490627393,0,0,0,0,0,0,0,15401484288,4718592,0,0,13589544960,4423680,0,0,0,0,20405681038,4726284,0,0
3328,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,875929598,829343130,2594069,2578108,1296744,1289081,1288440,1287439,438048865,414595223,429097668,401140668,1384448,1384448,1384448,1384448,4895408128,4895408128,4895408128,4895408128,4470555890,4473094576,4467284612,4450474761,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,5,4895408148,4895408144,4895408144,4895408148,1384452,1384448,1384452,1384448,"<OVERFLOW>",0,0,73719087104,0,0,0,0,11075584,0,0,0,0,0,0,0,0,0,0,0,346112,11075584,13256435712,30185404188,2064866164,0,0,0,0,2303721472,346112,"<OVERFLOW>","<OVERFLOW>",43264,930679500,0,0,0,0,0,0,0,19581632512,5537792,0,0,17277911040,5191680,0,0,0,0,21794734392,5537797,0,0
