256,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,4103,8004,4096,4096,2048,2048,2048,2048,2052,4003,2052,2048,2048,2048,2048,2048,524288,524288,524288,524288,522240,522240,522240,522240,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,524304,524304,524304,524308,2048,2048,2048,2048,4553720,0,0,33554432,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,2048,65536,6088704,7415739,830582,0,0,0,0,1048576,2048,4473203,271627686,256,294189,0,0,0,0,0,0,0,1572864,4096,0,0,524288,2048,0,0,0,0,2777334,4096,0,0
512,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,359769,392664,16384,16384,8192,8192,8192,8192,179928,196079,155396,198928,8192,8192,8192,8192,4194304,4194304,4194304,4194304,4025118,4012732,4000178,4030978,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,4194320,4194324,4194324,4194320,8192,8192,8192,8192,35447694,0,0,268435456,0,0,0,0,262144,0,0,0,0,0,0,0,0,0,0,0,8192,262144,48472064,58911646,6602397,0,0,0,0,8388608,8192,35307067,2182994116,1024,2365187,0,0,0,0,0,0,0,12582912,16384,0,0,4194304,8192,0,0,0,0,22005820,16384,0,0
768,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,1841229,1807210,36864,36864,18432,18432,18432,18432,920538,903579,925760,912356,18432,18432,18432,18432,14155776,14155776,14155776,14155776,13237238,13240716,13243372,13243558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14155796,14155794,14155796,14155794,18432,18437,18432,18432,118597868,0,0,905969664,0,0,0,0,589824,0,0,0,0,0,0,0,0,0,0,0,18432,589824,163325952,198630168,22124277,0,0,0,0,28311552,18432,118513323,7380648236,2304,7870543,0,0,0,0,0,0,0,42467328,36864,0,0,14155776,18432,0,0,0,0,74528509,36864,0,0
1024,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,4537421,4506334,65536,65536,32768,32768,32768,32768,2266956,2253531,2245352,2265398,32768,32768,32768,32768,33554432,33554432,33554432,33554432,31309373,31299210,31283914,31305946,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33554452,33554448,33554452,33554452,32773,32768,32769,32773,281771652,0,0,2147483648,0,0,0,0,1048576,0,0,0,0,0,0,0,0,0,0,0,32768,1048576,386826240,471089158,52204353,0,0,0,0,67108864,32768,281331863,17649541030,4096,18500074,0,0,0,0,0,0,0,100663296,65536,0,0,33554432,32768,0,0,0,0,177152469,65536,0,0
1280,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,9082040,8828572,102400,102400,51200,51200,51200,51200,4533687,4414301,4532910,4524652,51200,51200,51200,51200,65536000,65536000,65536000,65536000,61039966,60947239,61078692,60981836,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,65536018,65536016,65536016,65536016,51205,51201,51204,51200,550294998,0,0,4194304000,0,0,0,0,1638400,0,0,0,0,0,0,0,0,0,0,0,51200,1638400,755148800,919750305,101586183,0,0,0,0,131072000,51200,549410607,34614861426,6400,35880951,0,0,0,0,0,0,0,196608000,102400,0,0,65536000,51200,0,0,0,0,346501244,102400,0,0
1536,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,16191676,15983615,147456,147456,73728,73728,73728,73728,8098100,7996438,7964585,8168563,73728,73728,73728,73728,113246208,113246208,113246208,113246208,105128611,105248492,105057016,105099430,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,113246228,113246260,113246224,113246224,73732,73733,73729,73732,950916204,0,0,7247757312,0,0,0,0,2359296,0,0,0,0,0,0,0,0,0,0,0,73728,2359296,1304469504,1589848384,175053145,0,0,0,0,226492416,73728,950256666,60069279226,9216,61073609,0,0,0,0,0,0,0,339738624,147456,0,0,113246208,73728,0,0,0,0,601478450,147456,0,0
1792,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,25353949,25820120,200704,200704,100352,100352,100352,100352,12684026,12900558,12619269,12624552,100352,100352,100352,100352,179830784,179830784,179830784,179830784,166903901,166868267,166943225,167189418,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,4,179830832,179830804,179830804,179830804,100356,100352,100352,100352,1512731076,0,0,11509170176,0,0,0,0,3211264,0,0,0,0,0,0,0,0,0,0,0,100352,3211264,2070964224,2527924776,276721975,0,0,0,0,359661568,100352,1512099775,96038735604,12544,96763125,0,0,0,0,0,0,0,539492352,200704,0,0,179830784,100352,0,0,0,0,956370343,200704,0,0
2048,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,39200358,39159390,262144,262144,131072,131072,131072,131072,19609579,19566888,20155046,19625964,131072,131072,131072,131072,268435456,268435456,268435456,268435456,248696686,249170846,248832327,248494710,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,268435472,268435560,268435472,268435474,131072,131072,131072,131072,2260277080,0,0,17179869184,0,0,0,0,4194304,0,0,0,0,0,0,0,0,0,0,0,131072,4194304,3090808832,3772475865,412780187,0,0,0,0,536870912,131072,2259152752,143713080788,16384,143740872,0,0,0,0,0,0,0,805306368,262144,0,0,268435456,131072,0,0,0,0,1430154966,262144,0,0
2304,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,56881663,57227868,331776,331776,165888,165888,165888,165888,28432462,28638680,28601946,28373939,165888,165888,165888,165888,382205952,382205952,382205952,382205952,353683977,353633698,353495804,354095895,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,382205972,382205972,382205970,382205970,165892,165889,165888,165892,3217008352,0,0,24461180928,0,0,0,0,5308416,0,0,0,0,0,0,0,0,0,0,0,165888,5308416,4400179200,5371732213,586741553,0,0,0,0,764411904,165888,3216383777,204665630270,20736,204745060,0,0,0,0,0,0,0,1146617856,331776,0,0,382205952,165888,0,0,0,0,2035612810,331776,0,0
2560,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,79642180,80912109,409600,409600,204800,204800,204800,204800,39791510,40459730,41172682,40872138,204800,204800,204800,204800,524288000,524288000,524288000,524288000,483260524,484169843,483982601,483037742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,524288020,524288016,524288020,524288020,204800,204800,204800,204800,4415509208,0,0,33554432000,0,0,0,0,6553600,0,0,0,0,0,0,0,0,0,0,0,204800,6553600,6035251200,7364908392,804955806,0,0,0,0,1048576000,204800,4414113109,281101140076,25600,279532676,0,0,0,0,0,0,0,1572864000,409600,0,0,524288000,204800,0,0,0,0,2796819837,409600,0,0
