"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
s,s,,,,,,,,B,B,KB,GB/s,,,,
0.750240,4.553400e-05,,,,,,,,,,256.000000,5.361721,"GeForce GTX 980 (0)","1","7","[CUDA memcpy HtoD]"
0.750330,4.160000e-06,256,1,1,128,1,1,8,0,0,,,"GeForce GTX 980 (0)","1","7","Bitonic_Sort(int*, int, int, int) [103]"
0.750348,2.752000e-06,256,1,1,128,1,1,8,0,0,,,"GeForce GTX 980 (0)","1","7","Bitonic_Sort(int*, int, int, int) [109]"
0.750362,2.751000e-06,256,1,1,128,1,1,8,0,0,,,"GeForce GTX 980 (0)","1","7","Bitonic_Sort(int*, int, int, int) [115]"
0.750376,2.624000e-06,256,1,1,128,1,1,8,0,0,,,"GeForce GTX 980 (0)","1","7","Bitonic_Sort(int*, int, int, int) [121]"
0.750390,2.624000e-06,256,1,1,128,1,1,8,0,0,,,"GeForce GTX 980 (0)","1","7","Bitonic_Sort(int*, int, int, int) [127]"
0.750404,2.592000e-06,256,1,1,128,1,1,8,0,0,,,"GeForce GTX 980 (0)","1","7","Bitonic_Sort(int*, int, int, int) [133]"
0.750418,2.624000e-06,256,1,1,128,1,1,8,0,0,,,"GeForce GTX 980 (0)","1","7","Bitonic_Sort(int*, int, int, int) [139]"
0.750432,2.624000e-06,256,1,1,128,1,1,8,0,0,,,"GeForce GTX 980 (0)","1","7","Bitonic_Sort(int*, int, int, int) [145]"
0.750446,2.624000e-06,256,1,1,128,1,1,8,0,0,,,"GeForce GTX 980 (0)","1","7","Bitonic_Sort(int*, int, int, int) [151]"
0.750461,2.624000e-06,256,1,1,128,1,1,8,0,0,,,"GeForce GTX 980 (0)","1","7","Bitonic_Sort(int*, int, int, int) [157]"
0.750475,2.016000e-06,256,1,1,128,1,1,8,0,0,,,"GeForce GTX 980 (0)","1","7","Bitonic_Sort(int*, int, int, int) [163]"
0.750488,2.048000e-06,256,1,1,128,1,1,8,0,0,,,"GeForce GTX 980 (0)","1","7","Bitonic_Sort(int*, int, int, int) [169]"
0.750503,2.112000e-06,256,1,1,128,1,1,8,0,0,,,"GeForce GTX 980 (0)","1","7","Bitonic_Sort(int*, int, int, int) [175]"
