252,"GeForce GTX TITAN Black (0)","2","14","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,0,20,4600,4605,2299,2292,2278,2289,0,23,0,4,2456,2462,2460,2450,44208,44163,44127,44406,44208,44163,44127,44402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,44268,44226,44130,44406,2458,2463,2460,2450,1451796,0,0,1143072,0,0,0,0,63504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,63504,1502550,1513263,111462,47119968,637875,36450,0,0,36450,2025,1239265,59456466,81,46992960,0,0,0,0,0,0,96768,5376,127575,0,60318,3351,0,0,765450,36868,97427,5447,0,0
504,"GeForce GTX TITAN Black (0)","2","14","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,32235,32260,18664,18616,9303,9334,9341,9374,16184,16052,16048,15993,9935,10832,9915,9928,357426,357012,356922,357480,341274,340884,340894,341512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357486,357077,356922,357480,9939,9916,9915,10722,10111602,0,0,9144576,0,0,0,0,254016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8100,254016,11769300,11983872,804827,369085248,5103000,291600,0,0,291600,8100,9757616,479990542,324,368577216,0,0,0,0,0,0,789264,21924,1020600,0,497664,13824,0,0,6123600,294291,803630,21983,0,0
756,"GeForce GTX TITAN Black (0)","2","14","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,962693,971850,40827,40760,20392,20428,20347,20418,486198,478863,481340,480788,22281,22291,22206,22241,1203525,1201878,1199853,1201770,721391,720025,723835,721080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1203585,1201938,1199858,1201770,22281,22296,22207,22241,33835956,0,0,30862944,0,0,0,0,571536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18225,571536,39438900,40345757,2627353,1236803904,17222625,984150,0,0,984150,18225,33158754,1645542560,729,1235660832,0,0,0,0,0,0,2648646,49049,3444525,0,1664496,30824,0,0,20667150,984404,2714813,49365,0,0
1008,"GeForce GTX TITAN Black (0)","2","14","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,2366232,2365767,72880,73041,36493,36400,36358,36507,1182297,1182488,1184526,1182685,39683,39698,39738,39953,2856132,2859336,2857860,2857392,1673357,1674975,1674630,1673852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,2859277,2859399,2857860,2857397,39688,39699,39739,39642,79077762,0,0,73156608,0,0,0,0,1016064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32400,1016064,93150000,95477401,6126536,2921184000,40824000,2332800,0,0,2332800,32400,78382735,3899824544,1296,2919151872,0,0,0,0,0,0,6295968,87444,8164800,0,3963168,55044,0,0,48988800,2333402,6431553,87701,0,0
1260,"GeForce GTX TITAN Black (0)","2","14","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,4604676,4633871,113912,113971,57054,57135,56985,57077,2313212,2310291,2308236,2305250,61897,61906,61898,61889,5570955,5572125,5567895,5572125,3265299,3262783,3256649,3261781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5571015,5572185,5570843,5573605,61898,61907,61903,61889,153518238,0,0,142884000,0,0,0,0,1587600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50625,1587600,181541250,186236766,11849161,5693133600,79734375,4556250,0,0,4556250,50625,152737061,7617438976,2025,5689958400,0,0,0,0,0,0,12247200,136080,15946875,0,7690950,85455,0,0,95681250,4556851,12489715,137077,0,0
1512,"GeForce GTX TITAN Black (0)","2","14","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,8026417,8047989,163692,163935,81681,81523,81703,81694,4003497,4015567,4026640,4014543,89295,89379,89259,89277,9641592,9645534,9643482,9648072,5635817,5621582,5624639,5634136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,9641671,9645594,9645766,9648075,89299,89384,89260,89277,265035234,0,0,246903552,0,0,0,0,2286144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72900,2286144,313251300,321665189,20342008,9823560768,137781000,7873200,0,0,7873200,72900,263940549,13162849772,2916,9818988480,0,0,0,0,0,0,21228480,196560,27556200,0,13355280,123660,0,0,165337200,7873934,21671834,197398,0,0
1764,"GeForce GTX TITAN Black (0)","2","14","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,12726456,12726534,223095,223100,111296,111590,111528,111427,6419638,6361384,6432766,6396902,121388,121351,121370,121432,15295014,15296463,15293313,15293376,8902411,8950586,8914076,8861895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,15297706,15296568,15293316,15293997,121389,121351,121371,121434,421148100,0,0,392073696,0,0,0,0,3111696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99225,3111696,496918800,510377028,32151831,15583373568,218791125,12502350,0,0,12502350,99225,419607866,20946080932,3969,15577150176,0,0,0,0,0,0,33672996,267246,43758225,0,21170646,168021,0,0,262549350,12504886,34365821,269278,0,0
2016,"GeForce GTX TITAN Black (0)","2","14","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,19256523,19313297,292100,292347,146106,146139,146325,146457,9633232,9620845,9603196,9655464,158775,158696,158844,158725,22869720,22861944,22859136,22854960,13225710,13243223,13221237,13184309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,22872404,22863480,22859155,22854965,158776,158696,158844,158725,627893130,0,0,585252864,0,0,0,0,4064256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129600,4064256,741182400,762100447,47825257,23243480064,326592000,18662400,0,0,18662400,129600,626779844,31294286780,5184,23235351552,0,0,0,0,0,0,50295168,349272,65318400,0,31632768,219672,0,0,391910400,18675326,51840916,350374,0,0
2268,"GeForce GTX TITAN Black (0)","2","14","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,27930816,27901086,367669,368098,183322,183400,183433,183610,14036163,13972262,14017086,13964751,200664,200756,200673,200779,32518098,32516235,32517207,32513724,18554378,18530985,18510126,18525297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32519459,32518195,32517226,32515008,200664,200756,200673,200784,893894640,0,0,833299488,0,0,0,0,5143824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164025,5143824,1054680750,1084918932,67909277,33074788320,465010875,26572050,0,0,26572050,164025,891906581,44559002332,6561,33064500672,0,0,0,0,0,0,71506638,441399,93002175,0,44934588,277374,0,0,558013050,26582175,74022963,447898,0,0
2520,"GeForce GTX TITAN Black (0)","2","14","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,38508657,38536510,455335,455597,227912,227794,227635,227700,19261296,19236580,19294666,19205392,247927,248079,248164,248080,44638650,44660520,44668620,44637210,25345988,25353225,25403055,25429269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,44640702,44661900,44668623,44639510,247931,248083,248164,248084,1225088946,0,0,1143072000,0,0,0,0,6350400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202500,6350400,1446052500,1487089324,92950410,45348206400,637875000,36450000,0,0,36450000,202500,1223549441,61111617870,8100,45335505600,0,0,0,0,0,0,98317800,546210,127575000,0,61867800,343710,0,0,765450000,36455590,100758856,548841,0,0
