64,256,
64,256,real	0m0.330s
64,256,user	0m0.068s
64,256,sys	0m0.152s
64,512,
64,512,real	0m0.437s
64,512,user	0m0.101s
64,512,sys	0m0.165s
64,768,
64,768,real	0m0.433s
64,768,user	0m0.114s
64,768,sys	0m0.186s
64,1024,
64,1024,real	0m0.432s
64,1024,user	0m0.120s
64,1024,sys	0m0.181s
128,256,
128,256,real	0m0.329s
128,256,user	0m0.057s
128,256,sys	0m0.172s
128,512,
128,512,real	0m0.434s
128,512,user	0m0.074s
128,512,sys	0m0.182s
128,768,
128,768,real	0m0.434s
128,768,user	0m0.128s
128,768,sys	0m0.182s
128,1024,
128,1024,real	0m0.434s
128,1024,user	0m0.134s
128,1024,sys	0m0.176s
256,256,
256,256,real	0m0.430s
256,256,user	0m0.113s
256,256,sys	0m0.153s
256,512,
256,512,real	0m0.431s
256,512,user	0m0.118s
256,512,sys	0m0.158s
256,768,
256,768,real	0m0.431s
256,768,user	0m0.145s
256,768,sys	0m0.180s
256,1024,
256,1024,real	0m0.431s
256,1024,user	0m0.151s
256,1024,sys	0m0.179s
512,256,
512,256,real	0m0.632s
512,256,user	0m0.326s
512,256,sys	0m0.168s
512,512,
512,512,real	0m0.629s
512,512,user	0m0.359s
512,512,sys	0m0.171s
512,768,
512,768,real	0m0.629s
512,768,user	0m0.384s
512,768,sys	0m0.168s
512,1024,
512,1024,real	0m0.733s
512,1024,user	0m0.372s
512,1024,sys	0m0.211s
1024,256,
1024,256,real	0m1.532s
1024,256,user	0m1.084s
1024,256,sys	0m0.211s
1024,512,
1024,512,real	0m1.433s
1024,512,user	0m1.145s
1024,512,sys	0m0.208s
1024,768,
1024,768,real	0m1.532s
1024,768,user	0m1.179s
1024,768,sys	0m0.216s
1024,1024,
1024,1024,real	0m1.547s
1024,1024,user	0m1.254s
1024,1024,sys	0m0.240s
