64,256,
64,256,real	0m0.330s
64,256,user	0m0.058s
64,256,sys	0m0.177s
64,512,
64,512,real	0m0.432s
64,512,user	0m0.092s
64,512,sys	0m0.175s
64,768,
64,768,real	0m0.434s
64,768,user	0m0.106s
64,768,sys	0m0.182s
64,1024,
64,1024,real	0m0.433s
64,1024,user	0m0.117s
64,1024,sys	0m0.186s
128,256,
128,256,real	0m0.330s
128,256,user	0m0.067s
128,256,sys	0m0.166s
128,512,
128,512,real	0m0.432s
128,512,user	0m0.095s
128,512,sys	0m0.183s
128,768,
128,768,real	0m0.439s
128,768,user	0m0.107s
128,768,sys	0m0.181s
128,1024,
128,1024,real	0m0.435s
128,1024,user	0m0.145s
128,1024,sys	0m0.159s
256,256,
256,256,real	0m0.433s
256,256,user	0m0.091s
256,256,sys	0m0.182s
256,512,
256,512,real	0m0.430s
256,512,user	0m0.129s
256,512,sys	0m0.157s
256,768,
256,768,real	0m0.432s
256,768,user	0m0.154s
256,768,sys	0m0.167s
256,1024,
256,1024,real	0m0.434s
256,1024,user	0m0.162s
256,1024,sys	0m0.177s
512,256,
512,256,real	0m0.630s
512,256,user	0m0.327s
512,256,sys	0m0.165s
512,512,
512,512,real	0m0.637s
512,512,user	0m0.359s
512,512,sys	0m0.173s
512,768,
512,768,real	0m0.635s
512,768,user	0m0.368s
512,768,sys	0m0.198s
512,1024,
512,1024,real	0m0.735s
512,1024,user	0m0.416s
512,1024,sys	0m0.200s
1024,256,
1024,256,real	0m1.432s
1024,256,user	0m1.046s
1024,256,sys	0m0.202s
1024,512,
1024,512,real	0m1.432s
1024,512,user	0m1.140s
1024,512,sys	0m0.201s
1024,768,
1024,768,real	0m1.531s
1024,768,user	0m1.184s
1024,768,sys	0m0.203s
1024,1024,
1024,1024,real	0m1.531s
1024,1024,user	0m1.196s
1024,1024,sys	0m0.253s
