5, 0:0.381 , 0:0.033 , 0:0.179
6, 0:0.331 , 0:0.065 , 0:0.146
7, 0:0.332 , 0:0.047 , 0:0.161
8, 0:0.334 , 0:0.057 , 0:0.163
9, 0:0.330 , 0:0.070 , 0:0.151
10, 0:0.337 , 0:0.075 , 0:0.163
11, 0:0.433 , 0:0.088 , 0:0.156
12, 0:0.435 , 0:0.058 , 0:0.203
13, 0:0.431 , 0:0.094 , 0:0.177
14, 0:0.429 , 0:0.084 , 0:0.197
15, 0:0.431 , 0:0.121 , 0:0.187
16, 0:0.429 , 0:0.128 , 0:0.195
17, 0:0.533 , 0:0.159 , 0:0.195
18, 0:0.536 , 0:0.173 , 0:0.216
19, 0:0.538 , 0:0.185 , 0:0.233
20, 0:0.639 , 0:0.241 , 0:0.219
21, 0:0.630 , 0:0.256 , 0:0.236
22, 0:0.734 , 0:0.288 , 0:0.252
23, 0:0.734 , 0:0.321 , 0:0.264
24, 0:0.737 , 0:0.349 , 0:0.290
25, 0:0.832 , 0:0.428 , 0:0.272
26, 0:0.932 , 0:0.482 , 0:0.287
27, 0:0.933 , 0:0.520 , 0:0.312
28, 0:1.034 , 0:0.535 , 0:0.373
29, 0:1.135 , 0:0.653 , 0:0.328
30, 0:1.231 , 0:0.706 , 0:0.360
31, 0:1.334 , 0:0.754 , 0:0.399
32, 0:1.436 , 0:0.775 , 0:0.471
33, 0:1.536 , 0:0.919 , 0:0.435
34, 0:1.632 , 0:1.018 , 0:0.457
35, 0:1.735 , 0:1.077 , 0:0.502
36, 0:1.837 , 0:1.226 , 0:0.477
37, 0:1.932 , 0:1.314 , 0:0.514
38, 0:2.133 , 0:1.369 , 0:0.599
39, 0:2.236 , 0:1.547 , 0:0.571
40, 0:2.437 , 0:1.571 , 0:0.695
41, 0:2.534 , 0:1.709 , 0:0.714
42, 0:2.732 , 0:1.863 , 0:0.720
43, 0:2.932 , 0:1.972 , 0:0.791
44, 0:3.137 , 0:2.050 , 0:0.906
45, 0:3.338 , 0:2.245 , 0:0.882
46, 0:3.535 , 0:2.346 , 0:0.993
47, 0:3.734 , 0:2.551 , 0:0.996
48, 0:3.938 , 0:2.710 , 0:1.074
49, 0:4.136 , 0:2.805 , 0:1.202
50, 0:4.443 , 0:3.177 , 0:1.083
51, 0:4.638 , 0:3.220 , 0:1.273
52, 0:4.941 , 0:3.419 , 0:1.334
53, 0:5.238 , 0:3.633 , 0:1.413
54, 0:5.477 , 0:3.975 , 0:1.335
55, 0:5.737 , 0:4.181 , 0:1.413
56, 0:6.038 , 0:4.355 , 0:1.549
57, 0:6.349 , 0:4.540 , 0:1.664
58, 0:6.737 , 0:4.848 , 0:1.699
59, 0:7.062 , 0:5.076 , 0:1.774
60, 0:7.342 , 0:5.380 , 0:1.835
61, 0:7.742 , 0:5.547 , 0:2.031
62, 0:8.039 , 0:5.971 , 0:1.951
63, 0:8.442 , 0:6.195 , 0:2.111
64, 0:8.842 , 0:6.593 , 0:2.140
65, 0:9.541 , 0:6.964 , 0:2.484
66, 0:9.745 , 0:7.180 , 0:2.402
67, 0:10.143 , 0:7.421 , 0:2.572
68, 0:10.546 , 0:7.764 , 0:2.646
69, 0:11.245 , 0:8.192 , 0:2.931
70, 0:11.750 , 0:8.736 , 0:2.894
71, 0:12.048 , 0:8.998 , 0:2.893
72, 0:12.544 , 0:9.345 , 0:3.005
73, 0:13.149 , 0:9.682 , 0:3.332
74, 0:14.350 , 0:10.701 , 0:3.515
75, 0:14.346 , 0:10.544 , 0:3.637
76, 0:15.350 , 0:11.369 , 0:3.861
77, 0:16.053 , 0:11.886 , 0:4.044
78, 0:16.153 , 0:11.833 , 0:4.215
79, 0:17.355 , 0:12.931 , 0:4.285
80, 0:17.451 , 0:12.786 , 0:4.573
81, 0:17.553 , 0:13.033 , 0:4.381
82, 0:18.756 , 0:13.814 , 0:4.817
83, 0:18.957 , 0:14.177 , 0:4.612
84, 0:19.656 , 0:14.640 , 0:4.868
85, 0:20.556 , 0:15.223 , 0:5.167
86, 0:21.361 , 0:15.800 , 0:5.381
87, 0:21.859 , 0:16.288 , 0:5.487
88, 0:23.362 , 0:17.586 , 0:5.611
89, 0:23.360 , 0:17.357 , 0:5.918
90, 0:25.570 , 0:19.138 , 0:6.302
91, 0:25.862 , 0:19.588 , 0:6.151
92, 0:26.266 , 0:19.691 , 0:6.435
93, 0:27.568 , 0:20.608 , 0:6.804
94, 0:29.972 , 0:22.414 , 0:7.425
95, 0:30.074 , 0:22.500 , 0:7.428
96, 0:30.968 , 0:23.223 , 0:7.671
97, 0:32.072 , 0:24.147 , 0:7.806
98, 0:32.170 , 0:24.241 , 0:7.856
99, 0:32.379 , 0:24.394 , 0:7.816
100, 0:32.971 , 0:24.770 , 0:8.064
