256, 0:0.330 , 0:0.055 , 0:0.149
512, 0:0.432 , 0:0.103 , 0:0.166
768, 0:0.531 , 0:0.241 , 0:0.168
1024, 0:0.933 , 0:0.571 , 0:0.184
1280, 0:1.530 , 0:1.209 , 0:0.154
1536, 0:3.135 , 0:2.856 , 0:0.166
1792, 0:5.983 , 0:5.584 , 0:0.206
2048, 0:16.454 , 0:16.170 , 0:0.211
2304, 0:17.652 , 0:17.358 , 0:0.230
2560, 0:26.768 , 0:26.452 , 0:0.248
2816, 0:38.577 , 0:38.246 , 0:0.262
3072, 1:1.408 , 1:1.051 , 0:0.305
3328, 1:11.320 , 1:10.984 , 0:0.311
3584, 1:34.850 , 1:34.469 , 0:0.363
3840, 1:58.878 , 1:58.523 , 0:0.416
4096, 3:14.769 , 3:14.360 , 0:0.554
4352, 3:4.258 , 3:3.767 , 0:0.581
4608, 3:55.522 , 3:55.209 , 0:0.530
4864, 4:15.952 , 4:15.365 , 0:0.843
5120, 6:39.433 , 6:39.255 , 0:0.662
5376, 6:30.917 , 6:30.546 , 0:0.776
5632, 7:58.029 , 7:57.743 , 0:0.829
5888, 8:28.667 , 8:28.076 , 0:1.063
6144, 11:39.511 , 11:38.982 , 0:1.207
6400, 11:34.094 , 11:33.628 , 0:1.127
6656, 14:16.802 , 14:16.057 , 0:1.501
6912, 15:9.974 , 15:9.422 , 0:1.551
7168, 19:44.719 , 19:44.340 , 0:1.716
7424, 20:3.634 , 20:3.164 , 0:1.838
7680, 23:42.934 , 23:41.747 , 0:2.875
7936, 25:22.047 , 25:21.386 , 0:2.163
8192, 32:52.795 , 32:51.923 , 0:2.785
