20, 0:0.830 , 0:0.431 , 0:0.294
21, 0:0.935 , 0:0.472 , 0:0.284
22, 0:0.933 , 0:0.459 , 0:0.325
23, 0:0.934 , 0:0.489 , 0:0.318
24, 0:1.035 , 0:0.503 , 0:0.339
25, 0:1.033 , 0:0.476 , 0:0.379
26, 0:1.034 , 0:0.587 , 0:0.314
27, 0:1.033 , 0:0.603 , 0:0.328
28, 0:1.035 , 0:0.560 , 0:0.374
29, 0:1.134 , 0:0.578 , 0:0.398
30, 0:1.131 , 0:0.620 , 0:0.363
31, 0:1.130 , 0:0.675 , 0:0.343
32, 0:1.241 , 0:0.692 , 0:0.364
33, 0:1.235 , 0:0.664 , 0:0.419
34, 0:1.230 , 0:0.712 , 0:0.362
35, 0:1.234 , 0:0.716 , 0:0.399
36, 0:1.334 , 0:0.730 , 0:0.412
37, 0:1.333 , 0:0.788 , 0:0.373
38, 0:1.330 , 0:0.796 , 0:0.385
39, 0:1.334 , 0:0.786 , 0:0.422
40, 0:1.434 , 0:0.759 , 0:0.485
41, 0:1.430 , 0:0.808 , 0:0.454
42, 0:1.438 , 0:0.893 , 0:0.402
43, 0:1.432 , 0:0.880 , 0:0.433
44, 0:1.531 , 0:0.890 , 0:0.448
45, 0:1.535 , 0:0.886 , 0:0.471
46, 0:1.533 , 0:0.882 , 0:0.512
47, 0:1.536 , 0:0.905 , 0:0.513
48, 0:1.633 , 0:0.992 , 0:0.442
49, 0:1.631 , 0:0.960 , 0:0.498
50, 0:1.636 , 0:1.035 , 0:0.460
51, 0:1.631 , 0:1.011 , 0:0.494
52, 0:1.734 , 0:1.026 , 0:0.515
53, 0:1.741 , 0:1.029 , 0:0.553
54, 0:1.734 , 0:1.090 , 0:0.521
55, 0:1.732 , 0:1.077 , 0:0.543
56, 0:1.934 , 0:1.160 , 0:0.496
57, 0:1.835 , 0:1.159 , 0:0.527
58, 0:1.831 , 0:1.152 , 0:0.553
59, 0:1.835 , 0:1.141 , 0:0.586
60, 0:1.939 , 0:1.178 , 0:0.582
61, 0:1.936 , 0:1.147 , 0:0.625
62, 0:1.944 , 0:1.258 , 0:0.561
63, 0:1.930 , 0:1.236 , 0:0.590
64, 0:2.033 , 0:1.288 , 0:0.562
65, 0:2.034 , 0:1.316 , 0:0.556
66, 0:2.034 , 0:1.277 , 0:0.622
67, 0:2.336 , 0:1.294 , 0:0.650
68, 0:2.138 , 0:1.337 , 0:0.631
69, 0:2.134 , 0:1.402 , 0:0.586
70, 0:2.239 , 0:1.328 , 0:0.708
71, 0:2.238 , 0:1.466 , 0:0.589
72, 0:2.234 , 0:1.422 , 0:0.630
73, 0:2.235 , 0:1.420 , 0:0.673
74, 0:2.235 , 0:1.501 , 0:0.633
75, 0:2.236 , 0:1.449 , 0:0.692
76, 0:2.332 , 0:1.470 , 0:0.696
77, 0:2.337 , 0:1.483 , 0:0.707
78, 0:2.332 , 0:1.544 , 0:0.683
79, 0:2.335 , 0:1.570 , 0:0.665
80, 0:2.432 , 0:1.478 , 0:0.795
81, 0:2.436 , 0:1.566 , 0:0.736
82, 0:2.434 , 0:1.590 , 0:0.733
83, 0:2.538 , 0:1.545 , 0:0.810
84, 0:2.535 , 0:1.663 , 0:0.708
85, 0:2.536 , 0:1.631 , 0:0.764
86, 0:2.536 , 0:1.711 , 0:0.715
87, 0:2.638 , 0:1.713 , 0:0.740
88, 0:2.632 , 0:1.643 , 0:0.832
89, 0:2.635 , 0:1.740 , 0:0.760
90, 0:2.632 , 0:1.729 , 0:0.782
91, 0:2.735 , 0:1.719 , 0:0.851
92, 0:2.734 , 0:1.799 , 0:0.781
93, 0:2.731 , 0:1.864 , 0:0.757
94, 0:2.732 , 0:1.862 , 0:0.772
95, 0:2.836 , 0:1.837 , 0:0.815
96, 0:2.831 , 0:1.891 , 0:0.816
97, 0:2.834 , 0:1.962 , 0:0.771
98, 0:2.942 , 0:1.888 , 0:0.868
99, 0:2.932 , 0:1.831 , 0:0.960
100, 0:2.937 , 0:1.949 , 0:0.858
101, 0:2.936 , 0:1.958 , 0:0.862
102, 0:2.933 , 0:2.033 , 0:0.781
103, 0:3.037 , 0:2.046 , 0:0.800
104, 0:3.032 , 0:2.053 , 0:0.830
