256, 0:0.431 , 0:0.122 , 0:0.180
512, 0:0.537 , 0:0.188 , 0:0.231
768, 0:0.651 , 0:0.329 , 0:0.278
1024, 0:0.895 , 0:0.533 , 0:0.308
1280, 0:1.256 , 0:0.837 , 0:0.369
1536, 0:1.738 , 0:1.155 , 0:0.530
1792, 0:2.393 , 0:1.709 , 0:0.634
2048, 0:3.214 , 0:2.329 , 0:0.836
2304, 0:4.517 , 0:3.251 , 0:1.219
2560, 0:5.725 , 0:4.147 , 0:1.532
2816, 0:7.285 , 0:5.369 , 0:1.873
3072, 0:9.930 , 0:7.273 , 0:2.621
3328, 0:11.470 , 0:8.389 , 0:3.044
3584, 0:14.080 , 0:10.188 , 0:3.835
3840, 0:20.973 , 0:15.474 , 0:5.469
4096, 0:20.221 , 0:14.694 , 0:5.445
4352, 0:24.714 , 0:18.268 , 0:6.415
4608, 0:34.359 , 0:25.321 , 0:9.016
4864, 0:34.315 , 0:24.747 , 0:9.336
5120, 0:40.563 , 0:30.128 , 0:10.421
5376, 0:51.422 , 0:37.171 , 0:14.255
5632, 0:50.812 , 0:37.303 , 0:13.506
5888, 0:54.957 , 0:40.510 , 0:14.434
6144, 1:13.066 , 0:53.727 , 0:19.321
6400, 1:13.476 , 0:53.864 , 0:19.635
6656, 1:21.483 , 0:59.739 , 0:21.775
6912, 1:45.863 , 1:17.539 , 0:28.374
7168, 1:44.505 , 1:17.006 , 0:27.550
7424, 1:55.575 , 1:25.380 , 0:30.273
7680, 2:51.688 , 2:6.584 , 0:45.215
7936, 2:20.329 , 1:42.722 , 0:37.704
8192, 2:36.562 , 1:54.715 , 0:41.946
