"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int)",270336,270336,139264,139264,0,0,0,192,0,0,4,8,0,0,0,0,65536,65536,65536,65536,2048,2048,2048,2048,65536,65536,65536,65536,2048,2048,2048,2048,65560,65552,65544,65560,2048,2049,2049,2052,0,0,0,0,0,0,1,4,997176,0,0,2097152,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,2048,2495052,901376,532736,1966080,62914560,62783488,0,0,655360,65536,0,0,0,0,0,65536,2048,0,36864,980911,60632316,7610700,256,0,0,786432,65536
"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int)",2129920,2129920,1081344,1081344,32817,32596,27921,27818,13969,13952,13920,13941,16417,16400,16400,16393,524288,524288,524288,524288,8192,8192,8192,8192,508024,508024,508020,508020,4096,4096,4096,4096,524288,524288,524296,524304,8196,8192,8193,8193,0,0,0,0,0,4,0,1,7771188,0,0,16777216,0,0,0,0,262144,0,0,0,0,0,0,0,0,0,0,8192,19721728,7012608,4227328,15466496,494927872,494403584,0,0,5242880,524288,0,0,0,0,0,524288,8192,0,278528,7746497,490832242,61424087,1024,0,0,6291456,524288
"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int)",16908288,16908288,8519680,8519680,4265097,4266340,83820,84022,41913,41907,41902,41914,2132320,2132777,2133456,2132960,4194304,4194304,4194304,4194304,32768,32768,32768,32768,2064384,2064380,2064380,2064380,16384,16384,16384,16384,4196672,4197136,4197800,4197296,32768,32769,32768,32773,0,0,0,0,0,0,0,5,62227348,0,0,134217728,0,0,0,0,1048576,0,0,0,0,0,0,0,0,0,0,32768,159665008,55312640,33685760,122683392,3925868544,3923771392,0,0,41943040,4194304,0,0,0,0,0,4194304,32768,0,2162688,62116939,3962926548,496041494,4096,0,0,50331648,4194304
"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int)",134742016,134742016,67633152,67633152,33856952,33866944,281258,281002,140649,140609,140776,140780,16926796,16930156,16934853,16931268,33554432,33554432,33554432,33554432,131072,131072,131072,131072,16643760,16643760,16643760,16643756,65536,65536,65536,65536,33573168,33576888,33582254,33578288,131073,131077,131072,131072,0,0,0,0,4,1,0,0,501352564,0,0,1073741824,0,0,0,0,4194304,0,0,0,0,0,0,0,0,0,0,131072,1282822704,439353600,268960000,977272832,31272730624,31264342016,0,0,335544320,33554432,0,0,0,0,0,33554432,131072,0,17039360,501105121,32038271532,3971398616,16384,0,0,402653184,33554432
"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int)",1075838976,1075838976,538968064,538968064,271465036,271465680,1067858,1067722,533934,533924,533888,533904,135719924,135745112,135785233,135756224,268435456,268435456,268435456,268435456,524288,524288,524288,524288,133052336,133054036,133052188,133052512,247498,247530,247516,247480,268569789,268597096,268635496,268606372,524289,524288,524292,524289,0,0,0,0,0,0,4,1,3990418676,0,0,8589934592,0,0,0,0,16777216,0,0,0,0,0,0,0,0,0,0,524288,10316816436,3502244096,2149581056,7801405440,249644974080,249611419648,0,0,2684354560,268435456,0,0,0,0,0,268435456,524288,0,135266304,3990188675,255268072450,31850274744,65536,0,0,3221225472,268435456
"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int)",8598323200,8598323200,4303355904,4303355904,2441408585,2444349251,4214604,4213806,2107300,2107304,2107291,2107293,1220653753,1220754832,1221123868,1220913968,2147483648,2147483648,2147483648,2147483648,2097152,2097152,2097152,2097152,928060880,928155712,928060440,928059384,490196,490340,490184,490148,2148440272,2148635384,2148909160,2148701032,2097153,2097156,2097152,2097153,0,0,0,0,0,4,0,1,"<OVERFLOW>",0,0,68719476736,0,0,0,0,67108864,0,0,0,0,0,0,0,0,0,0,2097152,83082362480,27967619328,17188258048,62344134656,1995012308992,1994878091264,0,0,21474836480,2147483648,0,0,0,0,0,2147483648,2097152,0,1077936128,32141799071,2056708012122,257078803020,262144,0,0,25769803776,2147483648
