"GeForce GTX 750 (0)","1","7","VecAdd(float const *, float const *, float*, int)",49152,49152,32768,32768,11089,684,9381,5861,4677,4704,4728,4755,5549,5540,5524,5549,8192,8192,8192,8192,4096,4096,4096,4096,8008,8004,7980,7956,0,0,0,0,8192,8192,8200,8208,4101,4096,4096,4097,0,0,0,0,0,4,0,1,100992,0,0,262144,0,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,4096,101900,78336,4096,86016,2752512,2621440,0,0,0,0,0,0,0,0,0,8192,4096,0,8192,84883,4787548,305805,512,0,0,0,0
"GeForce GTX 750 (0)","1","7","VecAdd(float const *, float const *, float*, int)",98304,98304,65536,65536,24901,25273,19180,18996,9612,9568,9542,9572,12473,12428,12468,12424,16384,16384,16384,16384,8192,8192,8192,8192,3916,4032,3852,3964,0,0,0,0,16384,16392,16392,16392,8192,8192,8193,8197,0,0,0,0,0,0,5,0,186016,0,0,524288,0,0,0,0,262144,0,0,0,0,0,0,0,0,0,0,8192,514052,156160,8192,172032,5505024,5242880,0,0,0,0,0,0,0,0,0,16384,8192,0,16384,170716,9667076,1258787,1024,0,0,0,0
"GeForce GTX 750 (0)","1","7","VecAdd(float const *, float const *, float*, int)",196608,196608,131072,131072,70408,65545,36162,34456,18154,18008,17616,17688,35016,35392,36015,35616,32768,32768,32768,32768,16384,16384,16384,16384,0,0,0,0,0,0,0,0,32793,32776,32784,32788,16384,16388,16384,16386,0,0,0,0,0,4,0,1,435200,0,0,1048576,0,0,0,0,524288,0,0,0,0,0,0,0,0,0,0,16384,1186904,311808,16384,344064,11010048,10485760,0,0,0,0,0,0,0,0,0,32768,16384,0,32768,420290,24146268,2789514,2048,0,0,0,0
"GeForce GTX 750 (0)","1","7","VecAdd(float const *, float const *, float*, int)",393216,393216,262144,262144,131097,131081,66612,66724,33348,33264,33242,33240,65553,65544,65544,65536,65536,65536,65536,65536,32768,32768,32768,32768,0,0,0,0,0,0,0,0,65561,65544,65560,65560,32769,32768,32769,32772,0,0,0,0,0,0,5,0,760160,0,0,2097152,0,0,0,0,1048576,0,0,0,0,0,0,0,0,0,0,32768,2320310,623104,32768,688128,22020096,20971520,0,0,0,0,0,0,0,0,0,65536,32768,0,65536,744488,42954918,5577131,4096,0,0,0,0
"GeForce GTX 750 (0)","1","7","VecAdd(float const *, float const *, float*, int)",786432,786432,524288,524288,262145,262153,130628,130436,65322,65306,65406,65340,131072,131073,131080,131072,131072,131072,131072,131072,65536,65536,65536,65536,0,0,0,0,0,0,0,0,131136,131192,131096,131080,65540,65537,65536,65537,0,0,0,0,0,5,0,0,1488800,0,0,4194304,0,0,0,0,2097152,0,0,0,0,0,0,0,0,0,0,65536,4592726,1245696,65536,1376256,44040192,41943040,0,0,0,0,0,0,0,0,0,131072,65536,0,131072,1473378,84975962,11043755,8192,0,0,0,0
"GeForce GTX 750 (0)","1","7","VecAdd(float const *, float const *, float*, int)",1572864,1572864,1048576,1048576,524288,524296,264170,264606,132053,132117,132148,132176,262144,262144,262153,262144,262144,262144,262144,262144,131072,131072,131072,131072,0,0,0,0,0,0,0,0,262152,262144,262152,262152,131076,131072,131073,131073,0,0,0,0,4,0,1,0,2964992,0,0,8388608,0,0,0,0,4194304,0,0,0,0,0,0,0,0,0,0,131072,9170188,2490880,131072,2752512,88080384,83886080,0,0,0,0,0,0,0,0,0,262144,131072,0,262144,2948617,168849618,22110778,16384,0,0,0,0
"GeForce GTX 750 (0)","1","7","VecAdd(float const *, float const *, float*, int)",3145728,3145728,2097152,2097152,1048625,1048585,526828,526740,263469,263359,263058,263092,524304,524321,524524,524416,524288,524288,524288,524288,262144,262144,262144,262144,0,0,0,0,0,0,0,0,526528,526904,527534,527144,262148,262144,262144,262146,0,0,0,0,4,0,0,1,5961092,0,0,16777216,0,0,0,0,8388608,0,0,0,0,0,0,0,0,0,0,262144,18560347,4981248,262144,5505024,176160768,167772160,0,0,0,0,0,0,0,0,0,524288,262144,0,524288,5945396,344351840,44585615,32768,0,0,0,0
