256,"GeForce GTX 980 (0)","2","14","matMul(float*, float*, float*, int, int)",3153920,3153920,137459,132448,0,0,12,16,8,16,4,0,126760,126763,4096,4096,127221,126914,4096,4096,128519,128102,4096,4102,0,0,4,1,2666864,0,0,33554432,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,2048,852458,8444928,1190912,10823680,346357760,346161152,0,0,0,0,0,0,0,0,0,1048576,2048,0,141312,2590288,140466446,18317650,256,0,0,0,0
512,"GeForce GTX 980 (0)","2","14","matMul(float*, float*, float*, int, int)",25247808,25149376,1596338,1551820,31555,141972,23338,23296,23325,23325,31475,31596,1541012,1541610,16384,16384,1479110,1479254,8192,8192,1541402,1542664,16384,16390,0,0,4,1,21258524,0,0,268435456,0,0,0,0,262144,0,0,0,0,0,0,0,0,0,0,8192,5243983,67330803,9479168,86286336,2761162752,2760376320,0,0,0,0,0,0,0,0,0,8388608,8192,0,1089536,20582361,1210605064,158758561,1024,0,0,0,0
768,"GeForce GTX 980 (0)","2","14","matMul(float*, float*, float*, int, int)",85155968,84860800,7303136,6940416,867184,797074,49485,49544,49487,49518,866468,867763,7047861,7048235,36864,36864,6097489,6095482,15206,15180,7063137,7061413,36868,36866,0,0,4,1,70797580,0,0,905969664,0,0,0,0,589824,0,0,0,0,0,0,0,0,0,0,18432,18306524,226990832,31943680,290875392,9308012544,9306243072,0,0,0,0,0,0,0,0,0,28311552,18432,0,3631104,69473138,4098057940,543235493,2304,0,0,0,0
1024,"GeForce GTX 980 (0)","2","14","matMul(float*, float*, float*, int, int)",201556032,201359296,19858323,18970107,4089210,3926752,78596,78694,78574,78604,4089734,4088504,19283742,19282544,65536,65536,15548114,15547034,29752,29720,19214056,19214971,65537,65541,0,0,1,4,164834140,0,0,2147483648,0,0,0,0,1048576,0,0,0,0,0,0,0,0,0,0,32768,42191422,537756672,75662336,689078272,22050504704,22047358976,0,0,0,0,0,0,0,0,0,67108864,32768,0,8552448,164195124,9837827810,1296019038,4096,0,0,0,0
1280,"GeForce GTX 980 (0)","2","14","matMul(float*, float*, float*, int, int)",393666688,393174912,45495762,42109176,8602559,8579833,115782,115800,115732,115782,8602609,8605044,43598139,43597199,102400,102400,35290525,35299051,30054,29930,43840338,43840689,102401,102405,0,0,1,4,322211628,0,0,4194304000,0,0,0,0,1638400,0,0,0,0,0,0,0,0,0,0,51200,84267936,1049959424,147713024,1345382400,43052236800,43047321600,0,0,0,0,0,0,0,0,0,131072000,51200,0,16640000,320764128,19012942440,2507915162,6400,0,0,0,0
1536,"GeForce GTX 980 (0)","2","14","matMul(float*, float*, float*, int, int)",680214720,679329600,80949356,77879185,15877959,15945220,161002,160808,160998,160994,15884770,15875691,79133605,79105112,147456,147456,63160368,63187868,34700,34736,79114216,79112936,147457,147461,0,0,1,4,556333128,0,0,7247757312,0,0,0,0,2359296,0,0,0,0,0,0,0,0,0,0,73728,145612748,1813930734,255173632,2324275200,74376806400,74369728512,0,0,0,0,0,0,0,0,0,226492416,73728,0,28680192,554330495,33256492038,4366935484,9216,0,0,0,0
1792,"GeForce GTX 980 (0)","2","14","matMul(float*, float*, float*, int, int)",1079558208,1079214016,142039012,130290288,27030277,27454815,214044,214374,214178,214136,26993998,26967836,135757441,135769043,200704,200704,108948780,108966829,53020,53350,136434862,136446143,200705,200709,0,0,5,0,879853712,0,0,11509170176,0,0,0,0,3211264,0,0,0,0,0,0,0,0,0,0,100352,225451387,2880002799,405122048,3690244096,118087811072,118078177280,0,0,0,0,0,0,0,0,0,359661568,100352,0,45459456,878105648,52998541516,6906395229,12544,0,0,0,0
2048,"GeForce GTX 980 (0)","2","14","matMul(float*, float*, float*, int, int)",1611137024,1611137024,227340550,193455829,42436438,41835252,275574,275684,275593,275533,42434504,42438147,209873727,209874076,262144,262144,168810169,168807974,54012,54896,212456616,212465015,262145,262149,0,0,1,4,1312561972,0,0,17179869184,0,0,0,0,4194304,0,0,0,0,0,0,0,0,0,0,131072,336694339,4298506995,604636160,5507776512,176248848384,176236265472,0,0,0,0,0,0,0,0,0,536870912,131072,0,67764224,1309969325,76841119626,10160769765,16384,0,0,0,0
2304,"GeForce GTX 980 (0)","2","14","matMul(float*, float*, float*, int, int)",2293899264,2293899264,327681617,299209422,66538623,68807612,344496,345496,344519,344589,66508245,66519091,312779320,312784615,331776,331776,245777769,245735320,70572,70278,314086772,314080659,331777,331781,0,0,5,0,1870988508,0,0,24461180928,0,0,0,0,5308416,0,0,0,0,0,0,0,0,0,0,165888,485826588,6119775232,860793856,7841359872,250923515904,250907590656,0,0,0,0,0,0,0,0,0,764411904,165888,0,96380928,1867525405,111385857424,14631055005,20736,0,0,0,0
2560,"GeForce GTX 980 (0)","2","14","matMul(float*, float*, float*, int, int)",3146547200,3146547200,462171770,443443123,94246075,103551412,423330,423316,423347,423345,94164163,94228210,451973055,452003438,409600,409600,356881129,356881657,95004,94880,452241213,452280796,409600,409606,0,0,4,1,2562612100,0,0,33554432000,0,0,0,0,6553600,0,0,0,0,0,0,0,0,0,0,204800,667289778,8394138624,1180673024,10755481600,344175411200,344155750400,0,0,0,0,0,0,0,0,0,1048576000,204800,0,132096000,2559394244,154900049098,20260476996,25600,0,0,0,0
2816,"GeForce GTX 980 (0)","2","14","matMul(float*, float*, float*, int, int)",4188225600,4187684800,639026204,575856677,148353259,147984154,509336,509346,509346,509394,148534215,148459634,606437920,606462497,495616,495616,460343792,460361293,72684,72548,608442377,608436769,495621,495617,0,0,5,0,3415035948,0,0,44660948992,0,0,0,0,7929856,0,0,0,0,0,0,0,0,0,0,247808,897595979,11171928821,1571351552,14314629120,458068131840,458044342272,0,0,0,0,0,0,0,0,0,1395654656,247808,0,175695872,3411479377,203142596388,26572792419,30976,0,0,0,0
3072,"GeForce GTX 980 (0)","2","14","matMul(float*, float*, float*, int, int)",5436997632,5436997632,826701158,767041107,208867497,210284201,603556,603592,603566,603560,208488389,208466726,795675657,795707312,589824,589824,588628656,588585190,70280,70528,798148922,798150772,589829,589825,0,0,1,4,4441236696,0,0,57982058496,0,0,0,0,9437184,0,0,0,0,0,0,0,0,0,0,294912,1203863367,14503478001,2039907328,18583289856,594665275392,594636963840,0,0,0,0,0,0,0,0,0,1811939328,294912,0,227966976,4436594350,263278136872,34621518511,36864,0,0,0,0
3328,"GeForce GTX 980 (0)","2","14","matMul(float*, float*, float*, int, int)",6912548864,6912548864,1053586354,989084523,277154620,268986638,705993,706034,706031,706043,277234729,277075007,1019943973,1019958008,692224,692224,725266076,725410730,88622,88418,1028838784,1028861810,692261,692241,0,0,1,4,5660544012,0,0,73719087104,0,0,0,0,11075584,0,0,0,0,0,0,0,0,0,0,346112,1643946184,18439117552,2593418240,23625951232,756030439424,755997212672,0,0,0,0,0,0,0,0,0,2303721472,346112,0,289695744,5656968994,339451608776,44305526298,43265,1,1,0,0
3584,"GeForce GTX 980 (0)","2","14","matMul(float*, float*, float*, int, int)",8633827392,8633139136,1310195994,1164299839,382546244,394758888,816621,816709,816615,816603,382406036,382410762,1235634324,1235650245,802816,802816,874921165,874957976,29196,29326,1264017188,1264037694,802821,802817,0,0,5,0,7117417072,0,0,92073361408,0,0,0,0,12845056,0,0,0,0,0,0,0,0,0,0,401408,2181128166,23029179120,3238962176,29507100672,944227221504,944188686336,0,0,0,0,0,0,0,0,0,2877292544,401408,0,361668608,7113826250,423647226588,54708998698,50176,0,0,0,0
3840,"GeForce GTX 980 (0)","2","14","matMul(float*, float*, float*, int, int)",10619043904,10618306496,1635062690,1418623053,473884883,482371845,935169,935419,935129,935112,474046317,473820981,1525004755,1524994588,921600,921600,1015023944,1015161270,18474,18382,1513264448,1513286222,921601,921605,0,0,5,0,8905980056,0,0,113246208000,0,0,0,0,14745600,0,0,0,0,0,0,0,0,0,0,460800,3201236740,28323994350,3983617024,36291225600,1161319219200,1161274982400,0,0,0,0,0,0,0,0,0,3538944000,460800,0,444672000,8903865267,520063896824,67360795843,57600,0,0,1,0
4096,"GeForce GTX 980 (0)","2","14","matMul(float*, float*, float*, int, int)",12887392320,12886605760,2005534129,1687730184,686127047,672252439,1062591,1062491,1062576,1062590,686119551,686113386,1844541181,1844528828,1048576,1048576,1174717052,1174723600,10704,10702,1849770164,1849776701,1048577,1048581,0,0,1,4,10673747132,0,0,137438953472,0,0,0,0,16777216,0,0,0,0,0,0,0,0,0,0,524288,3369283409,34373894901,4834460672,44042813440,1409370030080,1409319698432,0,0,0,0,0,0,0,0,0,4294967296,524288,0,539492352,10669301315,618369424858,80063465273,65536,0,0,0,0
4352,"GeForce GTX 980 (0)","2","14","matMul(float*, float*, float*, int, int)",15457329152,15457329152,2374952117,1950148876,767429730,753580236,1197715,1197729,1197708,1197758,767529086,767435843,2160180298,2160185719,1183744,1183744,1413987439,1413972288,9920,9772,2215343457,2215331255,1183749,1183745,0,0,5,0,13020506508,0,0,164852924416,0,0,0,0,18939904,0,0,0,0,0,0,0,0,0,0,591872,5105909080,41229212672,5798571008,52826351616,1690443251712,1690386432000,0,0,0,0,0,0,0,0,0,5151653888,591872,0,646916096,13013817142,757462323026,96833675961,73984,0,0,0,0
