256,"GeForce GTX 980 (0)","2","14","matMul(float*, float*, float*, int, int)",9469952,9469952,130284,131656,0,12,3,120,12,7,0,0,98112,98292,32768,32768,98684,98698,32768,32768,101552,101351,32772,32770,0,0,0,5,9593684,0,0,33554432,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,2048,28181418,8444659,1190912,10823680,346357760,346161152,0,0,0,0,0,0,0,0,0,1048576,2048,0,141312,9464222,599782760,75541316,256,0,0,0,0
512,"GeForce GTX 980 (0)","2","14","matMul(float*, float*, float*, int, int)",75628544,75628544,904484,910193,41073,15924,15860,16392,15762,15820,41003,40962,776286,776247,131072,131072,773747,773765,126976,126976,793466,793450,131076,131074,0,0,0,5,76046116,0,0,268435456,0,0,0,0,262144,0,0,0,0,0,0,0,0,0,0,8192,225264421,67330797,9479168,86286336,2761162752,2760376320,0,0,0,0,0,0,0,0,0,8388608,8192,0,1089536,75534266,4790015224,603304094,1024,0,0,0,0
768,"GeForce GTX 980 (0)","2","14","matMul(float*, float*, float*, int, int)",255098880,255098880,5089701,5217044,806999,808026,49120,49196,49136,49186,807107,807200,4852908,4864013,294912,294912,4199342,4211175,282624,282624,5024120,5037913,294917,294913,0,0,5,0,256263428,0,0,905969664,0,0,0,0,589824,0,0,0,0,0,0,0,0,0,0,18432,760416366,226991104,31943680,290875392,9308012544,9306243072,0,0,0,0,0,0,0,0,0,28311552,18432,0,3631104,254834056,16092092820,2033417368,2304,0,0,0,0
1024,"GeForce GTX 980 (0)","2","14","matMul(float*, float*, float*, int, int)",604504064,604504064,8410498,8617799,2856483,2959904,77842,77858,77830,77844,2856519,2856280,7989599,7990122,524288,524288,5180057,5179011,503420,503410,8345111,8344780,524289,524293,0,0,5,0,607306824,0,0,2147483648,0,0,0,0,1048576,0,0,0,0,0,0,0,0,0,0,32768,1802632168,537756672,75662336,689078272,22050504704,22047358976,0,0,0,0,0,0,0,0,0,67108864,32768,0,8552448,604007533,38327440840,4823034354,4096,0,0,0,0
1280,"GeForce GTX 980 (0)","2","14","matMul(float*, float*, float*, int, int)",1180467200,1180467200,57480177,55231536,7932922,8152311,115430,115470,115453,115456,7932378,7934754,55529957,55543356,819200,819200,48326154,48405792,770703,770680,55813605,55878043,819204,819202,0,0,4,1,1181326492,0,0,4194304000,0,0,0,0,1638400,0,0,0,0,0,0,0,0,0,0,51200,3521022616,1049959152,147713024,1345382400,43052236800,43047321600,0,0,0,0,0,0,0,0,0,131072000,51200,0,16640000,1179679143,74201665162,9397476694,6400,0,0,0,0
1536,"GeForce GTX 980 (0)","2","14","matMul(float*, float*, float*, int, int)",2039611392,2039611392,80507925,78848168,14418871,14462904,160772,160815,160765,160792,14420240,14420427,78486567,78510230,1179648,1179648,65903660,65942136,1107795,1107813,80034535,80074779,1179653,1179649,0,0,5,0,2042660356,0,0,7247757312,0,0,0,0,2359296,0,0,0,0,0,0,0,0,0,0,73728,6084719473,1813930735,255173632,2324275200,74376806400,74369728512,0,0,0,0,0,0,0,0,0,226492416,73728,0,28680192,2038462271,128822679816,16258291396,9216,0,0,0,0
1792,"GeForce GTX 980 (0)","2","14","matMul(float*, float*, float*, int, int)",3238559744,3238559744,117821731,115741721,23473506,23523892,222866,214137,222928,222884,23474813,23474633,115175141,115177047,1605632,1605632,90895946,90912847,1505940,1505902,115021283,115031455,1605636,1605634,0,0,0,5,3243940360,0,0,11509170176,0,0,0,0,3211264,0,0,0,0,0,0,0,0,0,0,100352,9662802368,2880002800,405122048,3690244096,118087811072,118078177280,0,0,0,0,0,0,0,0,0,359661568,100352,0,45459456,3237034079,204807416208,25821302544,12545,1,1,0,0
2048,"GeForce GTX 980 (0)","2","14","matMul(float*, float*, float*, int, int)",4833935360,4833935360,122434947,122758149,35516905,35653572,275544,275688,275543,275549,35516789,35517090,120498587,120500205,2097152,2097152,85644609,85648231,1966080,1966080,122959821,122959831,2097152,2097158,0,0,0,5,4841273140,0,0,17179869184,0,0,0,0,4194304,0,0,0,0,0,0,0,0,0,0,131072,14424458384,4298507264,604636160,5507776512,176248848384,176236265472,0,0,0,0,0,0,0,0,0,536870912,131072,0,67764224,4831868160,306852923940,38571186735,16384,0,0,0,0
2304,"GeForce GTX 980 (0)","2","14","matMul(float*, float*, float*, int, int)",6882361344,6882361344,372759301,366624960,50769138,50795462,345537,345602,345543,345526,50764849,50766850,367031586,367044259,2654208,2654208,317281852,317352122,2488163,2488131,366189361,366308440,2654209,2654213,0,0,1,4,6890198700,0,0,24461180928,0,0,0,0,5308416,0,0,0,0,0,0,0,0,0,0,165888,20538368596,6119774960,860793856,7841359872,250923515904,250907590656,0,0,0,0,0,0,0,0,0,764411904,165888,0,96380928,6879739550,435668160998,54912388042,20736,0,0,0,0
2560,"GeForce GTX 980 (0)","2","14","matMul(float*, float*, float*, int, int)",9440460800,9440460800,903590915,886318068,69983251,69829626,425785,425673,425666,425864,69978380,69986906,891884403,891470980,3276800,3276800,817598579,817224881,3069379,3069263,895508203,895064466,3276801,3276805,0,0,5,0,9450234964,0,0,33554432000,0,0,0,0,6553600,0,0,0,0,0,0,0,0,0,0,204800,28174099438,8394138624,1180673024,10755481600,344175411200,344155750400,0,0,0,0,0,0,0,0,0,1048576000,204800,0,132096000,9437221515,595398994026,75347270562,25600,0,0,0,0
