"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
s,s,,,,,,,,B,B,MB,GB/s,,,,
8.149505,0.074436,,,,,,,,,,268.435456,3.606258,"Tesla K20c (0)","2","14","[CUDA memcpy HtoD]"
8.223958,5.456120e-04,131072,1,1,256,1,1,8,0,0,,,"Tesla K20c (0)","2","14","transComplexFloat(float2*, int) [360]"
8.224508,0.089611,,,,,,,,,,268.435456,2.995568,"Tesla K20c (0)","2","14","[CUDA memcpy DtoH]"
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
s,s,,,,,,,,B,B,MB,GB/s,,,,
10.775164,0.146085,,,,,,,,,,536.870912,3.675067,"Tesla K20c (0)","2","14","[CUDA memcpy HtoD]"
10.921652,1.087800e-03,262144,1,1,256,1,1,8,0,0,,,"Tesla K20c (0)","2","14","transComplexFloat(float2*, int) [360]"
10.922744,0.157873,,,,,,,,,,536.870912,3.400661,"Tesla K20c (0)","2","14","[CUDA memcpy DtoH]"
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
s,s,,,,,,,,B,B,GB,GB/s,,,,
16.199356,0.297510,,,,,,,,,,1.073742,3.609095,"Tesla K20c (0)","2","14","[CUDA memcpy HtoD]"
16.497540,2.174384e-03,524288,1,1,256,1,1,8,0,0,,,"Tesla K20c (0)","2","14","transComplexFloat(float2*, int) [360]"
16.499718,0.339850,,,,,,,,,,1.073742,3.159457,"Tesla K20c (0)","2","14","[CUDA memcpy DtoH]"
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
s,s,,,,,,,,B,B,GB,GB/s,,,,
26.238389,0.568701,,,,,,,,,,2.147484,3.776122,"Tesla K20c (0)","2","14","[CUDA memcpy HtoD]"
26.807520,4.343359e-03,1048576,1,1,256,1,1,8,0,0,,,"Tesla K20c (0)","2","14","transComplexFloat(float2*, int) [360]"
26.811867,0.685132,,,,,,,,,,2.147484,3.134409,"Tesla K20c (0)","2","14","[CUDA memcpy DtoH]"
