128,"Tesla K40c (0)","2","14","matSum(float*, float*, float*, int)",0,0,0,0,0,0,0,0,0,0,1295,1292,512,513,1612,512,0,0,4,0,512,512,512,512,2048,2048,2048,2048,2048,2048,2048,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2053,2053,2088,2093,521,516,516,512,82143,0,0,32768,0,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,16384,12800,16138,1536,409600,0,0,0,0,1024,512,24167,698378,64,393216,0,0,0,0,0,2048,0,1024,0,0,1024,512,0,0,0,0,2376,1024,0,0
256,"Tesla K40c (0)","2","14","matSum(float*, float*, float*, int)",0,0,0,0,0,0,0,0,4799,80,4977,5201,2049,2048,2530,2049,2024,32,100,24,2048,2048,2048,2048,8192,8124,8052,8040,7988,8044,8092,8052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8001,8087,8045,8088,2049,2048,2049,2052,130029,0,0,131072,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2048,65536,51200,59752,5056,1638400,0,0,0,0,4096,2048,72853,3958976,256,1572864,0,0,0,0,128,8064,0,4096,0,0,4096,2048,0,0,0,0,9483,4096,0,0
512,"Tesla K40c (0)","2","14","matSum(float*, float*, float*, int)",0,0,0,0,0,0,0,0,37181,37040,19501,19385,8195,8194,8208,8192,16032,15988,16371,16016,8192,8192,8192,8192,32084,31716,31548,31548,15764,15180,15220,15480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31579,31784,31843,31641,8196,8197,8198,8488,261420,0,0,524288,0,0,0,0,262144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8192,262144,204800,242771,17344,6553600,0,0,0,0,16384,8192,206683,10696836,1024,6291456,0,0,0,0,951,31817,0,16384,0,0,16384,8192,0,0,0,0,47464,16384,0,0
1024,"Tesla K40c (0)","2","14","matSum(float*, float*, float*, int)",0,0,0,0,0,0,0,0,146181,146091,77489,77641,32771,32776,33044,32769,65548,65545,65545,65620,32768,32768,32768,32996,124068,123896,124784,124528,57636,58888,57828,58676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,123468,124053,123131,124989,32771,32769,32772,32770,838275,0,0,2097152,0,0,0,0,1048576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32768,1048576,819200,956435,66496,26214400,0,0,0,0,65536,32768,782775,40463218,4096,25165824,0,0,0,0,7616,123456,0,65536,0,0,65536,32768,0,0,0,0,187323,65536,0,0
2048,"Tesla K40c (0)","2","14","matSum(float*, float*, float*, int)",0,0,0,0,0,0,0,0,594249,593695,312360,312179,131090,131074,131077,131072,262155,262144,262151,262221,131072,131072,131188,131072,482484,483484,485004,483820,221248,219396,219820,220432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482200,483992,484608,483192,131077,131073,131077,131074,3213168,0,0,8388608,0,0,0,0,4194304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131072,4194304,3276800,3905875,263104,104857600,0,0,0,0,262144,131072,3153412,160802656,16384,100663296,0,0,0,0,38865,485423,0,262144,0,0,262144,131072,0,0,0,0,828714,262144,0,0
4096,"Tesla K40c (0)","2","14","matSum(float*, float*, float*, int)",0,0,0,0,0,0,0,0,2347083,2347121,1244356,1244457,524290,524290,524293,524289,1048577,1048576,1048583,1048580,524288,524288,524288,524288,1933932,1927640,1931056,1933056,881876,878328,883188,880548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1930768,1930123,1932463,1931680,524296,524292,524290,524288,12159093,0,0,33554432,0,0,0,0,16777216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524288,16777216,13107200,15340049,1049536,419430400,0,0,0,0,1048576,524288,12103810,613645846,65536,402653184,0,0,0,0,165403,1931749,0,1048576,0,0,1048576,524288,0,0,0,0,3034359,1048576,0,0
8192,"Tesla K40c (0)","2","14","matSum(float*, float*, float*, int)",0,0,0,0,0,0,0,0,9989904,9992591,5123634,5121587,2097155,2097153,2097155,2097153,4194307,4194932,4194310,4194600,2097152,2097152,2097152,2097152,7729284,7720264,7720720,7722084,3528400,3530980,3527836,3523980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7732104,7730912,7721025,7717961,2097156,2097154,2097156,2097158,51126114,0,0,134217728,0,0,0,0,67108864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2097152,67108864,52428800,62383714,4195264,1677721600,0,0,0,0,4194304,2097152,51070627,2600882124,262144,1610612736,0,0,0,0,666870,7721738,0,4194304,0,0,4194304,2097152,0,0,0,0,13106102,4194304,0,0
