256,"GeForce GT 630 (1)","2","14","matSum(float*, float*, float*, int)",89.038086,100.000000,0.000000,95.679200,0.908777,5.751294,2.875647,0.371074,95.679200,0.371074,25.000000,65536,32768,0,0,0,0,16.000000,16.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,65536,65536,0,0,0,0,0,0,0,13.911593,39.493514,6.365593,0.000000,51200,0.000000,3.599194,65536,0,720896,0,65536,196608,524288,0,0.000000,0,0.000000,2.230859,0.000000,0.145937,0.000000,0.000000,6.236771,3.528565,11.502589,92.020711,100.000000,0.000000,6.250000,25.000000,0.000000,53.504797,0.000000,10.536551,2.038736,1.159504,53.572562,0,0,30108,32768,0,17767,10052,10.568846,11.502589,0.000000,0.000000,6240,6144,123083,6144,"Mid (5)","Mid (5)","Idle (0)","Mid (5)","Idle (0)","Mid (5)","Low (2)","Low (1)","Idle (0)",164340,151860,0.000000,30016,32768,0,11.502589,0,8.588741,0.000000,0.225475,0.000000,36.630139,0.407216
384,"GeForce GT 630 (1)","2","14","matSum(float*, float*, float*, int)",89.534505,100.000000,0.000000,98.107277,0.921395,5.822949,2.911475,0.354536,98.107277,0.354536,25.000000,148238,74240,0,0,0,0,16.084852,16.111111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,147456,147456,0,0,0,0,0,0,0,13.409799,40.212941,7.805799,0.000000,115200,0.000000,3.504128,147456,0,1622016,0,147456,442368,1179648,0,0.000000,0,0.000000,2.278264,0.000000,0.140747,0.000000,0.000000,6.081842,3.829366,11.645899,93.661280,100.000000,0.000000,6.217029,25.000000,0.000000,47.790359,0.000000,9.764939,0.000000,1.162262,53.829109,0,0,65580,73728,0,38503,24243,10.358860,11.645899,0.000000,0.000000,13920,13824,275521,13824,"Mid (6)","Mid (5)","Idle (0)","Mid (5)","Idle (0)","Mid (5)","Low (2)","Low (1)","Idle (0)",377656,349816,0.000000,61820,73728,0,11.645899,0,8.875696,0.000000,0.236667,0.000000,35.067583,0.218090
512,"GeForce GT 630 (1)","2","14","matSum(float*, float*, float*, int)",87.536951,100.000000,0.000000,98.746014,0.915045,5.793558,2.896779,0.353777,98.746014,0.353777,25.000000,266120,132608,0,0,0,0,16.242676,16.187500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,262144,262144,0,0,0,0,0,0,0,13.861871,40.020090,5.344256,0.000000,204800,0.000000,3.669964,262144,0,2883584,0,262144,786432,2097152,0,0.000000,0,0.000000,2.255015,0.000000,0.165811,0.000000,0.000000,6.315399,3.761622,11.587115,94.102879,100.000000,0.000000,6.156621,25.000000,0.000000,51.433266,0.000000,12.052113,0.186983,1.148642,53.214297,0,0,139124,131072,0,71439,42551,12.298934,11.587115,0.000000,0.000000,24672,24576,489469,24576,"Mid (6)","Mid (5)","Idle (0)","Mid (5)","Idle (0)","Mid (5)","Low (2)","Low (1)","Idle (0)",671897,622553,0.000000,136332,131072,0,11.587115,0,8.566357,0.000000,0.233067,0.000000,37.103919,0.112641
640,"GeForce GT 630 (1)","2","14","matSum(float*, float*, float*, int)",88.542969,100.000000,0.000000,99.364988,0.914464,5.838969,2.919484,0.349912,99.364988,0.349912,25.000000,410976,205824,0,0,0,0,16.053750,16.080000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,409600,409600,0,0,0,0,0,0,0,13.569073,40.023567,5.289863,0.000000,320000,0.000000,3.618834,409600,0,4505600,0,409600,1228800,3276800,0,0.000000,0,0.000000,2.292934,0.000000,0.150950,0.000000,0.000000,6.360541,3.922430,11.677937,93.737343,100.000000,0.000000,6.229074,25.000000,0.000000,45.632295,0.000000,10.825357,0.000000,1.152238,53.402459,0,0,188164,204800,0,111547,68789,10.729333,11.677937,0.000000,0.000000,38496,38400,758686,38400,"Mid (6)","Mid (5)","Idle (0)","Mid (5)","Idle (0)","Mid (5)","Low (2)","Low (1)","Idle (0)",1053739,976747,0.000000,189848,204800,0,11.677937,0,8.345461,0.000000,0.234012,0.000000,37.498739,0.121743
768,"GeForce GT 630 (1)","2","14","matSum(float*, float*, float*, int)",89.131096,100.000000,0.000000,99.545264,0.921685,5.923199,2.961599,0.359137,99.545264,0.359137,25.000000,592508,293120,0,0,0,0,16.072808,15.902778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,589824,589824,0,0,0,0,0,0,0,13.630428,39.716408,5.962113,0.000000,460800,0.000000,3.602394,589824,0,6488064,0,589824,1769472,4718592,0,0.000000,0,0.000000,2.244972,0.000000,0.140985,0.000000,0.000000,6.444395,3.779526,11.846398,95.202439,100.000000,0.000000,6.221688,25.000000,0.000000,43.801242,0.000000,10.347602,0.000000,1.165388,53.952296,0,0,248900,294912,0,160431,94090,9.998130,11.846398,0.000000,0.000000,55392,55296,1098821,55296,"Mid (6)","Mid (5)","Idle (0)","Mid (5)","Idle (0)","Mid (5)","Low (2)","Low (1)","Idle (0)",1495283,1384499,0.000000,257600,294912,0,11.846398,0,8.503177,0.000000,0.238795,0.000000,37.088794,0.106448
896,"GeForce GT 630 (1)","2","14","matSum(float*, float*, float*, int)",88.694560,100.000000,0.000000,99.620845,0.918040,5.944490,2.972245,0.361155,99.620845,0.361155,25.000000,802114,401152,0,0,0,0,15.986009,15.989796,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,802816,802816,0,0,0,0,0,0,0,13.826459,40.015166,5.353235,0.000000,627200,0.000000,3.583964,802816,0,8830976,0,802816,2408448,6422528,0,0.000000,0,0.000000,2.237651,0.000000,0.144314,0.000000,0.000000,6.465977,3.779874,11.888980,95.028671,100.000000,0.000000,6.255470,25.000000,0.000000,43.561369,0.000000,10.877341,0.675982,1.160069,53.719074,0,0,363020,401408,0,218311,127620,10.751997,11.888980,0.000000,0.000000,75360,75264,1477904,75264,"Mid (6)","Mid (5)","Idle (0)","Mid (5)","Idle (0)","Mid (5)","Low (2)","Low (1)","Idle (0)",2040499,1889779,0.000000,367252,401408,0,11.888980,0,8.512917,0.000000,0.238259,0.000000,37.221330,0.096954
1024,"GeForce GT 630 (1)","2","14","matSum(float*, float*, float*, int)",82.504182,100.000000,0.000000,99.758333,0.900740,5.512532,2.756266,0.332594,99.758333,0.332594,25.000000,1052160,524544,0,0,0,0,16.054688,16.007812,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1048576,1048576,0,0,0,0,0,0,0,12.923217,40.197738,4.704556,0.000000,819200,0.000000,3.571032,1048576,0,11534336,0,1048576,3145728,8388608,0,0.000000,0,0.000000,2.354253,0.000000,0.225400,0.000000,0.000000,6.034022,3.887166,11.025065,88.501985,100.000000,0.000000,6.228710,25.000000,0.000000,62.551920,0.000000,15.816147,1.236905,1.109954,51.525686,0,0,743780,524288,0,286943,184851,15.640684,11.025065,0.000000,0.000000,98400,98304,2025531,98304,"Mid (5)","Mid (6)","Idle (0)","Mid (5)","Idle (0)","Mid (5)","Low (2)","Low (1)","Idle (0)",2749737,2552937,0.000000,752124,524288,0,11.025065,0,8.105999,0.000000,0.220596,0.000000,38.603482,0.096980
1152,"GeForce GT 630 (1)","2","14","matSum(float*, float*, float*, int)",88.791986,100.000000,0.000000,99.766885,0.918123,5.932099,2.966050,0.359104,99.766885,0.359104,25.000000,1327104,664064,0,0,0,0,16.000000,16.012346,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1327104,1327104,0,0,0,0,0,0,0,13.687126,40.121041,6.219403,0.000000,1036800,0.000000,3.576009,1327104,0,14598144,0,1327104,3981312,10616832,0,0.000000,0,0.000000,2.246321,0.000000,0.145590,0.000000,0.000000,6.451669,3.938498,11.864198,94.913586,100.000000,0.000000,6.250000,25.000000,0.000000,44.087355,0.000000,10.666249,0.125704,1.165767,53.975793,0,0,596836,663552,0,360835,220276,10.671327,11.864198,0.000000,0.000000,124512,124416,2450211,124416,"Mid (6)","Mid (5)","Idle (0)","Mid (5)","Idle (0)","Mid (5)","Low (2)","Low (1)","Idle (0)",3365786,3116762,0.000000,596552,663552,0,11.864198,0,8.509585,0.000000,0.238074,0.000000,36.396485,0.108113
1280,"GeForce GT 630 (1)","2","14","matSum(float*, float*, float*, int)",88.889255,100.000000,0.000000,99.839169,0.917943,5.916612,2.958306,0.357344,99.839169,0.357344,25.000000,1640448,820992,0,0,0,0,16.020000,16.035000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1638400,1638400,0,0,0,0,0,0,0,13.593756,40.136928,5.694197,0.000000,1280000,0.000000,3.610588,1638400,0,18022400,0,1638400,4915200,13107200,0,0.000000,0,0.000000,2.257748,0.000000,0.142847,0.000000,0.000000,6.436670,3.602257,11.833223,94.784119,100.000000,0.000000,6.242197,25.000000,0.000000,43.726855,0.000000,10.578370,0.210373,1.164136,53.916015,0,0,739876,819200,0,445603,249380,10.687400,11.833223,0.000000,0.000000,153696,153600,3047815,153600,"Mid (6)","Mid (5)","Idle (0)","Mid (5)","Idle (0)","Mid (5)","Low (2)","Low (1)","Idle (0)",4169917,3862525,0.000000,732328,819200,0,11.833223,0,8.487759,0.000000,0.237033,0.000000,36.964690,0.092316
1408,"GeForce GT 630 (1)","2","14","matSum(float*, float*, float*, int)",89.128910,100.000000,0.000000,99.864634,0.920203,5.971250,2.985625,0.358841,99.864634,0.358841,25.000000,1990656,993536,0,0,0,0,16.066116,16.037190,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1982464,1982464,0,0,0,0,0,0,0,13.741359,39.949592,5.808373,0.000000,1548800,0.000000,3.588134,1982464,0,21807104,0,1982464,5947392,15859712,0,0.000000,0,0.000000,2.242904,0.000000,0.142135,0.000000,0.000000,6.488874,3.730357,11.942500,95.934795,100.000000,0.000000,6.224280,25.000000,0.000000,43.694023,0.000000,10.417302,0.000000,1.163688,53.876093,0,0,877528,991232,0,538579,309621,10.572579,11.942500,0.000000,0.000000,185952,185856,3652767,185856,"Mid (6)","Mid (5)","Idle (0)","Mid (5)","Idle (0)","Mid (5)","Low (2)","Low (1)","Idle (0)",5022609,4650705,0.000000,864640,991232,0,11.942500,0,8.576964,0.000000,0.240031,0.000000,36.912604,0.081644
