256,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",9469952,9469952,8683520,8683520,8,0,67,12,80,63,16,4,8650752,8650752,32768,32768,8650752,8650752,32768,32768,8650944,8650919,32773,32769,0,0,5,0,19564680,0,0,33554432,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,2048,68263835,8436736,1190912,10815488,346095616,345899008,0,0,0,0,0,0,0,0,0,1048576,2048,0,141312,19373316,1189051812,38748517,64,0,0,0,0
512,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",75628544,75628544,69337088,69337088,126332,126522,16406,16392,16394,16396,126220,126326,69206016,69206016,131072,131072,69182240,69182228,126976,126976,69316420,69316441,131073,131077,0,0,5,0,151489172,0,0,268435456,0,0,0,0,262144,0,0,0,0,0,0,0,0,0,0,8192,525260068,67298304,9479168,86253568,2760114176,2759327744,0,0,0,0,0,0,0,0,0,8388608,8192,0,1089536,150454938,9047819540,298610754,256,0,0,1,0
768,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",255098880,255098880,233865216,233865216,894964,928280,49268,49200,49226,49276,894560,896940,233570304,233570304,294912,294912,232888516,232886960,285696,285696,233791509,233791595,294913,294917,0,0,5,0,585329800,0,0,905969664,0,0,0,0,589824,0,0,0,0,0,0,0,0,0,0,18432,2001549380,226917376,31943680,290801664,9305653248,9303883776,0,0,0,0,0,0,0,0,0,28311552,18432,0,3631104,574280911,34456094850,1124788297,576,0,0,0,0
1024,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",604504064,604504064,554172416,554172416,2621312,2622384,77252,77964,77410,77372,2621312,2621376,553648128,553648128,524288,524288,551468432,551468272,507904,507904,554089808,554089839,524293,524289,0,0,5,0,1234841812,0,0,2147483648,0,0,0,0,1048576,0,0,0,0,0,0,0,0,0,0,32768,4289635692,537625600,75662336,688947200,22046310400,22043164672,0,0,0,0,0,0,0,0,0,67108864,32768,0,8552448,1226526763,73863301340,2444965664,1024,0,0,0,0
1280,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",1180467200,1180467200,1082163200,1082163200,5226530,5240746,115691,115709,115749,115822,5223248,5229585,1081344000,1081344000,819200,819200,1077096499,1077089094,793084,793040,1082337937,1082338049,819201,819205,0,0,5,0,2777302304,0,0,4194304000,0,0,0,0,1638400,0,0,0,0,0,0,0,0,0,0,51200,9907708274,1049754624,147713024,1345177600,43045683200,43040768000,0,0,0,0,0,0,0,0,0,131072000,51200,0,16640000,2764990919,166670864524,5543136779,1600,0,0,0,0
1536,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",2039611392,2039611392,1869742080,1869742080,8930176,8939564,161087,161235,160979,161409,8933087,8931042,1868562432,1868562432,1179648,1179648,1861295202,1861299018,1142236,1142064,1870218052,1870218269,1179653,1179649,0,0,1,4,4650882684,0,0,7247757312,0,0,0,0,2359296,0,0,0,0,0,0,0,0,0,0,73728,16264877898,1813636096,255173632,2323980288,74367369216,74360291328,0,0,0,0,0,0,0,0,0,226492416,73728,0,28680192,4637307402,279969590166,9151300032,2304,0,0,0,0
1792,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",3238559744,3238559744,2968813568,2968813568,14192895,14170919,222902,221624,222604,222646,14183187,14177811,2967207936,2967207936,1605632,1605632,2955477051,2955472040,1549122,1548821,2969746524,2969746853,1605632,1605638,0,0,0,5,7372439992,0,0,11509170176,0,0,0,0,3211264,0,0,0,0,0,0,0,0,0,0,100352,26134923865,2879601664,405122048,3689842688,118074966016,118065332224,0,0,0,0,0,0,0,0,0,359661568,100352,0,45459456,7356813141,440615887220,14704226124,3137,1,1,0,0
2048,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",4833935360,4833935360,4431282176,4431282176,20642882,20599279,276917,277004,276922,276892,20642156,20643183,4429185024,4429185024,2097152,2097152,4411856169,4411856077,2030454,2030474,4432496444,4432496815,2097152,2097158,0,0,4,1,9730594624,0,0,17179869184,0,0,0,0,4194304,0,0,0,0,0,0,0,0,0,0,131072,33910583933,4297982976,604636160,5507252224,176232071168,176219488256,0,0,0,0,0,0,0,0,0,536870912,131072,0,67764224,9703822097,586742174800,19388069687,4096,0,0,0,0
2304,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",6882361344,6882361344,6309052416,6309052416,41155059,41714068,496065,501256,499778,498781,41279789,41413168,6306398208,6306398208,2654208,2654208,6270678462,6270628052,2437740,2437404,6311917400,6311918115,2654213,2654209,0,0,5,0,16023505148,0,0,24461180928,0,0,0,0,5308416,0,0,0,0,0,0,0,0,0,0,165888,57013374511,6119111680,860793856,7840696320,250902282240,250886356992,0,0,0,0,0,0,0,0,0,764411904,165888,0,96380928,15998275110,953630811860,31946603024,5184,0,0,0,0
2560,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",9440460800,9440460800,8654028800,8654028800,47206165,50038864,524510,544195,523829,525415,47110008,47294094,8650752000,8650752000,3276800,3276800,8610150179,8609829505,3078618,3076244,8658037024,8658037971,3276804,3276802,0,0,0,5,21453638092,0,0,33554432000,0,0,0,0,6553600,0,0,0,0,0,0,0,0,0,0,204800,76396193570,8393319424,1180673024,10754662400,344149196800,344129536000,0,0,0,0,0,0,0,0,0,1048576000,204800,0,132096000,21433120689,1294767306862,42832162729,6400,0,0,0,0
2816,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",12564856832,12564856832,11518115840,11518115840,87801924,89156096,891093,918799,891956,889963,87626330,87724085,11514150912,11514150912,3964928,3964928,11438709744,11438500955,3499965,3500524,11523643936,11523645155,3964964,3964946,0,0,4,1,27960667752,0,0,44660948992,0,0,0,0,7929856,0,0,0,0,0,0,0,0,0,0,247808,99110657361,11170937856,1571351552,14313637888,458036412416,458012622848,0,0,0,0,0,0,0,0,0,1395654656,247808,0,175695872,27893614380,1677052033036,55936056419,7744,0,0,0,0
