2816,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",99.932758,0.971223,3.210945,3.202557,57761.000000,100.000000,100.000000,99.994806,0.000000,71.274512,0.000000,0.000000,0.000000,0.000000,6.000000,4.000000,0,0,0,0,8373927936,991232,94841950,1017928,58.333333,0.000000,328.624164,115.878492,398.332320,115.878492,10.827496,118.999349,637.331713,0.000000,0.000000,0.000000,0.000000,82.500000,100.000000,5582618624,"Low (1)","High (7)","Low (1)","Idle (0)","Idle (0)","High (8)",0,0,0,0,44660948992,0,22330474496,0,0,14313637888,14313640960,"Low (1)","High (7)",0.000000,"Idle (0)",22330474496,0,323894968320,0,5598478336,44668878848,61519822848,0,12742289408,175695872,175695872,5584601088,1396893696,0,0.000000,3.135626,22.139958,24.160835,0.431828,0.000000,43.845809,0.000166,1.858994,0.018553,4.408232,0,5,3492448081,991238,0,0.000000,58.331361,97.380038,0.000000,398.332320,115.878492,3489136640,991232,398.710366,115.879194,0.000000,612.000000,"High (8)",0.000000,0,"Low (1)",0.000000,5.440495,3.903652,0.000000
3072,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",99.870825,0.974123,3.301902,3.304948,63009.000000,100.000000,100.000000,99.995239,0.000000,73.553439,0.000000,0.000000,0.000000,0.000000,6.000000,4.000000,0,0,0,0,10871635968,1179648,122453446,1205692,58.333333,0.000000,338.421186,109.388665,410.207498,109.388665,11.088963,111.803723,656.331996,0.000000,0.000000,0.000000,0.000000,82.500000,100.000000,7247757312,"Low (1)","High (7)","Low (1)","Idle (0)","Idle (0)","High (8)",0,0,0,0,57982058496,0,28991029248,0,0,18582110208,18582113280,"Low (1)","High (7)",0.000000,"Idle (0)",28991029248,0,420492607488,0,7266631680,57991495680,79857451008,0,16542205952,227966976,227966976,7250116608,1813413888,0,0.000000,3.265092,21.736556,23.675050,0.346084,0.000000,44.336185,0.000137,1.936030,0.016733,4.688133,0,5,4534263551,1179654,0,0.000000,58.331525,97.387177,0.000000,410.207498,109.388665,4529848320,1179648,410.607326,109.389222,0.000000,486.000000,"High (9)",0.000000,0,"Low (1)",0.000000,5.711979,4.023133,0.000000
3328,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",99.934249,0.965534,3.142844,3.154377,68257.000000,100.000000,100.000000,99.995605,0.000000,70.202538,0.000000,0.000000,0.000000,0.000000,6.000000,4.000000,0,0,0,0,13822328832,1384448,166404748,1411120,58.333333,0.000000,323.541216,96.534442,392.171171,96.534442,11.331082,98.394220,627.473874,0.000000,0.000000,0.000000,0.000000,82.500000,100.000000,9214885888,"Low (1)","High (7)","Low (1)","Idle (0)","Idle (0)","High (7)",0,0,0,0,73719087104,0,36859543552,0,0,23624566784,23624569856,"Low (1)","High (7)",0.000000,"Idle (0)",36859543552,0,534607364096,0,9237037056,73730162688,101518802944,0,21031151616,289695744,289695744,9217654784,2305452032,0,0.000000,3.063974,22.313727,24.602375,0.505776,0.000000,43.379425,0.000097,1.821387,0.015943,4.297297,0,5,5765044592,1384454,0,0.000000,58.331664,97.190683,0.000000,392.171171,96.534442,5759303680,1384448,392.562090,96.534860,0.000000,365.000000,"High (8)",0.000000,0,"Low (1)",0.000000,5.336756,3.830332,0.000000
3584,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",99.937421,0.973485,3.247811,3.257240,73505.000000,100.000000,100.000000,99.995919,0.000000,72.491932,0.000000,0.000000,0.000000,0.000000,6.000000,4.000000,0,0,0,0,17263755264,1605632,202197572,1632807,58.333333,0.000000,335.354614,92.912101,406.490441,92.912101,11.426211,94.484619,650.384706,0.000000,0.000000,0.000000,0.000000,82.500000,100.000000,11509170176,"Low (1)","High (7)","Low (1)","Idle (0)","Idle (0)","High (8)",0,0,0,0,92073361408,0,46036680704,0,0,29505495040,29505498112,"Low (1)","High (7)",0.000000,"Idle (0)",46036680704,0,667698855936,0,11534860288,92086206464,126780702720,0,26266535936,361668608,361668608,11512381440,2879299584,0,0.000000,3.190779,22.034530,23.814383,0.393286,0.000000,44.161410,0.000083,1.884233,0.014512,4.506783,0,5,7200299119,1605638,0,0.000000,58.331784,97.300907,0.000000,406.490441,92.912101,7193231360,1605632,406.889841,92.912448,0.000000,303.000000,"High (8)",0.000000,0,"Low (1)",0.000000,5.562694,3.970800,0.000000
3840,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",99.913575,0.959382,3.111291,3.111745,78753.000000,100.000000,100.000000,99.996191,0.000000,69.253928,0.000000,0.000000,0.000000,0.000000,6.000000,4.000000,0,0,0,0,21233664000,1843200,295855685,1879478,58.333333,0.000000,320.113407,82.776800,388.016251,82.776800,12.975262,84.406019,620.826002,0.000000,0.000000,0.000000,0.000000,82.500000,100.000000,14155776000,"Low (1)","High (7)","Low (1)","Idle (0)","Idle (0)","High (7)",0,0,0,0,113246208000,0,56623104000,0,0,36289382400,36289385472,"Low (1)","High (7)",0.000000,"Idle (0)",56623104000,0,821226700800,0,14185267200,113260953600,155919974400,0,32305768448,444672000,444672000,14159462400,3541248000,0,0.000000,3.058789,22.306045,25.022117,0.553184,0.000000,42.910802,0.000064,1.829491,0.014004,4.305504,0,5,8856356871,1843206,0,0.000000,58.331887,96.775013,0.000000,388.016251,82.776800,8847360000,1843200,388.410825,82.777069,0.000000,235.000000,"High (8)",0.000000,0,"Low (1)",0.000000,5.273926,3.798968,0.000000
4096,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",99.960541,0.977096,3.383052,3.398152,84001.000000,100.000000,100.000000,99.996429,0.000000,75.628204,0.000000,0.000000,0.000000,0.000000,6.000000,4.000000,0,0,0,0,25769803776,2097152,305420144,2124492,58.333333,0.000000,347.051573,84.133715,420.668574,84.133715,11.965694,85.230542,673.069718,0.000000,0.000000,0.000000,0.000000,82.500000,100.000000,17179869184,"Low (1)","High (7)","Low (1)","Idle (0)","Idle (0)","High (8)",0,0,0,0,137438953472,0,68719476736,0,0,44040716288,44040719360,"Low (1)","High (7)",0.000000,"Idle (0)",68719476736,0,996650516480,0,17213423616,137455730688,189213442048,0,39206258688,539492352,539492352,17184063488,4297588736,0,0.000000,3.339780,21.618870,23.155263,0.249812,0.000000,44.870120,0.000058,1.952205,0.012398,4.801494,0,5,10747353197,2097158,0,0.000000,58.331977,97.235326,0.000000,420.668574,84.133715,10737418240,2097152,421.057804,84.133955,0.000000,210.000000,"High (9)",0.000000,0,"Low (1)",0.000000,5.879720,4.120365,0.000000
4352,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",99.962478,0.965250,3.147927,3.151435,89249.000000,100.000000,100.000000,99.996639,0.000000,70.137435,0.000000,0.000000,0.000000,0.000000,6.000000,4.000000,0,0,0,0,30909923328,2367488,434401355,2394428,58.333333,0.000000,323.627648,73.840176,392.275937,73.840176,13.231106,74.680414,627.641499,0.000000,0.000000,0.000000,0.000000,82.500000,100.000000,20606615552,"Low (1)","High (7)","Low (1)","Idle (0)","Idle (0)","High (7)",0,0,0,0,164852924416,0,82426462208,0,0,52823984128,52823987200,"Low (1)","High (7)",0.000000,"Idle (0)",82426462208,0,1195429920768,0,20644495360,164871864320,226937929728,0,47025416192,646916096,646916096,20611350528,5154613248,0,0.000000,3.092449,22.178477,24.619056,0.491884,0.000000,43.408755,0.000044,1.844161,0.012192,4.352982,0,5,12892160929,2367494,0,0.000000,58.332057,96.753229,0.000000,392.275937,73.840176,12879134720,2367488,392.672692,73.840363,0.000000,163.000000,"High (8)",0.000000,0,"Low (1)",0.000000,5.352386,3.844584,0.000000
4608,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",99.942941,0.974233,3.247339,3.236685,94497.000000,100.000000,100.000000,99.996825,0.000000,72.034802,0.000000,0.000000,0.000000,0.000000,6.000000,4.000000,0,0,0,0,36691771392,2654208,474266204,2681180,58.333333,0.000000,333.079522,71.774712,403.732754,71.774712,12.524452,72.504085,645.972406,0.000000,0.000000,0.000000,0.000000,82.500000,100.000000,24461180928,"Low (1)","High (7)","Low (1)","Idle (0)","Idle (0)","High (8)",0,0,0,0,195689447424,0,97844723712,0,0,62703673344,62703676416,"Low (1)","High (7)",0.000000,"Idle (0)",97844723712,0,1419024531456,0,24503648256,195710681088,269370261504,0,55820650496,767729664,767729664,24466489344,6118612992,0,0.000000,3.167411,22.059967,23.771948,0.412957,0.000000,44.279588,0.000037,1.862559,0.011307,4.434227,0,5,15303251095,2654262,0,0.000000,58.332128,96.998228,0.000000,403.732754,71.774712,15288238080,2654208,404.129219,71.776172,0.000000,141.000000,"High (8)",0.000000,0,"Low (1)",0.000000,5.500070,3.943986,0.000000
4864,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",99.974100,0.970522,3.182109,3.170642,99745.000000,100.000000,100.000000,99.996992,0.000000,70.565011,0.000000,0.000000,0.000000,0.000000,6.000000,4.000000,0,0,0,0,43153096704,2957312,605579432,2984843,58.333333,0.000000,326.885455,66.732596,396.224794,66.732596,13.344799,67.353842,633.959671,0.000000,0.000000,0.000000,0.000000,82.500000,100.000000,28768731136,"Low (1)","High (7)","Low (1)","Idle (0)","Idle (0)","High (7)",0,0,0,0,230149849088,0,115074924544,0,0,73744271360,73744274432,"Low (1)","High (7)",0.000000,"Idle (0)",115074924544,0,1668893966336,0,28816048128,230173507584,316787261440,0,65649371136,902719488,902719488,28774645760,7195879424,0,0.000000,3.096070,22.322922,24.252737,0.462466,0.000000,43.718879,0.000033,1.833727,0.010902,4.302264,0,5,17998560155,2957318,0,0.000000,58.332191,96.747778,0.000000,396.224794,66.732596,17980456960,2957312,396.623724,66.732732,0.000000,118.000000,"High (8)",0.000000,0,"Low (1)",0.000000,5.352204,3.863674,0.000000
5120,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",99.968034,0.972214,3.262292,3.253727,104993.000000,100.000000,100.000000,99.997143,0.000000,72.414208,0.000000,0.000000,0.000000,0.000000,6.000000,4.000000,0,0,0,0,50331648000,3276800,723008670,3304108,58.333333,0.000000,334.642846,64.900431,405.627692,64.900431,13.984315,65.441294,649.004308,0.000000,0.000000,0.000000,0.000000,82.500000,100.000000,33554432000,"Low (1)","High (7)","Low (1)","Idle (0)","Idle (0)","High (8)",0,0,0,0,268435456000,0,134217728000,0,0,86010265600,86010268672,"Low (1)","High (7)",0.000000,"Idle (0)",134217728000,0,1946497843200,0,33606860800,268461670400,369465753600,0,76568987648,1052672000,1052672000,33560985600,8392704000,0,0.000000,3.209561,21.908524,23.954742,0.387806,0.000000,44.073087,0.000029,1.904380,0.010153,4.551719,0,5,20991391812,3276806,0,0.000000,58.332248,96.663136,0.000000,405.627692,64.900431,20971520000,3276800,406.012050,64.900549,0.000000,103.000000,"High (8)",0.000000,0,"Low (1)",0.000000,5.574181,3.976128,0.000000
